Description, Amount 
"flu vacc qs2018-19 (36 mos up)(PF)60 mcg (15 mcg x4)/0.5 mL IM syringe,flu vaccine qs2018-19 (36 mos up)(PF)60 mcg (15 mcg x4)/0.5 mL IM susp", 51.66 
flu vaccine ts2018-19(65yr up)(PF)180 mcg/0.5 mL intramuscular syringe, 138.58 
fluconazole 100 mg tablet, 15.74 
fluconazole 100 mg/50 mL in sodium chloride(iso) intravenous piggyback, 28.82 
fluconazole 150 mg tablet, 11.61 
fluconazole 200 mg tablet, 8.82 
fluconazole 200 mg/100 mL in sod. chloride (iso) intravenous piggyback, 26.89 
"fluconazole 200 mg/100 mL in sod. chloride (iso) intravenous piggyback,luconazole 100 mg/50 mL in sodium chloride(iso) intravenous piggyback,fluconazole 200 mg/100 mL in dextrose (iso-osm) intravenous piggyback", 55.25 
fluconazole 400 mg/200 mL in sod. chloride(iso) intravenous piggyback, 45.25 
flucytosine 250 mg capsule, 205.17 
flucytosine 500 mg capsule, 397.01 
fludarabine 50 mg intravenous solution, 359.00 
fludarabine 50 mg/2 mL intravenous solution, 652.50 
fludrocortisone 0.1 mg tablet, 3.01 
"FLUIDOTHERAPY, OT",$62.00 
flumazenil 0.1 mg/mL intravenous solution, 19.88 
fluorescein 0.25 %-benoxinate 0.4 % eye drops, 2.00 
fluorescein 0.25 %-proparacaine 0.5 % eye drops, 25.18 
fluorescein 1 mg eye strips, 2.00 
fluorescein 500 mg/5 mL (10 %) intravenous solution, 104.54 
FLUORO FOR NEEDLE PLACEMENT,$179.00 
FLUORO FOR SPINAL NEEDLE PLACEMENT,$100.00 
"FLUORO, ERCP; BILIARY, S&I",$676.00 
"fluorometholone acetate 0.1 % eye drops,suspension", 210.03 
"FLUOROSCOPY, UP TO 1HR",$237.00 
FLUOROSCOPY>1 HOUR,$389.00 
fluorouracil 2.5 gram/50 mL intravenous solution, 67.50 
fluorouracil 5 gram/100 mL intravenous solution, 157.50 
fluorouracil 500 mg/10 mL intravenous solution, 49.79 
FLUoxetine 10 mg capsule, 4.25 
FLUoxetine 20 mg capsule, 2.92 
FLUoxetine 20 mg/5 mL (4 mg/mL) oral solution, 10.43 
fluoxetine 20 mg/5 mL oral solution, 35.72 
fluPHENAZine 2.5 mg tablet, 2.00 
fluPHENAZine 5 mg tablet, 2.00 
fluPHENAZine decanoate 25 mg/mL injection solution, 43.46 
flurbiprofen 0.03 % eye drops, 21.83 
fluticasone 100 mcg-salmeterol 50 mcg/dose blistr powdr for inhalation, 32.51 
fluticasone 100 mcg-vilanterol 25 mcg/dose powder for inhalation, 14.08 
fluticasone 110 mcg/actuation HFA aerosol inhaler, 729.87 
fluticasone 200 mcg-vilanterol 25 mcg/dose powder for inhalation, 15.57 
fluticasone 250 mcg-salmeterol 50 mcg/dose blistr powdr for inhalation, 32.51 
"fluticasone 50 mcg/actuation nasal spray,suspension", 200.66 
fluticasone 500 mcg-salmeterol 50 mcg/dose blistr powdr for inhalation, 52.99 
fluticasone-salmeterol 230 mcg-21 mcg/actuation HFA aerosol inhaler," 1,249.82 "
FMP3 ANTI-JO-1 AB,$52.00 
FMP3 ANTI-PM/SCL AB,$42.00 
"FMP3 ANTI-SS-A 52 KD AB, IGG",$52.00 
FMP3 ANTI-U1-RNP AB,$52.00 
FMP3 EJ,$39.00 
FMP3 FIBRILLARIN (U3 RNP),$39.00 
FMP3 KU,$39.00 
FMP3 MDA-5 (P140),$42.00 
FMP3 MI-2,$39.00 
FMP3 NXP-2 (P140),$42.00 
FMP3 OJ,$39.00 
FMP3 PL-12,$39.00 
FMP3 PL-7,$39.00 
FMP3 SRP,$39.00 
FMP3 TIF1 GAMMA (P155/140),$42.00 
FMP3 U2 SNRNP,$39.00 
"FNA IMMED STUDY-1ST EVAL, EA",$32.00 
FNA INTERPRETATION & REPORT,$124.00 
FNA SMEAR PREP OR EXAM,$124.00 
"FNA-ADD'L IMMED STUDY, EA SITE",$175.00 
"FOLATE, RBC",$96.00 
FOLIC ACID,$83.00 
folic acid 1 mg tablet, 2.00 
folic acid 5 mg/mL injection solution, 10.00 
fondaparinux 10 mg/0.8 mL subcutaneous solution syringe, 392.62 
fondaparinux 2.5 mg/0.5 mL subcutaneous solution syringe, 136.65 
fondaparinux 7.5 mg/0.6 mL subcutaneous solution syringe, 443.93 
FOOT 2 VIEW,$248.00 
FOOT 3 VIEWS,$124.00 
FORCEPS DISPOSABLE,$259.00 
"FORCEPS, BIOPSY",$172.00 
"FORCEPS, HOT/COLD, DISP",$172.00 
FOREARM,$248.00 
FORESKIN MAN/LYSIS ADHES/STRET,$604.00 
formoterol fumarate 20 mcg/2 mL solution for nebulization, 48.62 
fosaprepitant 150 mg intravenous solution, 982.28 
foscarnet 24 mg/mL intravenous solution," 1,418.13 "
fosinopril 10 mg tablet, 2.50 
fosinopril 20 mg tablet, 2.00 
fosinopril 40 mg tablet, 2.00 
fosphenytoin 100 mg PE/2 mL injection solution, 10.00 
fosphenytoin 500 mg PE/10 mL injection solution, 167.97 
"FPCPD FISH DNA PROBE, EACH",$121.00 
FRACTIONAL EXHALED NITRIC OXIDE (FENO),$84.00 
FRACTURE TREATMENT (CLOSED) MANDIBULAR W/O MANIPULATION,"$1,210.00 "
"FRAGILE X SYND, MOL ANALYSIS - RL",$212.00 
FRANCISELLA TULARENSIS AB,$40.00 
"FREE LIGHT CHAINS, KAPPA",$74.00 
"FREE LIGHT CHAINS, LAMBDA",$74.00 
FREEZE AND HOLD,$33.00 
FRUCTOSAMINE,$84.00 
FSH,$105.00 
FTA-ABS,$74.00 
fulvestrant 250 mg/5 mL intramuscular syringe," 2,894.60 "
FUNDIS PHOTOGRAPHY,$179.00 
FUNGAL ORG ID DEFIN MOLD-EACH,$59.00 
FUNGAL ORG ID DEFIN YEAST-EACH,$59.00 
FUNGITELL ASSAY,$69.00 
furosemide 10 mg/mL injection solution, 12.00 
furosemide 10 mg/mL oral solution, 12.40 
furosemide 20 mg tablet, 2.00 
furosemide 40 mg tablet, 2.00 
furosemide 40 mg/5 mL (8 mg/mL) oral solution, 4.46 
furosemide 80 mg tablet, 2.00 
G6 PD QUANTITATIVE,$56.00 
G-6-PD SCREEN,$34.00 
gabapentin 100 mg capsule, 2.00 
gabapentin 300 mg capsule, 2.24 
gabapentin 400 mg capsule, 2.00 
"GAD65 ANTIBODY ASSAY, SERUM",$113.00 
gadobenate dimeglumine 529 mg/mL(0.1 mmol/0.2 mL) intravenous solution, 315.30 
gadobutrol 10 mmol/10 mL (1 mmol/mL) intravenous solution, 249.00 
gadobutrol 15 mmol/15 mL (1 mmol/mL) intravenous solution, 373.50 
gadodiamide 10 mmol/20 mL (287 mg/mL) intravenous solution, 262.50 
gadodiamide 2.5 mmol/5 mL (287 mg/mL) intravenous solution, 74.18 
gadodiamide 7.5 mmol/15 mL (287 mg/mL) intravenous solution, 212.51 
gadopentetate dimeglumine 7.5 mmol/15 mL (469.01 mg/mL) intravenous, 189.00 
gadoteridol 279.3 mg/mL intravenous solution, 338.43 
GAIT TRAINING EA 15MIN - PT,$59.00 
GALACTOSE-1-PHOS. URIDYL TRANS,$117.00 
GAMMA GT,$41.00 
ganciclovir sodium 500 mg intravenous solution, 324.34 
GASTRIC EMPTYING IMAGING STUDY,$683.00 
GASTRIN,$100.00 
"GASTRIN, SERUM - RL",$38.00 
GASTRO TUBE CHECK PERC W/FLUOR,$244.00 
GASTRO TUBE EXCHANGE,"$1,020.00 "
GASTRO-JEJU REPLACE W/FLUORO,"$1,955.00 "
GC BY AMPLIFIED PROBE,$199.00 
GC CULTURE,$38.00 
gelatin absorbable 100 cm topical sponge, 124.72 
gelatin absorbable 100 topical sponge, 124.97 
gemcitabine 1 gram intravenous solution, 254.59 
gemcitabine 100 mg/mL intravenous solution, 227.00 
gemcitabine 200 mg intravenous solution, 106.19 
gemcitabine 200 mg/5.26 mL (38 mg/mL) intravenous solution, 55.79 
gemfibrozil 600 mg tablet, 4.22 
GENERAL ANESTH - TOTAL MIN,$5.00 
"GENERATOR, NEUROSTIM, HIGH FREQ, W/RECHARGEABLE BATTERY"," 25,150.45 "
"GENERATOR, NEUROSTIM, IMPLANTABLE, W/RECHGBLE BATT"," 35,001.79 "
"GENERATOR, NEUROSTIMULATOR, NONRECHARGEABLE"," 35,977.20 "
GENTAMICIN,$67.00 
gentamicin 0.1 % topical cream, 123.45 
gentamicin 0.3 % (3 mg/gram) eye ointment, 88.60 
gentamicin 0.3 % eye drops, 69.78 
gentamicin 100 mg/100 mL in sodium chloride(iso) intravenous piggyback, 13.50 
gentamicin 120 mg/100 mL in sodium chloride(iso) intravenous piggyback, 10.75 
gentamicin 40 mg/mL injection solution, 26.92 
gentamicin 80 mg/100 mL in sodium chloride(iso) intravenous piggyback, 10.25 
gentamicin sulfate (pediatric) (PF) 20 mg/2 mL injection solution, 11.82 
GI BLEEDING STUDY,$683.00 
"GI PATHOGEN PANEL, PCR, F",$250.00 
"GIARDIA AB BY IFA, EACH AB",$67.00 
GIARDIA AG BY EIA,$67.00 
"GLIADIN (DEAMIDATED) AB, IGA",$43.00 
"GLIADIN (DEAMIDATED) AB, IGG",$43.00 
GLIDEWIRE,$210.00 
glimepiride 1 mg tablet, 2.01 
glimepiride 2 mg tablet, 2.52 
glipiZIDE 10 mg tablet, 2.00 
glipiZIDE 5 mg tablet, 2.00 
"glipiZIDE ER 5 mg tablet, extended release 24 hr", 2.00 
GLOMERULAR BA MEM AB,$74.00 
"glucagon (human recombinant) 1 mg Injection Kit,glucagon (human recombinant) 1 mg solution for injec,glucagon (human recombinant) 1 mg Injection,glucagon HCl 1 mg solution for injection", 514.80 
glucagon (human recombinant) 1 mg/mL solution for injection, 308.88 
glucagon HCl 1 mg solution for injection, 511.50 
glucose 4 gram chewable tablet, 2.15 
GLUCOSE POST DOSE,$28.00 
GLUCOSE TOLERANCE 2 HRS,$74.00 
GLUCOSE TOLERANCE 3 SPECIMENS,$74.00 
"GLUCOSE, BODY FLUID",$24.00 
"GLUCOSE, BODY FLUIDS - RL",$24.00 
"GLUCOSE, QUANTATIVE",$30.00 
GLUTEN IGG,$31.00 
glyBURIDE 5 mg tablet, 2.00 
glyBURIDE 5 mg-metformin 500 mg tablet, 2.64 
glycerin (adult) rectal suppository, 2.00 
glycerin (child) rectal suppository, 2.00 
glycerin 99.5 % topical solution, 33.58 
glycopyrrolate 0.2 mg/mL injection solution, 46.91 
glycopyrrolate 1 mg tablet, 2.81 
GLYCOSYLATED HB,$56.00 
golimumab 12.5 mg/mL intravenous solution," 5,200.71 "
goserelin 10.8 mg subcutaneous implant," 5,445.00 "
goserelin 3.6 mg subcutaneous implant," 1,815.00 "
GRAFT/PATCH VASCULAR," 2,017.23 "
"GRAFTJACKET, PER SQ CM"," 6,077.27 "
GRAM STAIN,$25.00 
GROWTH HORMONE,$95.00 
"GTT, EA ADD'L SPECIMEN >3",$24.00 
guaiFENesin 100 mg/5 mL oral liquid, 2.00 
"guaiFENesin ER 600 mg tablet, extended release 12 hr", 2.26 
guanFACINE 1 mg tablet, 2.00 
"GUIDANCE, NDL EMG",$100.00 
GUIDEWIRE,$333.00 
GUIDEWIRE, 319.48 
GUIDEWIRE,$195.00 
GUIDEWIRE,$37.00 
GUIDEWIRE ANY,$422.00 
"GUIDEWIRE, 035X260",$37.00 
H INFLUENZAE B AB (EIA),$89.00 
H&E STAINED SLIDE,$52.00 
haemoph b polysac conj-mening (PF) 7.5 mcg/0.5 mL intramuscular soln, 76.45 
haemophilus B polysaccharid conj-tetanus tox(PF) 10 mcg/0.5 mL IM soln, 100.82 
haloperidol 0.5 mg tablet, 2.00 
haloperidol 1 mg tablet, 2.00 
haloperidol 10 mg tablet, 2.00 
haloperidol 2 mg/mL oral concentrate, 2.69 
haloperidol 5 mg tablet, 2.10 
haloperidol decanoate 100 mg/mL intramuscular solution, 36.21 
haloperidol decanoate 50 mg/mL intramuscular solution, 40.48 
haloperidol lactate 5 mg/mL injection solution, 10.00 
HAND 2 VIEW,$124.00 
HAND COMPLETE,$248.00 
HAPTOGLOBIN,$7.00 
HAV-AB-IGM,$65.00 
HB CHROMATOGRAPHY FRACT & QNT,$98.00 
"HB ELECT HB A2, QUANT",$74.00 
HB ELECTROPHORESIS FRACT & QNT,$74.00 
HB VARIANT BY MASS SPEC,$149.00 
HBCAB,$69.00 
HBCAB-IGM,$68.00 
HBEAB,$67.00 
HBEAG,$66.00 
HBSAB,$61.00 
HBSAG,$59.00 
HBSAG NEUTRALIZATION,$9.00 
HBV GENOTYPE,"$1,239.00 "
"HC CMV DNA, QUANTITATIVE, CSF",$118.00 
HC FECAL MICROBIOTA," 1,564.85 "
HC ICD LUMAX DR-T 300/340, 592.95 
"HC ICD, PROTECTA/ EVERA XT DR", 757.34 
HC S ABLATION CATHETER," 1,798.44 "
HC S DESILETS-HOFFMAN INTRODUCER, 592.95 
HC S STENT BILIARY CORDIS 8X20," 4,280.24 "
HC SCRW HIP ASNI," 27,770.17 "
HC TRACH-ESOPH VOICE PROSTHESIS, 586.06 
HCG QUANTITATIVE,$86.00 
HCV FIBROSURE-A2 MACROGLOBULIN,$27.00 
HCV FIBROSURE-ALT (SGPT),$31.00 
HCV FIBROSURE-APOLIPOPROTEIN,$89.00 
HCV FIBROSURE-GGT,$41.00 
"HCV FIBROSURE-HAPTOGLOBIN, QNT",$72.00 
HCV FIBROSURE-TOTAL BILIRUBIN,$20.00 
HCV GENOTYPE,"$1,452.00 "
HCV QUALITATIVE RNA,$195.00 
HCV QUANTITATION BY PCR,$242.00 
HCV RNA GENOTYPE 3 NS5A DRUG RESIST,"$1,452.00 "
HCV RNA ULTRAQUANT BY PCR,$242.00 
HCV-AB,$81.00 
HDL CHOLESTEROL,$47.00 
HELICOBACTER PYLORI AG STOOL,$27.00 
HELICOBACTER PYLORI IGG,$67.00 
HEMATOCRIT,$14.00 
HEMATOLOGY PROFILE,$37.00 
HEMOCHROMATOSIS DNA,$790.00 
HEMODIALYSIS,"$1,268.00 "
HEMODIALYSIS 1:1,"$1,089.00 "
HEMOGLOBIN,$14.00 
HEMOGLOBIN A2 & F - RL,$98.00 
"HEMOGLOBIN S, SCRN - RL",$57.00 
HEMORRHOID LIGATION,"$1,867.00 "
"HEMOSIDERIN, URINE",$28.00 
"HEP B VIRAL DNA BY PRC, QUAL",$195.00 
hep B-DP(a)T-polio vacc (PF) 10 mcg-25Lf-25 mcg-10Lf/0.5 mL IM syringe, 219.60 
"heparin (porcine) (PF) 1,000 unit/500 mL in 0.9 % sodium chloride IV", 12.75 
"heparin (porcine) 1,000 unit/mL injection solution", 10.27 
"heparin (porcine) 10,000 unit/mL injection solution", 12.88 
"heparin (porcine) 25,000 unit/250 mL (100 unit/mL) in dextrose 5 % IV", 25.24 
"heparin (porcine) 5,000 unit/mL injection solution", 10.66 
HEPARIN INDUC THROMBOCYTOPENIA,$104.00 
heparin lock flush (porcine) 100 unit/mL intravenous solution, 10.00 
HEPARIN XA ASSAY,$73.00 
"heparin, porcine (PF) 10 unit/mL intravenous syringe", 10.00 
"heparin, porcine (PF) 100 unit/mL (1 mL) intravenous solution", 10.00 
"heparin, porcine (PF) 100 unit/mL intravenous syringe", 10.00 
HEPATBIL IMG INC GLBDR W/INTVN,$710.00 
"HEPATIC FUNCTION PANEL,7 TESTS",$47.00 
hepatitis A and B virus vaccine(PF) 720 ELISA unit-20 mcg/mL IM susp, 289.80 
hepatitis A and B virus vaccine(PF)720 ELISA unit-20 mcg/mL IM syringe, 287.35 
HEPATITIS A ANTIBODY IGG,$65.00 
"hepatitis A vaccine (PF) 1,440 ELISA unit/mL intramuscular syringe", 200.40 
"hepatitis A virus vaccine (PF) 1,440 ELISA unit/mL IM suspension", 200.40 
hepatitis A virus vaccine (PF) 25 unit/0.5 mL intramuscular suspension, 187.69 
hepatitis A virus vaccine (PF) 720 ELISA unit/0.5 mL IM syringe, 93.60 
HEPATITIS B DNA QUANT BY PCR,$242.00 
hepatitis B immune globulin greatr than 312 unit/mL intramuscular soln," 1,377.68 "
HEPATITIS B SURFACE AB TITER,$61.00 
"HEPATITIS B VIRAL DNA, QUANT",$242.00 
hepatitis B virus vaccine recomb (PF) 10 mcg/0.5 mL IM syringe, 66.90 
"hepatitis B virus vaccine recomb (PF) 10 mcg/0.5 mL IM syringe,hepatitis B virus vaccine recomb (PF) 10 mcg/0.5 mL intramuscular susp", 66.90 
hepatitis B virus vaccine recomb (PF) 10 mcg/0.5 mL intramuscular susp, 66.90 
hepatitis B virus vaccine recomb (PF) 10 mcg/mL intramuscular susp, 184.62 
"hepatitis B virus vaccine recomb (PF) 10 mcg/mL intramuscular susp,hepatitis B virus vaccine recomb (PF) 10 mcg/mL intramuscular syringe", 183.02 
hepatitis B virus vaccine recomb (PF) 20 mcg/mL intramuscular susp, 169.50 
hepatitis B virus vaccine recomb (PF) 20 mcg/mL intramuscular syringe, 169.50 
"HEPATITIS C RNA GENOTYPE, LIPA","$1,452.00 "
HEPATITIS DELTA AB-RL A,$96.00 
"HEPATITIS PANEL, ACUTE",$269.00 
HEPATOBIL IMG INC GALLBLADDER,$710.00 
HER-2 MORPHOMETRIC IHC,$128.00 
"HER2, GASTROESOPHAGEAL FISH, DNA PROBE EACH - RL",$121.00 
"HERPESVIRUS-6 HUMAN AB, EACH",$65.00 
hetastarch 6 % in 0.9 % sodium chloride intravenous solution, 56.88 
hetastarch in lact electrolyte 6 % intravenous solution, 97.50 
HETEROPHILE ANTIBODY SCREEN,$48.00 
HETEROPHILE ANTIBODY TITER,$48.00 
HEXAGONAL PHOSPHOLIPID NEUTRAL,$70.00 
HGB ELECTROPHORESIS - RL,$74.00 
"HGB ELECTROPHORESIS, ACID",$74.00 
HIGH FLOW DEL DISP CIRCUIT,$86.00 
HIGH FLOW DELIVERY CANNULA,$14.00 
"HISTAMINE, BLOOD",$197.00 
HISTOPLASMA AB BY ID,$72.00 
"HISTOPLASMA ANTIGEN, SERUM",$69.00 
"HISTOPLASMA ANTIGEN, URINE",$69.00 
HISTOPLASMA MYCELIA AB BY CF,$72.00 
HISTOPLASMA YEAST AB BY CF,$72.00 
"HIV1 & HIV2, SGL ASSAY",$60.00 
HIV-1 AG W/ HIV1 AB & HIV2 AB,$81.00 
HIV-1 DNA QUAL BY PCR,$199.00 
HIV-1 DNA/RNA QUALITATIVE,$356.00 
HIV-1 GENOTYPE R PLUS,"$1,452.00 "
HIV-1 GENOTYPIC DRUG RESIST,"$1,452.00 "
HIV-1 INTEGRASE GENOTYPE,$575.00 
HIV-1 RNA ULT QUANT BY PCR,$927.00 
HLA A LOCUS DNA LR,$536.00 
HLA AB SCREEN LUMINEX SA,$611.00 
HLA B LOCUS DNA LR,$536.00 
HLA B*57:01,$335.00 
HLA B27 BY DNA,$261.00 
HLA C LOCUS DNA LR,$536.00 
HLA DPA1 LOCUS DNA LR,$416.00 
HLA DPB1 LOCUS DNA LR,$416.00 
HLA DQA1 LOCUS DNA LR,$416.00 
HLA DQB1 LOCUS DNA LR,$416.00 
HLA DRB1 LOCUS DNA LR,$416.00 
HLA DRB3/4/5 LOCUS DNA LR,$416.00 
HLA SERUM ALIQUOT AND STORAGE,$45.00 
HMGCR (HMG COENZYME A REDUCTASE) AB,$119.00 
"HOMOCYSTINES, PLASMA",$92.00 
HOURLY OBSERVATION BED CHARGE,$23.00 
"HPV,HIGH RISH TYPES",$199.00 
HSV 1 DNA PCR AMPLIFIED PROBE,$199.00 
HSV 2 DNA PCR AMPLIFIED PROBE,$199.00 
"HSV AB SCREEN, IGM, EIA",$38.00 
"HSV AB, IGM BY IFA",$41.00 
HSV BY RAPID PCR,$199.00 
HSV1 IGG,$75.00 
HSV2 IGG,$110.00 
"HTLV I/II ANTIBODY, DONOR EVAL",$54.00 
HTLV-1 ANTIBODY,$47.00 
hum prothrombin cplx (PCC) 4factor 500 unit (400-620 unit) IV solution," 4,296.60 "
"human papillomavirus vaccine,9-valent (PF) 0.5 mL IM suspension", 612.35 
HUMERUS ROUTINE,$248.00 
HUMORAL DIPHTHERIA TOXOID AB,$84.00 
HUMORAL TETANUS TOXOID AB,$56.00 
HX REVISE EYELASHES/CRYO OR LASER,$600.00 
"hyaluronidase, human recombinant 150 unit/mL injection solution", 167.40 
hydrALAZINE 10 mg tablet, 2.00 
hydrALAZINE 20 mg/mL injection solution, 10.00 
hydrALAZINE 25 mg tablet, 2.00 
hydrALAZINE 50 mg tablet, 2.00 
HYDRATION- EACH ADDITIONAL HOUR,$72.00 
hydroCHLOROthiazide 12.5 mg capsule, 2.00 
hydroCHLOROthiazide 12.5 mg tablet, 2.03 
hydroCHLOROthiazide 25 mg tablet, 2.00 
HYDROcodone 10 mg-acetaminophen 325 mg tablet, 2.63 
HYDROcodone 5 mg-acetaminophen 325 mg tablet, 2.00 
HYDROcodone 7.5 mg-acetaminophen 325 mg tablet, 2.04 
HYDROcodone 7.5 mg-acetaminophen 325 mg/15 mL oral solution, 3.62 
"HYDROCODONE AND MTB, FREE",$83.00 
hydrocortisone 0.5 % topical cream, 9.32 
hydrocortisone 1 % topical cream, 8.33 
hydrocortisone 10 mg tablet, 2.00 
"hydrocortisone 100 mg solution for injection,hydrocortisone sod succinate (PF) 100 mg/2 mL solution for injection", 27.60 
hydrocortisone 2.5 % topical cream, 65.31 
hydrocortisone 2.5 % topical cream with perineal applicator, 224.67 
hydrocortisone 20 mg tablet, 2.00 
hydrocortisone 5 mg tablet, 2.00 
hydrocortisone acetate 25 mg rectal suppository, 38.11 
hydrocortisone sod succinate (PF) 100 mg/2 mL solution for injection, 40.29 
hydrocortisone sod succinate (PF) 250 mg/2 mL solution for injection, 74.52 
hydrocortisone sodium succinate 100 mg solution for injection, 14.91 
hydrocortisone-pramoxine 1 %-1 % topical foam, 144.35 
HYDROmorphone (PF) 10 mg/mL injection solution, 10.00 
"hydromorphone (PF) 2 mg/mL injection solution,hydromorphone 2 mg/mL injection solution,hydromorphone 2 mg/mL injection syringe", 10.00 
HYDROmorphone (PF) 6 mg/30 mL (0.2 mg/mL) in 0.9% NaCl IV PCA syringe, 27.08 
"hydromorphone 1 mg/mL injection solution,hydromorphone 1 mg/mL injection syringe,hydromorphone 1 mg/mL (1 mL) in 0.9 % sodium chloride IV syringe,HYDROmorphone (PF) 1 mg/mL in 0.9% sodium chloride intravenous syringe,HYDROmorphone (PF) 1 mg/mL injection solution,HYDROmorphone (PF) 1 mg/mL injection syringe", 10.00 
HYDROmorphone 1 mg/mL injection syringe, 10.00 
HYDROmorphone 10 mg/50 mL (0.2 mg/mL) in 0.9 % NaCl IV PCA syringe, 27.25 
HYDROmorphone 2 mg tablet, 3.11 
HYDROmorphone 2 mg/mL injection solution, 10.00 
HYDROmorphone 2 mg/mL injection syringe, 10.00 
HYDROmorphone 6 mg/30 mL (0.2 mg/mL) in 0.9 % NaCl IV PCA syringe, 27.98 
"hydromorphone 6 mg/30 mL (0.2 mg/mL) in 0.9 % NaCl IV PCA syringe,hydromorphone (PF) 6 mg/30 mL (0.2 mg/mL) in 0.9% NaCl IV PCA syringe,hydromorphone 6 mg/30 mL in 0.9 % sodium chloride PCA intravenous soln", 27.53 
hydroxychloroquine 200 mg tablet, 10.52 
hydroxyurea 500 mg capsule, 2.82 
hydrOXYzine HCl 10 mg/5 mL oral solution, 62.93 
hydrOXYzine HCl 25 mg tablet, 2.00 
hydrOXYzine HCl 50 mg/mL intramuscular solution, 66.75 
hydrOXYzine pamoate 25 mg capsule, 2.00 
hydrOXYzine pamoate 50 mg capsule, 2.00 
"hyoscyamine 0.125 mg sublingual tablet,hyoscyamine 0.125 mg disintegrating tablet", 3.77 
hyoscyamine sulfate 0.125 mg tablet, 2.34 
HYPOGLYCEMIC AGENT SCREEN,$114.00 
hypromellose 2.5 % eye drops, 34.22 
HYSTERSALPINGOGRAPHY S&I,$580.00 
I & D PERIRECTAL ABSCESS,"$4,455.00 "
"I&D MOUTH/TONG INTRA,MASTICATOR",$823.00 
"I&D MOUTH/TONG INTRA,SUBMANDIBULAR","$2,291.00 "
I&D PILONIDAL CYST COMPLEX,"$1,685.00 "
I&D PILONIDAL CYST; SIMPLE,$271.00 
I&D VULVA/PERINEAL ABSCESS,$285.00 
I&D; PERIANAL ABSCESS,$577.00 
I131 CAP DX PER MCI,$107.00 
I-131 CAP PER MCI TX,$107.00 
IBD SGI ANIT-FLAX IGG,$74.00 
IBD SGI ANTI-A4-FLA2 IGG,$74.00 
IBD SGI ANTI-CBIR1,$74.00 
IBD SGI ANTI-OMPC,$74.00 
IBD SGI ASCA IGA,$74.00 
IBD SGI ASCA IGG,$74.00 
IBD SGI ATG16L 1 SNP (RS2241880),$87.00 
IBD SGI CRP,$30.00 
IBD SGI ECM1 SNP (RS3737240),$87.00 
IBD SGI IBD DNASE SENSITIVITY,$124.00 
IBD SGI IBD SPEC PANCA INDIRECT IFA IGG,$124.00 
IBD SGI ICAM-1 CHEMILUMINESCENCE,$79.00 
IBD SGI NKX2-3 SNP (RS10883365),$87.00 
IBD SGI SSA CHEMILUMINESCENCE,$79.00 
IBD SGI STAT3 SNP (RS744166),$87.00 
IBD SGI VCAM-1 A CHEMILUMINESCENCE,$79.00 
IBD SGI VEGF,$74.00 
ibuprofen 100 mg/5 mL oral suspension, 10.31 
ibuprofen 200 mg tablet, 2.00 
ibuprofen 400 mg tablet, 2.00 
ibuprofen 600 mg tablet, 2.00 
ibutilide fumarate 0.1 mg/mL intravenous solution," 1,356.80 "
ICD DEVICE INTERROG.,$107.00 
"ICD DEVICE PROG EVAL,DUAL",$107.00 
"ICD DEVICE PROG EVAL,SNGL",$107.00 
ICU ROOM,"$1,100.00 "
ID MALDI-TOF MASS SPEC AFB,$106.00 
"ID, REF MYCOBACTERIA CULT",$25.00 
IEF CONFIRMS,$70.00 
ifosfamide 1 gram intravenous solution, 160.53 
IGA (QUAN),$53.00 
IGE-IMMUNOGLOBULIN,$94.00 
IGF BINDING PROTEIN 3,$145.00 
IGF-II,$27.00 
IGG (QUANT),$53.00 
IGG INDEX-TOTAL IGG CSF,$53.00 
IGG INDEX-TOTAL IGG SERUM,$53.00 
IGG SUBCLASSES - IGG1,$28.00 
IGG SUBCLASSES - IGG2,$28.00 
IGG SUBCLASSES - IGG3,$28.00 
IGG SUBCLASSES - IGG4,$28.00 
IGH SOMATIC HYPERMUTATION IN B-CLL,$655.00 
IGM (QUAN),$53.00 
IHC OR ICC EACH ADD'L SINGLE ANTIBODY STAIN,$113.00 
ILEOSCOPY - DIAGNOSTIC (THROUGH OSTOMY),"$1,960.00 "
ILIAC REVASC,"$4,410.41 "
ILIAC REVASC W/STENT,"$9,119.70 "
ILIAC REVASC W/STENT ADD-ON,"$4,410.41 "
IMAGE GUIDANCE FOR DRAINAGE W/CATH PLMNT,$396.00 
"IMG GUIDE FLUID COLL DRAIN BY CATH VISCERAL PERC-ABCESS,HEMATOMA,CYST-KIDNEY/LIVER/SPLEEN/LUNG","$2,768.00 "
imipenem-cilastatin 250 mg intravenous solution, 33.45 
imipenem-cilastatin 500 mg intravenous solution, 70.15 
imipramine 25 mg tablet, 2.00 
immune glob G 10 gram/100 mL(10%)-gly-IgA ave 46 mcg/mL injection soln," 3,371.00 "
immune glob G 20 gram/200 mL(10%)-gly-IgA ave 46 mcg/mL injection soln," 6,742.00 "
"immune glob G 5 gram/50 mL(10 %)-gly-IgA over 50 mcg/mL injection soln,immun glob G 10 gram/100 mL(10%)-gly-IgA,immun glob G 20 gram/200 mL(10%)-gly-IgA"," 5,056.50 "
"immune glob,gamm(IgG) 10 %-pro-IgA 0 to 50 mcg/mL intravenous solution"," 4,760.00 "
immune globulin (human) (IgG) 10 % intravenous solution," 2,770.75 "
IMMUNIZATION ADMINISTRATION 1 VACCINE,$43.78 
