Procedure Description,Unit Price
HC HLA ANTIBODY ID CLASS II,1120
HC HLA ANTIBODY SINGLE AG CLASS I,1120
HC HLA ANTIBODY SINGLE AG CLASS II,1120
HC HLA B CELL CROSSMATCH MULTI,932
HC HLA COMPATIBLE,1147
HC HLA COMPATIBLE PLATELET,1147
HC HLA COMPATIBLE PLATELET,1147
HC HLA CYTOTOXIC AB SCRE - CHRG O,555
HC HLA CYTOTOXIC ANTIBODY QUICK,377
HC HLA DR/DQ TYPE,1955
HC HLA I & II TYPING LR,3593
HC HLA LR CLASS II CELIAC DISEASE,222
HC HLA T CELL ANTIGLOBULIN CROSSM,527
HC HLA T CELL CROSSMATCH (MULTI S,932
HC HLA T CELL CROSSMATCH SGL S,528
HC HLA TYPE (DR LOCUS) - CHRG ONL,902
HC HLA TYPE(ABC LOCUS) - CHRG ONL,806
HC HLA-ABC TYPE,1746
HC HLA-B CELL CROSSMATCH (SINGLE,451
HC HLA-B27 TEST,676
HC HLA-B27 TEST Lab,676
HC HO POST OP HIP ABDUC CUST FIT,3409
HC HOLSTER ELEC/COMBO VAD REP,1345
HC HOLTER RECORD CHARGE,577
HC HOME SLEEP TEST/TYPE3 PORTA,628
HC HOMOCYSTEINE,235
HC HOMOGENIZ TISS FOR CULTURE,67
HC HOSPITAL OBSERVATION FIRST HR,583
HC HPA 1A/1B AS-PCR,350
HC HPA 1A/1B GENOTYPING,452.67
HC HPA GENOTYPING PANEL (HPA 1 2 3 4 5 6 7 8 9 11 15),452.67
HC HPA-2 GENOTYPING,452.67
HC HPA-4 GENOTYPING,452.67
HC HPA-5 GENOTYPING,452.67
HC HPA-6W GENOTYPING,452.67
HC HPA-9W GENOTYPING,452.67
HC HPV HIGH-RISK TYPES,134
HC HPV TYPES 16 & 18 ONLY,134
HC HRAS NGS MUTATION ANALYSIS,42
HC HSV 1/2 HERPESELECT,269
HC HSV CULTURE IF EA ANTISERUM,101
HC HSV TYPE 1&2 DNA  QUALITATIVE REAL-TIME PCR PANEL,413
HC HSV TYPE 1&2 DNA  QUALITATIVE REAL-TIME PCR PANEL (PRICE PANEL CHARGE),412.99
HC HSV TYPE 1&2 DNA  QUANTITATIVE REAL-TIME PCR,550
HC HSV TYPE 1&2 DNA  QUANTITATIVE REAL-TIME PCR PANEL  (PRICE PANEL CHARGE),549.99
HC HSV1 IGG,181
HC HSV2 IGG,267
HC HUMAN GROWTH HORMONE (RIA),233
HC HUMAN HERPESVIRUS 6 (HHV-6),155
HC HUMAN METAPNEUMOVIRUS,150
HC HUMAN RHINOVIRUS,150
HC HYDROXYPROGESTERONE 17-D,373
HC HYPERTHERMIA EXT; DEEP 4+ CM,1515
HC HYPERTHERMIA EXT; SUPERFICIAL =<4 CM,1573
HC HYPERTHERMIA INTERST; > 5 APPL,1515
HC HYPERTHERMIA INTERST; 5 OR < APPL,1515
HC HYSTEROGR/SIS CONTR/SALINE INJ,1828
HC HYSTEROSALPINGOGRAM,1508
HC I & D COMPLEX POSTOP WOUND INF,2072
HC I&D ABSC; SMPL OR SGL,354
HC I&D ABSCESS MULI OR COMPLEX,354
HC I&D ABSCESS PERITONSILLAR,481
HC I&D ABSCESS SIMPLE OR SINGLE,354
HC I&D ABSCESS SINGLE,354
HC I&D BARTHOLIN GLAND ABSCESS,583
HC I&D EPIDIDYMIS TESTIS/SCROTAL SP,4075
HC I&D HEMATOMA/SEROMA,3239
HC I&D OF BARTHOLIN'S GLAND ABSCESS,583
HC I&D OF HEMATOMA,2578
HC I&D OF PERIANAL ABSCESS SUPERF,823
HC I&D PILONIDAL CYST SIMPLE,405
HC I&D VULVA PERINEAL ABSCESS,504
HC I&D; PERIRECTAL OR ISCHIAL ABSCESS,3030
HC IA BY EIA - MULTI STEP,309
HC IA QUANT; CA 125,294
HC IA QUANT; CA 15-3 (27.29),287
HC IA QUANT; CA 19-9,294
HC IADNA-DNA/RNA PROBE TQ 12-25,1580
HC IC BAL DIL VASOSPASM INIT,12586
HC ICC ABLATION AV NODE-CREATE CH,17511
HC ICD LEAD INSERT/REPOS SGL CHAM,56920
HC ID; GEL QUAL; EA AB/AG,165
HC IDH1 COMMON VARIANTS,580
HC IDH1 NGS MUTATION ANALYSIS,499
HC IDH2 COMMON VARIANTS,887
HC IDH2 GENE ANALYSIS,614
HC IGG SUBCLASSES,110
HC IGH PET,833
HC IGH/B CELL CLONAL/LINEAGE,833
HC IH BRONCH CHALLENGE: W HISTAMINE,1248
HC ILEOSCOPY THROUGH STOMA DIAG,2242
HC ILEOSCOPY THRU STOMA; W BX SGL/MULTI,2783
HC ILIAC ARTERY ANGIOGRAM,827
HC ILIAC REVASC,11728
HC ILIAC REVASC ADD-ON,11728
HC ILIAC REVASC ADD-ON,11728
HC ILIAC REVASC W/STENT,11728
HC ILIAC REVASC W/STENT,11728
HC ILIAC REVASC W/STENT ADD-ON,11728
HC IMAGE CATH FLUID COLXN VISC,4088
HC IMAGE CATH FLUID PERI/RETRO,5111
HC IMAGE CATH FLUID TRNSVGNL/RCTL,3164
HC IMIPRAMINE,237
HC IMMEDIATE CYTOHISTO ADD EVAL,108
HC IMMUNE COMPLEX,337
HC IMMUNFIX E-PHORSIS/URINE/CSF,410
HC IMMUNIZATION ADMIN 1 VACCINE,150
HC IMMUNOASSAY ANALYTE QUANTITATI,180
HC IMMUNOASSAY OTHER QUAL/SEMI-Q,147
HC IMMUNOASSAY QUAL MULTI STEP,147
HC IMMUNOASSAY QUANT NON OTH SPEC,180
HC IMMUNOASSAY QUANT RIA,185
HC IMMUNOASSAY QUANTITATIVE BY RIA,185
HC IMMUNOASSAY QUL/SEMI QNT,147
HC IMMUNOCYTOCHEM  5 AB  TC PANEL (PRICE PANEL CHARGE),482.96
HC IMMUNOFLUORESCENCE EA AB,349
HC IMMUNOFLUORESCENCE EA AB ADD'L,163
HC IMMUNOFLUORESCENCE EA AB ADD'L,349
HC IMMUNOHISTO AB SLIDE;ADD'L,349
HC IMMUNOHISTO AB SLIDE;MULTIPLEX,349
HC IMMUNOHISTOCHEMISTRY EA AB,349
HC IMPL PT-ACTIV CARD EVENT RECORDER,8090
HC IMPLANT NEUROSTIM ELECTRODES EPIDURAL SPINE,18828
HC IMPLANTABLE TISSUE MARKER  EACH,1245
HC IMPLTJ TOTAL RPLCMT HEART SYS W/RCP CARDIECTOMY,375576
HC IMPLTJ TOTAL RPLCMT HEART SYS W/RCP CARDIECTOMY,375576
HC IMRT TX DELIVERY; INCLUDES GUIDANCE; COMPLEX,2320
HC IMRT TX DELIVERY; INCLUDES GUIDANCE; SIMPLE,2320
HC IN SITU HYBRIDIZATION,332
HC IN TRIGGER POINT 1/2 MUSCL,467
HC INC & DRAIN SCROTAL WALL ABSCE,2034
HC INC CONJUNCTIVA DRAINAGE OF CYST,2501
HC INCIS LABIAL FRENUM(FRENOTOMY),1140
HC INCISION DRAIN LACRIMAL SAC,4415
HC INCISION OF THROMBOSED HEMORRH,692
HC INCS & REM FB SUBQ SIMPLE,354
HC INDIRECT COOMBS/EA SELECTED RGT CELL,80
HC INDUCED ABORTION BY INTRA-AMNIOTIC INJ 1 OR MORE,7154.2
HC INFANT LONG BONE SURVEY,569
HC INFANT TRANSITORY CARE,581
HC INFECT AG NUCLEIC ACID QUANT,589
HC INFECT AGENT AG CRYTOSPORIDIUM,155
HC INFECT AGENT DETECT NOS,155
HC INFECT AGENT GENO REVERSE,3531
HC INFLUENZA A AND INFLUENZA B,150
HC INFLUENZA A H1,150
HC INFLUENZA A H3,150
HC INFLUENZA A&B ANTIBODY,191
HC INFLUENZA A/B AG EIA,155
HC INFLUENZA VACCINE QUAD 0.5 ML,57
HC INFUSION OTHER THAN CHEMO,589
HC INFUSION PUMP OR,8
HC INFUSION THERAPY,589
HC INHIBIN A,185
HC INJ (SQ/IM),112
HC INJ ANES AG OTH PERIP NRV/BRCH,634
HC INJ ANES AGNT PUDENDAL NERVE,1621
HC INJ ANES AGT BRACH PLEXUS SGL,793
HC INJ ANES AGT FEMORAL NRV SGL,967
HC INJ ANES AGT SCIATIC NERVE SGL,1965
HC INJ ANESTH OTH PERIPHRL NV BR,634
HC INJ ANESTH TRIGEMINAL NERVE,349
HC INJ ANESTH; SUPRASCAPULAR NERVE,817
HC INJ ANESTH;CELIAC PLEXUS,2689
HC INJ ANTE NEPHROS/URET;EXIST AC,4887
HC INJ ANTE NEPHROS/URET;NEW ACC,1702
HC INJ CORPORAR CACEROSA W/AGENTS,674
HC INJ CYSTOGRAPHY,336
HC INJ DESCTRUCT NERVE CELIAC PLEXUS,2115.87
HC INJ DX/T SUBST EPID/SA;;C-T,1661
HC INJ DX/T SUBST EPID/SA;L-S,1661
HC INJ EPIDURAL BLOOD OR CLOT PAT,1865
HC INJ FOR LYMPHANGIOGRAPHY UNI,418
HC INJ FOR RETRO URETH CYST,432
HC INJ INTO IV,589
HC INJ INTRALESIONAL=<7 LESIONS,272
HC INJ LYMPHANG ID SENTINEL NODE,535
HC INJ PARAVERT JNT W US GUID C/T SNGL LVL,2115.87
HC INJ PLT RICH PLASMA INCL GUID,800
HC INJ PROC ANKLE ARTHROGRAM,419
HC INJ PROC  SEL OPAC  ART COND,358
HC INJ PV FAC JT W/GUID SGL; L-S,1996
HC INJ PV FAC JT W/GUID SGL;C-T,1677
HC INJ SCLEROSANT 1 INCOMPETENT VEIN,978.33
HC INJ SCLEROSING SOLN MULTI VEIN,330
HC INJ SINUS TRACT DIAG  SINOGRAM,645
HC INJ SINUS TRACT  THERAPEUTIC,2715
HC INJ SL/MLT TRIG PTS 3+ MUSCLES,544
HC INJ TENDON OIRG/INSERTION,597
HC INJ TENDON/LIGAMENT/CYST,596
HC INJ TO SEE ILEAL CONDUIT /URETEROPYELOGR,795.57
HC INJ TRNSFORAM EPID L/S 1ST L,1981
HC INJ URETEROG VIA URETEROS/CATH,1041
HC INJ XRAY STUDY SHUNT,1844.37
HC INJECT COGENITAL CARD CATH,245
HC INJECT DISK FOR X-RAY EA LVL LUMBAR,576.19
HC INJECT FOR SACROILIAC JOINT,1623
HC INJECT L VENTR/ATRIAL ANGIO,265
HC INJECT PULM ART HRT CATH,243
HC INJECT R VENTR/ATRIAL ANGIO,243
HC INJECT SUPRVLV AORTOGRAPHY,1787
HC INJECT TRIGGER POINT 1 OR 2,467
HC INJECTION(S)   SINGLE LVL ANESTHETIC AGENT AND/OR STEROID  TRANSFORAMINAL EPIDURAL  W/IMAGING GUIDANCE (FLUOROSCOPY OR CT); CERVICAL OR THORACIC,1981
HC Injection(s)  diagnostic or therapeutic agent  paravertebral facet joint with imaging guidance (FL or CT); cervical or thoracic  2ND LEVEL,1047
HC Injection(s)  diagnostic or therapeutic agent  paravertebral facet joint with imaging guidance (FL or CT); Lumbar or sacral; third and any additional levels,1047
HC INJECTION(S)  EACH ADDITIONAL LEVEL ANESTHETIC AGENT AND/OR STEROID TRANSFORAMINAL EPIDURAL W/IMAGING GUIDANCE (FLUOROSCOPY OR CT) CERVICAL OR THORACIC,1031
HC Injection(s)  of diagnostic  therapeutic substance(s) (eg  anesthetic  antispasmodic  opioid  steroid  other solution)  not including neurolytic substances  including needle or catheter placement  interlaminar epidural or subarachnoid ,1710
HC Injection  anesthetic agent and/or steroid  transforaminal epidural with imaging guidance (fluoroscopy or CT); lumbar or sacral  EA ADDL LEVEL,1047
HC INJECTION  ANESTHETIC AGENT; GREATER OCCIPETAL NERVE,770
HC INJECTION  ANESTHETIC AGENT; INTERCOSTAL NERVE  SINGLE,1662
HC INS CANNULA PROLONGED ECMO,3372
HC INS CATH REN ART 1ST BILAT,9025
HC INS CECOS/COLON TUBE PERC FLUO,2522
HC INS ENDOVAS VENA CAVA FILTR S&I,8022
HC INS NON-TUNNEL CV CATH >5YRS,2003
HC INS PICC AGE 5 YRS/>,2504
HC INS VAG BRACHYTX DEVICE,961
HC INSERT 1 ELECTRODE PM-DEFIB,7930
HC INSERT 2 ELECTRODE PM-DEFIB,7930
HC INSERT CARD ELECTRODES DUAL,6683
HC INSERT CATH INTRAPERI TUNL W SUBQ PRT,12486.27
HC INSERT CATH PLEURA W/ IMAGE,1656
HC INSERT CATH PLEURA W/O IMAGE,1490
HC INSERT CATH PLEURA W/O IMAGE,1745
HC INSERT CERVICAL DILATOR,917
HC INSERT ELECTRD/PM CATH SNGL,6363
HC INSERT HEART PM ATRIAL,10934
HC INSERT HEART PM VENTRICULAR,10057
HC INSERT HEPATIC SHUNT (TIPS),4260
HC INSERT INDWL TUN PLEUR CTH W/CUFF,8668
HC INSERT INTRA-ABD PERC MRKR SNGL/MLTI,3735.42
HC INSERT NON-DWELL BLADDER CATH,184
HC INSERT PACING LEAD & CONNECT,4385
HC INSERT PULSE GEN DUAL LEADS,9671
HC INSERT PULSE GEN MULT LEADS,8724
HC INSERT PULSE GEN SNGL LEAD,8309
HC INSERT SQ DEFIB LEAD,16050
HC INSERT SQ ICD W ELECTRODE,87265
HC INSERT TEMP PACEMAKER,6363
HC INSERT TUN IP CATH PERC,8308
HC INSERT TUNN CV 2X CATH W SQ PORT,11956
HC INSERT TUNNELED CV 2X CATH WO SQ PORT,7847
HC INSERT UTERI TANDEM/OVOIDS,1863
HC INSERT VAD ART&VEIN ACCESS,67328
HC INSERT VAD ARTERY ACCESS,67328
HC INSITU HYBRIDIZATION; ADD'L,332
HC INSITU HYBRIDIZATION;MULTIPLEX,332
HC INSRT DUO/JEJ TBE PERC FL CONT,1869
HC INSRT HEART PM ATRIAL & VENT,12667
HC INSRT PULSE GEN W/MULT LEADS,46741
HC INSRT PULSE GEN W/SINGL LEAD,44095
HC INSRT TMP INDWELL BLADDER CATH,184
HC INSRT TUNNEL PLEURAL CATH W/CU,8668
HC INSRT/REPLACE PM PERM LEADLESS VENTRIC,47033.82
HC INSULIN ANTIBODIES,193
HC INSULIN TOTAL,160
HC INTEGRA ENDO/HEMI SHOULDER SYS,12645
HC INTEGRA RESURFACING SHOULDER S,16259
HC INTEGRA REVERSE SHOULDER SYS,22580
HC INTEGRA TOTAL SHOULDER SYS,15957
HC INTENS MODUL RADIO (IMRT) PLAN,13557
HC INTENSIVE CARE LABOR UNIT-PER,628
HC INTENSIVE CARE NURSERY,10022
HC INTERLEUKIN-1 BETA,608
HC INTERMED MED/RESP ICU,8168
HC INTERMEDIATE CARE LABOR UNIT-P,424
HC INTERNAL CARDIOVERSION,1412
HC INTERNAL MAMMARY ANGIO S&I,2240
HC INTERROGATE DEVICE EVAL LEADLESS PM,111.84
HC INTERST RS APPL; INTERM,2704
HC INTERST RS APPL; SIMPLE,2704
HC INTERSTITIAL APPL COMPLEX,5743
HC INTERV HLTH/BEHAV 15 MINS FAM W/PT,166
HC INTMD WND REP N-HF/GENIT =< 2.5 CM,363
HC INTMD WND REP N-HG/GENIT 2.6-7.5 CM,363
HC INTMD WND REP S/TR/EXT 12.6-20.0 CM,380
HC INTMD WND REP S/TR/EXT 7.6-12.5 CM,363
HC INTMD WND REPAIR FACE/MM =< 2.5 CM,453
HC INTMD WND REPAIR FACE/MM 2.6-5.0 CM,452
HC INTMD WND REPAIR FACE/MM 5.1-7.5 CM,363
HC INTMD WND REPAIR FACE/MM 7.6-12.5 CM,380
HC INTMD WND REPAIR S/TR/EXT =< 2.5 CM,363
HC INTMD WND REPAIR S/TR/EXT 2.6-7.5 CM,363
HC INTO NEEDLE/INTRACATH EXT ART,893
HC INTRA ABDOMINAL PRESSURE MEASU,628
HC INTRA AORTIC BALLOON INSERT PERCUT,10261
HC INTRA-AORTA BALLOON PUMP,3789
HC INTRA-ATRIAL PACING,5383
HC INTRA-ATRIAL RECORDING,5383
HC INTRACARDIAC ECG AT OP,271
HC INTRACARDIAC ECG AT OP,3531
HC INTRACAVITARY RAD SOUR APP SIM,1969
HC INTRACAVITY RAD SR APP COMPLEX,2057
HC INTRACAVITY RAD SR APP INTER,1649
HC INTRACRANIAL/VASC STENT/APLAST,11050
HC INTRAMUSCULAT INJ ANTIBIOTIC,112
HC INTRAOP RADIATION TX DEL; ELECTRONS  SINGLE TX,2186
HC INTRAVENTRICULAR PACING,5383
HC INTRAVITREAL IMPLANT RETISERT,42748.54
HC INTRAVITREAL INJECTION OF DRUG,1428
HC INTRINSIC FACTOR AB'S,208
HC INTRO CATH W/ANG DIALYSIS CIRC,2241
HC INTRO NEEDLE/INTRA CATH; EXTRE,893
HC INTRO NEEDLE/INTRACATH AORTA T,937
HC INTRO NEEDLE/INTRACATH VEIN,221
HC INTRO OF CATH AORTA,2210
HC INTRO OF CATH R HEART/MAIN PUL,937
HC INTRO OF MILLER-ABBOTT TUBE,1729
HC INTRVASC US NONCORON DX /TX;1ST,4762
HC INTUBATION ENDOTRACHEAL EMER,564
HC IODINE  RANDOM URINE,173
HC IODINE  SERUM/PLASMA,147
HC IONM IN OPERATNG ROOM 15 MIN,1274
HC IONM REMOTE/>1 PT OR PER HR,1593
HC IONM SPECIALTY CARE,2000
HC IR 3D W/IND WRKSTA POSTPROC,494
HC IRON,91
HC IRON BINDING CAPACITY,123
HC IRR CORPORA CAVERNOSA FOR PRIAPISM,887
HC IRRADIATE BLD PRODUCT EA UNIT,121
HC IRRIGATE IMPLANT VEN ACCESS DE,520
HC ISLET CELL ANTIBODY,371
HC ISOLATED LIMB PERFUSION,8660
HC ISONIAZID  LEVEL,153
HC IUD REMOVAL,324
HC IV DOPP VEL/PRES EA ADL VES,1711
HC IV DOPPLER VEL/PRES INIT VES,2328
HC IV INFUS HYDRATION EA ADL HR,337
HC IV INFUS THERAPY 1-8 HR,337
HC IV INFUSION,1344
HC IV INFUSION HYDRATION 1ST HR,589
HC IV US CORONARY V; EA ADDTL,3708
HC IV US CORONARY V; INITIAL,2406
HC IV US DURING DX/TX; INIT VESSEL,3881
HC IVPYELOGRAM,1146
HC IVUS NONCORONARY EA ADDL VESSEL,4762
HC JAK2 NGS MUTATION ANALYSIS,348
HC JARVIK ARTIFICIAL HEART,405938
HC JC POLYOMA VIRUS DNA  QUANTITATIVE REAL-TIME PCR  CSF,590
HC JC POLYOMA VIRUS DNA  QUANTITATIVE REAL-TIME PCR  PLASMA,589
HC JC VIRUS DNA  ULTRA (LLOQ 10 COPIES/ML) QN CSF,544
HC JSC O/R SUPPLIES GI,150
HC JSC OR SUPPLIES DENTAL,2235
HC JSC OR SUPPLIES GENERAL,2482
HC JSC OR SUPPLIES GYN,1475
HC JSC OR SUPPLIES HAND,276
HC JSC OR SUPPLIES ORTHOPEDIC,1758
HC JSC OR SUPPLIES OTOLARN,908
HC JSC OR SUPPLIES UROLOGY,357
HC JSC OR SUPPLIES VASCULAR,654
HC KIDNEY FUNCTION STUDY ONLY,657
HC KIDNEY IMAGING MORPHOL,1092
HC KIDNEY IMAGING; W/VASCULAR FLO,1898
HC KIDNEY IMG W/VASC FLOW MULTI,3667
HC KIDNEY TRANS PROC CADAVAR,43493
HC KIDNEY TRANS PROC LIVE DONOR,47472
HC KIR GENOTYPE,350
HC KIT  GENE ANALYSIS,1025
HC KLEIHAUER-BETKE,271
HC KNEE ARTHROGRAPHY INJ,351
HC KNEE DISLOC W/O ANES,411
HC KO ELASTIC W/CONDYLAR PAD/JOIN,452
HC KO IMMOBILIZER CANVAS LONGITU,276
HC KO POSTIONAL ORTHO CUSTOM FIT,2097
HC KRAS E2 NGS MUTATION ANALYSIS,550
HC KRAS E3 NGS MUTATION ANALYSIS,550
HC L EXTREM INFANT MIN 2V,536
HC L HRT ART/GRFT ANGIO,17481
HC L HRT ARTERY/VENTRICLE ANGIO,20149
HC L HRT CATH TRNSPTL PUNCTURE,7779
HC L HRT CATH W/VENTRCLGRPHY,14344
HC L VENTRIC PACING LEAD ADD-ON,7607
HC L&D ABORTION BY LABOR INDUCTION,3784
HC L&D ABORTION BY LABOR INDUCTION WITH D&C,3784
HC L&D ABORTION BY LABOR INDUCTION WITH HYSTEROTOMY,3784
HC LABOR & DELIVERY ROOM-CESAREAN,5269
HC LABOR & DELIVERY ROOM-VAGINAL,3784
HC LACOSAMIDE  LC/MS/MS,224
HC LACTATE,147
HC LACTATE DEHYDROGENASE,84
HC LACTIC ACID,147
HC LACTOFERRIN FECAL (QUAL),243
HC LACTOFERRIN  QUANTITATIVE  STOOL,289
HC LAMOTRIGINE,188
HC LANG COMP CURRENT STATUS,0.01
HC LANG COMP D/C STATUS,0.01
HC LANG COMP GOAL STATUS,0.01
HC LANG EXPRESS CURRENT STATUS,0.01
HC LANG EXPRESS D/C STATUS,0.01
HC LANG EXPRESS GOAL STATUS,0.01
HC LAPAROSCOPY ECTOPIC PREG W OOPH,14129.37
HC LARYNGOSCOPY FLEX FIBEROPTIC,398
HC LARYNGOSCOPY FLEX FIBEROPTIC D,398
HC LARYNGOSCOPY IND DIAGNOSTIC,259
HC LDH; ISOENZYMES,175
HC LEAD  QUANTITATIVE,166
HC LEG (FEMUR OR KNEE) SURGERY PROCEDURE,377
HC LEGIONELLA ANTIBODY,210
HC LEPTIN,125
HC LEUKO POOR FILTER-PLATELETS,47
HC LEUKO REDUCED PLATELETS EA UNIT,610
HC LEUKOPOOR RBC-FILTER,153
HC LEUKOREDUCED IRR PLATELETS EA UNIT,696
HC LEUKO-REDUCED RED CELL PROCURE,753
HC LEVAMISOLE  BLOOD (WHOLE BLOOD),277
HC LEVEL 1  GROSS EXAMINATION,163
HC LEVEL 2  SURG PATHOLOGY,163
HC LEVEL 3  SURG PATHOLOGY,349
HC LEVEL 4  SURG PATHOLOGY,349
HC LEVEL 5  SURG PATHOLOGY,528
HC LEVEL 6  SURG PATHOLOGY,528
HC LEVEL IV PATHOLOGY-CELL BLOCK,349
HC LIDOCAINE,207
HC LIDOCAINE LEV QUANT,207
HC LIFT ELEV HEEL/SHOE NEOPRENE I,132
HC LIMIT FETAL DOPPLER ECG,503
HC LIMITED TUMOR LOCALIZ/RP DISTRIB,1041
HC LIPASE,96
HC LIPID PANEL,449
HC LIPOPROTEIN ASSOC PHOSPH,468
HC LIPOPROTEIN BLD BY NMR,83
HC LIPOPROTEIN BLD BY NMR,61
HC LIPOPROTEIN BLD BY NMR 83704,83
HC LIPOPROTEIN BLD BY NMR-*DELETE,289
HC LIPOPROTEIN BLOOD ELECTROPHIC,156
HC LIPOPROTEIN DIRECT LDL,57
HC LIPOPROTEIN HIGH RESOLUTION,342
HC LIPOPROTEIN; HDL,94
HC LISTERIA MONOCYTO AB,181
HC LITH-ION BATT ELEC/PNEUM VAD,2672
HC LITHIUM,92
HC LITHOTRIPSY  EXTRACORP S/W SVS,2900
HC LIVER ACQUISITION,46846
HC LIVER AXQUISITION LIVE,49311
HC LIVER IMAGING  STATIC ONLY,1825
HC LIVER IMAGING; SPECT,2812
HC LIVER PROCEDURE UNLISTED,1767
HC LIVER TRANSPLANT PERFUSION,8118
HC LIVER TUMOR ABL RF RITA,5181
HC LIVER/SPLEEN IMAGING W/VASCULA,2812
HC LOW COST SKIN SUB APP H/F 1ST 25CM,5459
HC LOW COST SKIN SUB APP H/F ADDL 25CM,2112
HC LOW COST SKIN SUB APP T/L/A 1ST 25CM,5459
HC LOW COST SKIN SUB APP T/L/A ADDL 25CM,2011
HC LOWER LIMBS (SEP),2239
HC LP-PLA2 ACTIVITY,79
HC LSO CORSET,535
HC LSO SC R ANT/POS PNL PRE OTS,1119
HC LT ARTERIAL APPENDAGE SUTURE,1432
HC LUMBAR SACRAL ORTHO CUSTOM,3156
HC LUMBOSACRAL SPINE 2-3 VIEW,525
HC LUMBOSACRAL SPINE MIN 4V,774
HC LUMINEX A2 TYPING,1062
HC LUNG FUNCTION TEST (MBC/MVV),553
HC LUNG PERFUSION IMAGING,1717
HC LUPOS PANEL CPT 83516  REV CODE 301,103.95
HC LUPOS PANEL CPT 86038  REV CODE 301,103.95
HC LUPOS PANEL CPT 86160  REV CODE 301,103.95
HC LUPOS PANEL CPT 86235  REV CODE 301,103.95
HC LUPOS PANEL CPT 86255  REV CODE 301,103.95
HC LUPOS PANEL CPT 86376  REV CODE 301,103.95
HC LUPOS PANEL CPT 86431  REV CODE 301,103.95
HC LUPUS (SLE) PANEL,1871
HC LWR XTR VASC STDY BILAT,1752
HC LYME (BORRELIA BURGDORFERI),233
HC LYME AB  CSF,233
HC LYME AB-WB CONFIRM,204
HC LYME DISEASE AMP PROBE TEC,481
HC LYME WESTERN BLOT,213
HC LYMPHANGIO PEL/ABD BIL S&I,3322
HC LYMPHANGIO PEL/ABD UNIL S&I,2037
HC LYMPHOCYTOTOX VC; W TITRATE,473
HC LYMPHOCYTOTOX VC; WO TITRATE,435
HC LYMPHOSCINTIGRAPHY,2485
HC LYSE CHEST FIBRIN INIT DAY,1744
HC MACROPROLACTIN,322
HC MAGNESIUM,92
HC MAGNESIUM URINE,92
HC MALDI CONCENTRATION INFCT AGNT,76
HC MAMMOGRAPHY-SPECIMEN RADIOGRAP,396
HC MANDIBLE COMPLETE MIN 4 VIEWS,479
HC MANGANESE,129
HC MANGANESE RBC,196
HC MANOMETRY THRU INDWELLING CATH,930
HC MANUAL THERAPY 1/> REGIONS,108
HC MANUAL TUMOR IM HISTOCHEM EA AB,718
HC MARS TRT UP TO 4HRS,5667
HC MASS SPECTOMETRY QUANT,249
HC MASSAGE THERAPY,142
HC MATERNITY CARE PROCEDURE UNLISTED,505.86
HC MCRE PAP/PELVIC EXAM,181
HC MECH REMVL OBS PERC GI TUBE FL,714
HC MED SURGERY SUPPLIES BED SIDE,165
HC MEDIAL CANTHOPEXY,6915
HC MEMBRANE OXYGENATOR,1543
HC MEMORY CURRENT STATUS,0.01
HC MEMORY D/C STATUS,0.01
HC MEMORY GOAL STATUS,0.01
HC MENINGITIS/ENCEPHALITIS PANEL,1766
HC MERCURY,224
HC MESH (IMPLANTABLE),1893
HC METANEPHRINES,232
HC METHADONE,224
HC METHADONE URINE,190
HC METHLY ALCOHOL  BLOOD or SERUM,149
HC METHOTREXATE,182
HC METHOTREXATE-SO,147
HC METHYL ALCOHOL  BLOOD OR SERUM,147
HC MEXILETINE,188
HC MGMT METHYLATION ANALYSIS,525
HC MIAMI J COLLAR/CERV COLL W/THO,792
HC MIAMI J X-PADS,146
HC MICROALBUMIN; URINE QUAN,80
HC MICROBE SUSCEPTIBLE MIC,371
HC MICRODISSECTION MANUAL,21
HC MICROPRESR CU ELEC VAD REP,45452
HC MICROSCOPY SCREEN FOR EM,163
HC MINI-BAL,285
HC MINOR PROCEDURE PER 1/4HR,864
HC MIXED DILUTE RUSSELL VIPER VEN,226
HC MOBILITY CURRENT STATUS,0.01
HC MOBILITY CURRENT STATUS,0.01
HC MOBILITY D/C STATUS,0.01
HC MOBILITY D/C STATUS,0.01
HC MOBILITY GOAL STATUS,0.01
HC MOBILITY GOAL STATUS,0.01
HC MOD SED DIFF QHP 1ST 15MIN<5YR,294
HC MOD SED DIFF QHP 1ST 15MIN>5YR,294
HC MOD SED SAME PHYS QHP>5YR 1ST15,294
HC MOD SED SAME PHYS QHP>5YR ADD15,166
HC MOD SED SAME QHP 1ST 15MIN<5YR,294
HC MOD SEDAT DIF PHYS EA 15 MIN,166
HC MODIFIED EXERCISE 6 MIN WALK/ EXERCISE CHALLANGE FOR ASTHMA,2242
HC Molecular cytogenetics; DNA probe  each (eg  FISH),1127
HC Molecular cytogenetics; interphase in situ hybridization  100-300 cells,558
HC MONITOR CABLE ELEC VAD REP,1098
HC MONITOR CABLE ELEC/PNEUM VAD REP,913
HC MONITOR ELEC OR COMBO VAD REP,11058
HC MONITOR INTERST FLD PRESSURE,561
HC MONITOR INTERST FLD PRESSURE,561
HC MONITOR INTERST FLD PRESSURE,561
HC MONOKA OPHTHALMIC,483
HC MOPATH PROC LEV 2,673
HC MOPATH PROCEDURE LEVEL 6,156
HC MOPATH PROCEDURE LEVEL 9,1062
