"The University of Texas MD Anderson Cancer Center
Hospital Charge List",,,,
Pricing as of December 2018.,,,,
"DISCLAIMER: THIS SITE IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT AN OFFER OR REPRESENTATION OF ACTUAL PRICING FOR SERVICES; MD ANDERSON IS PROVIDING THIS INFORMATION ON AN AS-IS BASIS TO GIVE PATIENTS A GENERAL IDEA OF POTENTIAL CHARGES ASSOCIATED WITH MEDICAL CARE AND DOES NOT WARRANT THE ACCURACY, COMPLETENESS, OR USEFULNESS OF THE INFORMATION PROVIDED.  THIS INFORMATION IS NEITHER INTENDED TO BE NOR SHOULD IT BE CONSIDERED FINANCIAL OR MEDICAL ADVICE.  MD ANDERSON MAKES NO GUARANTEES REGARDING THE CHARGE INFORMATION PROVIDED ON THIS WEBSITE. THE CHARGE INFORMATION IS STRICTLY AN ESTIMATE OF CHARGES AND MD ANDERSON CANNOT GUARANTEE THE ESTIMATES BECAUSE SERVICES RENDERED TO EACH PATIENT AND THEIR COST MAY VARY BECAUSE OF TREATMENT DECISIONS, UNFORESEEN COMPLICATIONS, ADDITIONAL TESTS OR SERVICES ORDERED BY YOUR PHYSICIAN, AND THE INDIVIDUAL NEEDS OF EACH PATIENT. IN ADDITION, ESTIMATES MAY CHANGE BASED ON YOUR CONTRACTED INSURANCE BENEFITS, INSURANCE POLICY EXCLUSIONS, MAXIMUM BENEFITS, PENDING FINANCIAL ASSISTANCE, OR PENDING STATE/FEDERAL PROGRAM OR OTHER AID.",,,,
1895,SPECIALTY SERVICES - TREATMENT ROOM,12054,"Repair of wound (7.6 to 12.5 centimeters) of face, ears, eyelids, nose, lips, and/or mouth",$891
1896,SPECIALTY SERVICES - TREATMENT ROOM,13100,Repair of wound (1.1 to 2.5 centimeters) of trunk,"$1,140"
1897,SPECIALTY SERVICES - TREATMENT ROOM,13101,Repair of wound (2.6 to 7.5 centimeters) of trunk,"$1,260"
1898,SPECIALTY SERVICES - TREATMENT ROOM,13102,Repair of wound of trunk,$759
1899,SPECIALTY SERVICES - TREATMENT ROOM,13120,"Repair of wound (1.1 to 2.5 centimeters) of scalp, arms, and/or legs",$962
1900,SPECIALTY SERVICES - TREATMENT ROOM,13121,"Repair of wound (2.6 to 7.5 centimeters) of scalp, arms, and/or legs","$1,081"
1901,SPECIALTY SERVICES - TREATMENT ROOM,13122,"Repair of wound of scalp, arms, and/or legs",$803
1902,SPECIALTY SERVICES - TREATMENT ROOM,13131,"Repair of wound (1.1 to 2.5 centimeters) of forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet","$1,036"
1903,SPECIALTY SERVICES - TREATMENT ROOM,13132,"Repair of wound (2.6 to 7.5 centimeters) of forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet","$1,512"
1904,SPECIALTY SERVICES - TREATMENT ROOM,13133,"Repair of wound of forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet",$721
1905,SPECIALTY SERVICES - TREATMENT ROOM,13151,"Repair of wound (1.1 to 2.5 centimeters) of eyelids, nose, ears, and/or lips","$1,323"
1906,SPECIALTY SERVICES - TREATMENT ROOM,13152,"Repair of wound (2.6 to 7.5 centimeters) of eyelids, nose, ears, and/or lips","$1,526"
1907,SPECIALTY SERVICES - TREATMENT ROOM,13153,"Repair of wound of eyelids, nose, ears, and/or lips",$797
1908,SPECIALTY SERVICES - TREATMENT ROOM,14000,Tissue transfer repair of wound (10 sq centimeters or less) of the trunk,"$2,122"
1909,SPECIALTY SERVICES - TREATMENT ROOM,14001,Tissue transfer repair of wound (10.1 to 30.0 sq centimeters) of the trunk,"$3,532"
1910,SPECIALTY SERVICES - TREATMENT ROOM,14020,"Tissue transfer repair of wound (10 sq centimeters or less) of the scalp, arms, and/or legs","$2,941"
1911,SPECIALTY SERVICES - TREATMENT ROOM,14021,"Tissue transfer repair of wound (10.1 to 30.0 sq centimeters) of the scalp, arms, and/or legs","$3,365"
1912,SPECIALTY SERVICES - TREATMENT ROOM,14040,"Tissue transfer repair of wound (10 sq centimeters or less) of the forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet","$3,385"
1913,SPECIALTY SERVICES - TREATMENT ROOM,14041,"Tissue transfer repair of wound (10.1 to 30.0 sq centimeters) of the forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet","$3,532"
1914,SPECIALTY SERVICES - TREATMENT ROOM,14060,"Tissue transfer repair of wound (10 sq centimeters or less) of eyelids, nose, ears, and/or lips","$3,485"
1915,SPECIALTY SERVICES - TREATMENT ROOM,14061,"Tissue transfer repair of wound (10.1 to 30.0 sq centimeters) of eyelids, nose, ears, and/or lips","$3,918"
1916,SPECIALTY SERVICES - TREATMENT ROOM,14301,Tissue transfer repair of wound (30.1 to 60.0 sq centimeters),"$3,729"
1917,SPECIALTY SERVICES - TREATMENT ROOM,14302,Tissue transfer repair of wound (30.0 sq centimeters),"$3,729"
1918,SPECIALTY SERVICES - TREATMENT ROOM,15100,"Skin graft at trunk, arms, or legs (first 100 sq cm or less, or 1% body are of infants and children)","$3,884"
1919,SPECIALTY SERVICES - TREATMENT ROOM,15120,"Skin graft of face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes (first 100 sq cm or less, or 1% body area of infants and children)","$4,249"
1920,SPECIALTY SERVICES - TREATMENT ROOM,15200,Relocation of patient skin (20 sq centimeters or less) to trunk,"$2,806"
1921,SPECIALTY SERVICES - TREATMENT ROOM,15201,Relocation of patient skin to trunk,"$2,542"
1922,SPECIALTY SERVICES - TREATMENT ROOM,15220,"Relocation of patient skin (20 sq centimeters or less) to scalp, arms, and/or legs","$2,806"
1923,SPECIALTY SERVICES - TREATMENT ROOM,15240,"Relocation of patient skin to forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet (20 sq centimeters or less)","$3,228"
1924,SPECIALTY SERVICES - TREATMENT ROOM,15241,"Relocation of patient skin to forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet","$3,201"
1925,SPECIALTY SERVICES - TREATMENT ROOM,15260,"Relocation of patient skin to nose, ears, eyelids, and/or lips (20 sq centimeters or less)","$3,551"
1926,SPECIALTY SERVICES - TREATMENT ROOM,15271,"Application of skin substitute (wound surface up to 100 sq cm) to trunk, arms, or legs (first 25 sq cm or less)",$658
1927,SPECIALTY SERVICES - TREATMENT ROOM,15272,"Application of skin substitute (wound surface up to 100 sq cm) to trunk, arms, or legs",$243
1928,SPECIALTY SERVICES - TREATMENT ROOM,15275,"Application of skin substitute (wound surface up to 100 sq cm) to face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes (first 25 sq cm or less)",$723
1929,SPECIALTY SERVICES - TREATMENT ROOM,15276,"Application of skin substitute (wound surface up to 100 sq cm) to face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes",$269
1930,SPECIALTY SERVICES - TREATMENT ROOM,15576,"Creation of flap graft to eyelids, nose, ears, lips, or mouth","$2,931"
1931,SPECIALTY SERVICES - TREATMENT ROOM,15630,"Transfer of skin flap to eyelids, nose, ears, or lips","$3,254"
1932,SPECIALTY SERVICES - TREATMENT ROOM,15731,"Creation of flap graft to nose, forehead, temple, or scalp","$2,931"
1933,SPECIALTY SERVICES - TREATMENT ROOM,15760,Creation of multiple tissue skin graft,"$4,249"
1934,SPECIALTY SERVICES - TREATMENT ROOM,15788,Chemical peel of skin of face,$182
1935,SPECIALTY SERVICES - TREATMENT ROOM,15792,Chemical peel of skin of face,$711
1936,SPECIALTY SERVICES - TREATMENT ROOM,15793,Chemical peel of skin,$711
1937,SPECIALTY SERVICES - TREATMENT ROOM,17000,Destruction of skin growth,$154
1938,SPECIALTY SERVICES - TREATMENT ROOM,17003,Destruction of 2-14 skin growths,$82
1939,SPECIALTY SERVICES - TREATMENT ROOM,17004,Destruction of 15 or more skin growths,$772
1940,SPECIALTY SERVICES - TREATMENT ROOM,17110,Destruction of up to 14 skin growths,$204
1941,SPECIALTY SERVICES - TREATMENT ROOM,17111,Destruction of 15 or more skin growths,$558
1942,SPECIALTY SERVICES - TREATMENT ROOM,17250,Application of chemical agent to excessive wound tissue,$316
1943,SPECIALTY SERVICES - TREATMENT ROOM,17260,"Destruction of malignant growth (0.5 centimeters or less) of trunk, arms, or legs",$297
1944,SPECIALTY SERVICES - TREATMENT ROOM,17261,"Destruction of malignant growth (0.6 to 1.0 centimeters) of trunk, arms, or legs",$337
1945,SPECIALTY SERVICES - TREATMENT ROOM,17262,"Destruction of malignant growth (1.1 to 2.0 centimeters) of trunk, arms, or legs",$342
1946,SPECIALTY SERVICES - TREATMENT ROOM,17263,"Destruction of malignant growth (2.1 to 3.0 centimeters) of trunk, arms, or legs",$370
1947,SPECIALTY SERVICES - TREATMENT ROOM,17264,"Destruction of malignant growth (3.1 to 4.0 centimeters) of trunk, arms, or legs",$408
1948,SPECIALTY SERVICES - TREATMENT ROOM,17266,"Destruction of malignant growth (over 4.0 centimeters) of trunk, arms, or legs",$411
1949,SPECIALTY SERVICES - TREATMENT ROOM,17270,"Destruction of malignant growth (0.5 centimeters) of scalp, neck, hands, feet, or genitals",$305
1950,SPECIALTY SERVICES - TREATMENT ROOM,17271,"Destruction of malignant growth (0.6 to 1.0 centimeters) of scalp, neck, hands, feet, or genitals",$347
1951,SPECIALTY SERVICES - TREATMENT ROOM,17272,"Destruction of malignant growth (1.1 to 2.0 centimeters) of scalp, neck, hands, feet, or genitals",$638
1952,SPECIALTY SERVICES - TREATMENT ROOM,17273,"Destruction of malignant growth (2.1 to 3.0 centimeters) of scalp, neck, hands, feet, or genitals",$324
1953,SPECIALTY SERVICES - TREATMENT ROOM,17274,"Destruction of malignant growth (3.1 to 4.0 centimeters) of scalp, neck, hands, feet, or genitals",$352
1954,SPECIALTY SERVICES - TREATMENT ROOM,17276,"Destruction of malignant growth (over 4.0 centimeters) of scalp, neck, hands, feet, or genitals",$386
1955,SPECIALTY SERVICES - TREATMENT ROOM,17280,"Destruction of malignant growth (0.5 centimeters or less) of face, ears, eyelids, nose, lips, or mouth",$305
1956,SPECIALTY SERVICES - TREATMENT ROOM,17281,"Destruction of malignant growth (0.6 to 1.0 centimeters) of face, ears, eyelids, nose, lips, or mouth",$335
1957,SPECIALTY SERVICES - TREATMENT ROOM,17282,"Destruction of malignant growth (1.1 to 2.0 centimeters) of face, ears, eyelids, nose, lips, or mouth",$408
1958,SPECIALTY SERVICES - TREATMENT ROOM,17283,"Destruction of malignant growth (2.1 to 3.0 centimeters) of face, ears, eyelids, nose, lips, or mouth",$383
1959,SPECIALTY SERVICES - TREATMENT ROOM,17284,"Destruction of malignant growth (3.1 to 4.0 centimeters) of face, ears, eyelids, nose, lips, or mouth",$427
1960,SPECIALTY SERVICES - TREATMENT ROOM,17286,"Destruction of malignant growth (over 4.0 centimeters) of face, ears, eyelids, nose, lips, or mouth",$473
1961,SPECIALTY SERVICES - TREATMENT ROOM,17311,"Removal and microscopic examination of growth of the head, neck, hands, feet, or genitals (first stage, up to 5 tissue blocks)","$1,634"
1962,SPECIALTY SERVICES - TREATMENT ROOM,17312,"Removal and microscopic examination of growth of the head, neck, hands, feet, or genitals","$1,406"
1963,SPECIALTY SERVICES - TREATMENT ROOM,17313,"Removal and microscopic examination of growth of the trunk, arms, or legs (first stage, up to 5 tissue blocks)","$1,634"
1964,SPECIALTY SERVICES - TREATMENT ROOM,17314,"Removal and microscopic examination of growth of the trunk, arms, or legs","$1,406"
1965,SPECIALTY SERVICES - TREATMENT ROOM,17315,"Removal and microscopic examination of growth of the trunk, arms, or legs",$353
1966,SPECIALTY SERVICES - TREATMENT ROOM,17380,"Hair removal by electrolysis, each 30 minutes",$181
1967,SPECIALTY SERVICES - TREATMENT ROOM,19000,Aspiration of breast cyst,$449
1968,SPECIALTY SERVICES - TREATMENT ROOM,19001,Puncture aspiration of breast cyst,$446
1969,SPECIALTY SERVICES - TREATMENT ROOM,19081,Biopsy of breast accessed through the skin with stereotactic guidance,"$3,284"
1970,SPECIALTY SERVICES - TREATMENT ROOM,19082,Biopsy of breast accessed through the skin with stereotactic guidance,"$1,313"
1971,SPECIALTY SERVICES - TREATMENT ROOM,19083,Biopsy of breast accessed through the skin with ultrasound guidance,"$3,054"
1972,SPECIALTY SERVICES - TREATMENT ROOM,19084,Biopsy of breast accessed through the skin with ultrasound guidance,"$1,221"
1973,SPECIALTY SERVICES - TREATMENT ROOM,19085,Biopsy of breast accessed through the skin with MRI guidance,"$7,616"
1974,SPECIALTY SERVICES - TREATMENT ROOM,19086,Biopsy of breast accessed through the skin with MRI guidance,"$3,809"
1975,SPECIALTY SERVICES - TREATMENT ROOM,19100,Needle biopsy of breast,$900
1976,SPECIALTY SERVICES - TREATMENT ROOM,19350,Reconstruction of nipple or area around nipple,"$3,532"
1977,SPECIALTY SERVICES - TREATMENT ROOM,19380,Revision of reconstructed breast,"$5,211"
1978,SPECIALTY SERVICES - TREATMENT ROOM,19499,Breast procedure,$107
1979,SPECIALTY SERVICES - TREATMENT ROOM,20005,I&d abscess subfascial,"$2,345"
1980,SPECIALTY SERVICES - TREATMENT ROOM,20206,"Needle biopsy of muscle, accessed through the skin","$2,345"
1981,SPECIALTY SERVICES - TREATMENT ROOM,20220,Biopsy of bone using needle or trocar,"$2,345"
1982,SPECIALTY SERVICES - TREATMENT ROOM,20225,Deep biopsy of bone using needle or trocar,"$2,551"
1983,SPECIALTY SERVICES - TREATMENT ROOM,20500,Injection for repair of abnormal muscle drainage tract,"$1,540"
1984,SPECIALTY SERVICES - TREATMENT ROOM,20501,Injection of abnormal muscle drainage tract for X-ray study,"$1,540"
1985,SPECIALTY SERVICES - TREATMENT ROOM,20526,Injection of carpal tunnel,$451
1986,SPECIALTY SERVICES - TREATMENT ROOM,20550,"Injections of tendon sheath, ligament, or muscle membrane",$478
1987,SPECIALTY SERVICES - TREATMENT ROOM,20551,Injections of tendon attachment to bone,$481
1988,SPECIALTY SERVICES - TREATMENT ROOM,20552,Injections of trigger points in 1 or 2 muscles,$487
1989,SPECIALTY SERVICES - TREATMENT ROOM,20553,Injections of trigger points in 3 or more muscles,$538
1990,SPECIALTY SERVICES - TREATMENT ROOM,20600,Aspiration and/or injection of small joint or joint capsule,$533
1991,SPECIALTY SERVICES - TREATMENT ROOM,20604,Aspiration and/or injection of small joint or joint capsule with recording and reporting using ultrasound guidance,"$1,678"
1992,SPECIALTY SERVICES - TREATMENT ROOM,20605,Aspiration and/or injection of medium joint or joint capsule,$567
1993,SPECIALTY SERVICES - TREATMENT ROOM,20606,Aspiration and/or injection of intermediate joint or joint capsule with recording and reporting using ultrasound guidance,"$1,712"
1994,SPECIALTY SERVICES - TREATMENT ROOM,20610,Aspiration and/or injection of large joint or joint capsule,$574
1995,SPECIALTY SERVICES - TREATMENT ROOM,20611,Aspiration and/or injection of major joint or joint capsule with recording and reporting using ultrasound guidance,"$1,718"
1996,SPECIALTY SERVICES - TREATMENT ROOM,20670,Removal of bone implant,"$3,214"
1997,SPECIALTY SERVICES - TREATMENT ROOM,20680,Removal of deep bone implant,"$4,326"
1998,SPECIALTY SERVICES - TREATMENT ROOM,21025,Removal of lower jaw bone,"$6,030"
1999,SPECIALTY SERVICES - TREATMENT ROOM,21077,Impression and preparation of eye socket prosthesis,"$14,105"
2000,SPECIALTY SERVICES - TREATMENT ROOM,21079,Impression and custom preparation of temporary oral prosthesis,"$11,353"
2001,SPECIALTY SERVICES - TREATMENT ROOM,21080,Impression and custom preparation of permanent oral prosthesis,"$12,747"
2002,SPECIALTY SERVICES - TREATMENT ROOM,21081,Impression and custom preparation of lower jaw bone prosthesis,"$8,701"
2003,SPECIALTY SERVICES - TREATMENT ROOM,21082,Impression and custom preparation of prosthesis for roof of mouth enlargement,"$10,604"
2004,SPECIALTY SERVICES - TREATMENT ROOM,21086,Impression and custom preparation of outer ear prosthesis,"$12,008"
2005,SPECIALTY SERVICES - TREATMENT ROOM,21087,Impression and custom preparation of nasal prosthesis,"$10,895"
2006,SPECIALTY SERVICES - TREATMENT ROOM,21089,Upper jaw and facial prosthesis procedure,$959
2007,SPECIALTY SERVICES - TREATMENT ROOM,21235,Obtaining ear cartilage for grafting,"$4,584"
2008,SPECIALTY SERVICES - TREATMENT ROOM,22510,Injection of bone cement into body of middle spine bone accessed through the skin using imaging guidance,"$7,185"
2009,SPECIALTY SERVICES - TREATMENT ROOM,22511,Injection of bone cement into body of middle spine bone accessed through the skin using imaging guidance,"$7,185"
2010,SPECIALTY SERVICES - TREATMENT ROOM,22512,Injection of bone cement into body of middle or lower spine accessed through the skin using imaging guidance,"$4,505"
2011,SPECIALTY SERVICES - TREATMENT ROOM,22513,Injection of bone cement into body of middle spine bone accessed through the skin using imaging guidance,"$15,692"
2012,SPECIALTY SERVICES - TREATMENT ROOM,22514,Injection of bone cement into body of lower spine bone accessed through the skin using imaging guidance,"$15,692"
2013,SPECIALTY SERVICES - TREATMENT ROOM,22515,Injection of bone cement into body of middle or lower spine bone accessed through the skin using imaging guidance,"$10,739"
2014,SPECIALTY SERVICES - TREATMENT ROOM,22899,Spine procedure,"$4,101"
2015,SPECIALTY SERVICES - TREATMENT ROOM,23929,Shoulder procedure,"$10,682"
2016,SPECIALTY SERVICES - TREATMENT ROOM,27093,Injection of dye for X-ray imaging of hip joint,"$1,309"
2017,SPECIALTY SERVICES - TREATMENT ROOM,27299,Pelvis or hip joint procedure,"$10,682"
2018,SPECIALTY SERVICES - TREATMENT ROOM,29580,"Strapping, Unna boot",$306
2019,SPECIALTY SERVICES - TREATMENT ROOM,30100,Biopsy of lining of nose,"$1,661"
2020,SPECIALTY SERVICES - TREATMENT ROOM,30120,Removal or scraping of skin on nose,"$3,487"
2021,SPECIALTY SERVICES - TREATMENT ROOM,30901,Simple control of nose bleed,$603
2022,SPECIALTY SERVICES - TREATMENT ROOM,31000,Irrigation of nasal sinus,$405
2023,SPECIALTY SERVICES - TREATMENT ROOM,31600,Opening of windpipe through neck for insertion of breathing tube,"$2,651"
2024,SPECIALTY SERVICES - TREATMENT ROOM,31615,Examination of windpipe and lung airways through permanent skin opening to windpipe using an endoscope,"$2,487"
2025,SPECIALTY SERVICES - TREATMENT ROOM,31652,Examination of lung airways using an endoscope with imaging guidance and ultrasound,"$8,328"
2026,SPECIALTY SERVICES - TREATMENT ROOM,31653,Examination of lung airways using an endoscope with imaging guidance and ultrasound,"$12,279"
2027,SPECIALTY SERVICES - TREATMENT ROOM,31654,Examination of lung airways using an endoscope with imaging guidance and ultrasound,"$2,924"
2028,SPECIALTY SERVICES - TREATMENT ROOM,32550,Insertion of permanent catheter for drainage of lung fluid,"$4,501"
2029,SPECIALTY SERVICES - TREATMENT ROOM,32551,"Removal of fluid from between lung and chest cavity, open procedure","$3,168"
2030,SPECIALTY SERVICES - TREATMENT ROOM,32553,"Insertion of devices in chest cavity for radiation therapy guidance, accessed through the skin","$3,143"
2031,SPECIALTY SERVICES - TREATMENT ROOM,32554,Removal of fluid from chest cavity,"$2,011"
2032,SPECIALTY SERVICES - TREATMENT ROOM,32555,Removal of fluid from chest cavity with imaging guidance,"$3,005"
2033,SPECIALTY SERVICES - TREATMENT ROOM,32561,Catheter instillations of agent onto lung lining to break up scar tissue,$904
2034,SPECIALTY SERVICES - TREATMENT ROOM,36222,Insertion of catheter into artery on one side of neck for diagnosis or treatment including radiological supervision and interpretation,"$6,936"
2035,SPECIALTY SERVICES - TREATMENT ROOM,36223,Insertion of catheter into artery on one side of neck for diagnosis or treatment including radiological supervision and interpretation,"$6,936"
2036,SPECIALTY SERVICES - TREATMENT ROOM,36224,Insertion of catheter into artery on one side of neck for diagnosis or treatment including radiological supervision and interpretation,"$4,435"
2037,SPECIALTY SERVICES - TREATMENT ROOM,36225,Insertion of catheter into artery on one side of chest for diagnosis or treatment including radiological supervision and interpretation,"$5,623"
2038,SPECIALTY SERVICES - TREATMENT ROOM,36226,Insertion of catheter into chest artery for diagnosis or treatment including radiological supervision and interpretation,"$5,623"
2039,SPECIALTY SERVICES - TREATMENT ROOM,36511,Mechanical separation of white blood cells from the blood,"$3,438"
2040,SPECIALTY SERVICES - TREATMENT ROOM,36512,Mechanical separation of red blood cells from blood,"$3,438"
2041,SPECIALTY SERVICES - TREATMENT ROOM,36513,Mechanical separation of platelet cells from blood,"$3,438"
2042,SPECIALTY SERVICES - TREATMENT ROOM,36514,Mechanical separation of plasma from opening blood,"$3,438"
2043,SPECIALTY SERVICES - TREATMENT ROOM,36522,Mechanical separation of white blood cells and platelets from blood,"$9,904"
2044,SPECIALTY SERVICES - TREATMENT ROOM,36555,"Insertion of central venous catheter for infusion, patient younger than 5 years","$2,804"
2045,SPECIALTY SERVICES - TREATMENT ROOM,36556,"Insertion of central venous catheter for infusion, patient 5 years or older","$2,945"
2046,SPECIALTY SERVICES - TREATMENT ROOM,36568,"Insertion of central venous catheter for infusion, patient younger than 5 years","$2,411"
2047,SPECIALTY SERVICES - TREATMENT ROOM,36569,"Insertion of central venous catheter for infusion, patient 5 years or older","$2,533"
2048,SPECIALTY SERVICES - TREATMENT ROOM,36575,Repair of central venous catheter for infusion,$977
2049,SPECIALTY SERVICES - TREATMENT ROOM,36580,Replacement of central venous catheter,"$2,091"
2050,SPECIALTY SERVICES - TREATMENT ROOM,36581,Replacement of central venous catheter,"$4,630"
2051,SPECIALTY SERVICES - TREATMENT ROOM,36582,Replacement of central venous catheter,"$4,966"
2052,SPECIALTY SERVICES - TREATMENT ROOM,36584,Replacement of catheter in peripheral vein accessed through same vein,"$2,533"
2053,SPECIALTY SERVICES - TREATMENT ROOM,36589,Removal of central venous catheter for infusion,$887
2054,SPECIALTY SERVICES - TREATMENT ROOM,36590,Removal of peripheral venous catheter for infusion,"$1,957"
2055,SPECIALTY SERVICES - TREATMENT ROOM,36591,Collection of blood specimen from a completely implantable venous access device,$67
2056,SPECIALTY SERVICES - TREATMENT ROOM,36592,Collection of blood specimen from central or peripheral venous catheter,$67
2057,SPECIALTY SERVICES - TREATMENT ROOM,36593,Declotting infusion of implanted central venous access device or catheter,$595
2058,SPECIALTY SERVICES - TREATMENT ROOM,36597,Repositioning of central venous catheter using fluoroscopic guidance,"$2,600"
2059,SPECIALTY SERVICES - TREATMENT ROOM,36600,Arterial puncture withdrawal of blood for diagnosis,$57
2060,SPECIALTY SERVICES - TREATMENT ROOM,38220,Diagnostic bone marrow aspiration,$604
2061,SPECIALTY SERVICES - TREATMENT ROOM,38221,Bone marrow biopsy,$799
2062,SPECIALTY SERVICES - TREATMENT ROOM,38222,Bone marrow biopsy and aspiration,"$1,392"
2063,SPECIALTY SERVICES - TREATMENT ROOM,38500,"Biopsy or removal of lymph nodes, open procedure","$3,824"
2064,SPECIALTY SERVICES - TREATMENT ROOM,38505,Needle biopsy or removal of lymph nodes,"$2,345"
2065,SPECIALTY SERVICES - TREATMENT ROOM,38790,Injection procedure for X-ray imaging of the lymphatic system,"$1,540"
2066,SPECIALTY SERVICES - TREATMENT ROOM,40490,Biopsy of lip,$951
2067,SPECIALTY SERVICES - TREATMENT ROOM,40654,Repair of vertical lip wound extending to over half of lip,"$2,239"
2068,SPECIALTY SERVICES - TREATMENT ROOM,40808,Biopsy of mouth,$755
2069,SPECIALTY SERVICES - TREATMENT ROOM,41100,Biopsy of tongue,"$1,565"
2070,SPECIALTY SERVICES - TREATMENT ROOM,41108,Biopsy of floor of mouth,"$1,565"
2071,SPECIALTY SERVICES - TREATMENT ROOM,41116,Removal of growth of floor of mouth,"$2,874"
2072,SPECIALTY SERVICES - TREATMENT ROOM,41899,Relocation of mouth tissue to gum surface,"$2,936"
2073,SPECIALTY SERVICES - TREATMENT ROOM,42100,Biopsy of roof of mouth,"$1,062"
2074,SPECIALTY SERVICES - TREATMENT ROOM,42400,Needle biopsy of salivary gland,"$2,345"
2075,SPECIALTY SERVICES - TREATMENT ROOM,42800,Biopsy of back of throat,"$1,565"
2076,SPECIALTY SERVICES - TREATMENT ROOM,42804,Biopsy of throat lesion behind nose,"$3,167"
2077,SPECIALTY SERVICES - TREATMENT ROOM,43760,Change gastrostomy tube,$662
2078,SPECIALTY SERVICES - TREATMENT ROOM,49082,Drainage of fluid from abdominal cavity,"$1,388"
2079,SPECIALTY SERVICES - TREATMENT ROOM,49083,Drainage of fluid from abdominal cavity using imaging guidance,"$2,738"
2080,SPECIALTY SERVICES - TREATMENT ROOM,49084,Irrigation of abdominal cavity,"$1,388"
2081,SPECIALTY SERVICES - TREATMENT ROOM,50391,Instillations of drug into kidney and/or urinary duct (ureter),$514
2082,SPECIALTY SERVICES - TREATMENT ROOM,50690,Injection of bladder and urinary duct (ureter) for X-ray imaging,$427
2083,SPECIALTY SERVICES - TREATMENT ROOM,51102,Aspiration of bladder with insertion of bladder tube to skin surface,"$4,347"
2084,SPECIALTY SERVICES - TREATMENT ROOM,51600,Injection procedure for X-ray imaging of the bladder or during voiding,$462
2085,SPECIALTY SERVICES - TREATMENT ROOM,51610,Injection procedure through the bladder and bladder canal (urethra) for X-ray imaging,$425
2086,SPECIALTY SERVICES - TREATMENT ROOM,51700,Bladder irrigation and/or instillation,$455
2087,SPECIALTY SERVICES - TREATMENT ROOM,51701,Insertion of temporary bladder catheter,$153
2088,SPECIALTY SERVICES - TREATMENT ROOM,51702,Insertion of indwelling bladder catheter,$177
2089,SPECIALTY SERVICES - TREATMENT ROOM,51703,Insertion of indwelling bladder catheter,$527
2090,SPECIALTY SERVICES - TREATMENT ROOM,51705,Removal of skin suture with change of bladder tube,"$3,005"
2091,SPECIALTY SERVICES - TREATMENT ROOM,51715,Injection or implant of synthetic material into bladder and/or bladder canal (urethra) using an endoscope,"$4,873"
2092,SPECIALTY SERVICES - TREATMENT ROOM,51720,"Bladder instillation of cancer preventive, inhibiting, or suppressive agent",$819
2093,SPECIALTY SERVICES - TREATMENT ROOM,51726,Insertion of electronic device into bladder with measurement of urine flow pressure,"$1,169"
2094,SPECIALTY SERVICES - TREATMENT ROOM,51797,Insertion of device into the abdomen with measurement of pressure and urine flow rate,$465
2095,SPECIALTY SERVICES - TREATMENT ROOM,51798,Ultrasound measurement of bladder capacity after voiding,$141
2096,SPECIALTY SERVICES - TREATMENT ROOM,52000,Diagnostic examination of the bladder and bladder canal (urethra) using an endoscope,"$1,420"
2097,SPECIALTY SERVICES - TREATMENT ROOM,52001,Irrigation and removal of multiple blood clots from bladder and bladder canal (urethra) using an endoscope,"$1,493"
2098,SPECIALTY SERVICES - TREATMENT ROOM,52005,Insertion of catheter into urinary duct (ureter) using an endoscope,"$3,319"
2099,SPECIALTY SERVICES - TREATMENT ROOM,52204,Biopsy of the bladder using an endoscope,"$2,348"
2100,SPECIALTY SERVICES - TREATMENT ROOM,52224,Destruction of (less than 0.5 centimeters) growths of the bladder and bladder canal (urethra) using an endoscope,"$2,702"
2101,SPECIALTY SERVICES - TREATMENT ROOM,52281,Dilation of bladder canal (urethra) using an endoscope,"$2,920"
2102,SPECIALTY SERVICES - TREATMENT ROOM,52310,"Removal of foreign body, stone, or stent from bladder canal (urethra) or bladder using an endoscope","$2,920"
2103,SPECIALTY SERVICES - TREATMENT ROOM,52315,"Complicated removal of foreign body, stone, or stent from bladder canal (urethra) or bladder using an endoscope","$5,640"
2104,SPECIALTY SERVICES - TREATMENT ROOM,52332,Insertion of stent in urinary duct (ureter) using an endoscope,"$4,664"
2105,SPECIALTY SERVICES - TREATMENT ROOM,52351,"Diagnostic examination of the bladder, bladder canal (urethra), and urinary duct (ureter) or kidney using an endoscope","$2,512"
2106,SPECIALTY SERVICES - TREATMENT ROOM,53899,Urinary system procedure,$247
