Internal ID,Master Charge Description of Service,NS Charge Per Unit
133702,CALCIUM CITRATE-VITAMIN D3 315-250 MG-UNIT TAB,$8.53 
1589,CALCIUM GLUCONATE 10 % SOLUTION,$42.14 
1590,CALCIUM GLUCONATE 500 MG TAB,$8.62 
38314,CALCIUM GLUCONATE INJECTION,$37.58 
27627,CALFACTANT 35-0.9 MG/ML-% SUSPENSION,$874.91 
27053,CAMPHOR-MENTHOL 0.5-0.5 % LOTION,$45.19 
131097,CANAGLIFLOZIN 100 MG TAB,$50.85 
27249,CANDESARTAN 16 MG TAB,$18.27 
27250,CANDESARTAN 32 MG TAB,$20.03 
27247,CANDESARTAN 4 MG TAB,$18.04 
27248,CANDESARTAN 8 MG TAB,$19.50 
139985,CANGRELOR TETRASODIUM 50 MG RECON SOLN 1 EACH VIAL,"$2,810.26 "
26977,CAPECITABINE 500 MG TAB,$91.29 
1636,CAPSAICIN 0.025 % CREAM 60 G TUBE,$26.36 
11128,CAPTOPRIL 100 MG TAB,$17.11 
11129,CAPTOPRIL 12.5 MG TAB,$14.57 
11130,CAPTOPRIL 25 MG TAB,$13.83 
11131,CAPTOPRIL 50 MG TAB,$13.98 
38393,CAPTOPRIL 6.25 MG TAB,$6.36 
23245,CARBACHOL 0.01 % SOLUTION 1.5 ML VIAL,$45.76 
1641,CARBAMAZEPINE 100 MG CHEW TAB,$9.39 
32105,CARBAMAZEPINE 100 MG TABLET SR 12 HR,$10.05 
1642,CARBAMAZEPINE 100 MG/5ML SUSPENSION,$2.02 
1643,CARBAMAZEPINE 200 MG TAB,$10.21 
32106,CARBAMAZEPINE 200 MG TABLET SR 12 HR,$19.51 
32107,CARBAMAZEPINE 400 MG TABLET SR 12 HR,$33.75 
31065,CARBIDOPA 25 MG TAB,$36.65 
99939423,CARBIDOPA-LEVODOPA (1/2 TAB) = 12.5-125 MG TAB,$9.90 
99939422,CARBIDOPA-LEVODOPA (1/2 TAB) = 12.5-50 MG TAB,$9.93 
99939420,CARBIDOPA-LEVODOPA (1/2 TAB) 5-50 MG TAB,$7.55 
138296,CARBIDOPA-LEVODOPA (DUOPA) ENTERAL 4.63-20 MG/ML SUSPENSION,$757.11 
73752,CARBIDOPA-LEVODOPA (ODT) 10-100 MG TABLET DISPERSIBLE,$9.21 
73753,CARBIDOPA-LEVODOPA (ODT) 25-100 MG TABLET DISPERSIBLE,$7.72 
73754,CARBIDOPA-LEVODOPA (ODT) 25-250 MG TABLET DISPERSIBLE,$10.45 
11134,CARBIDOPA-LEVODOPA 10-100 MG TAB,$7.83 
11135,CARBIDOPA-LEVODOPA 25-100 MG TAB,$6.25 
11136,CARBIDOPA-LEVODOPA 25-250 MG TAB,$6.65 
11137,CARBIDOPA-LEVODOPA 50-200 MG TAB CR,$11.46 
32766,CARBIDOPA-LEVODOPA CR 25-100 MG TAB CR,$8.66 
135833,CARBIDOPA-LEVODOPA CR 25-100 MG TAB CR,$8.76 
30724,CARBIDOPA-LEVODOPA CR 50-200 MG TAB CR,$12.02 
41673,CARBIDOPA-LEVODOPA-ENTACAPONE 12.5-50-200 MG TAB,$13.99 
41674,CARBIDOPA-LEVODOPA-ENTACAPONE 25-100-200 MG TAB,$13.37 
101698,CARBIDOPA-LEVODOPA-ENTACAPONE 31.25-125-200 MG TAB,$17.22 
41675,CARBIDOPA-LEVODOPA-ENTACAPONE 37.5-150-200 MG TAB,$17.34 
95743,CARBIDOPA-LEVODOPA-ENTACAPONE 50-200-200 MG TAB,$13.14 
73336,CARBOPLATIN 150 MG/15ML SOLUTION 15 ML VIAL,$15.21 
73337,CARBOPLATIN 450 MG/45ML SOLUTION 45 ML VIAL,$25.24 
11140,CARBOPLATIN 50 MG RECON SOLN 1 EACH VIAL,$75.79 
73335,CARBOPLATIN 50 MG/5ML SOLUTION 5 ML VIAL,$34.68 
74669,CARBOPLATIN 600 MG/60ML SOLUTION 60 ML VIAL,$24.04 
11141,CARBOPROST 250 MCG/ML SOLUTION,"$1,067.99 "
99941114,CARDIOPLEGIA DEL NIDO SOLUTION,$251.58 
143346,CARFILZOMIB 30 MG RECON SOLN,$156.02 
127513,CARFILZOMIB 60 MG RECON SOLN,$155.48 
139710,CARIPRAZINE HCL 1.5 MG CAP,$134.59 
1686,CARISOPRODOL 350 MG TAB,$7.70 
33520,CARMUSTINE 100 MG RECON SOLN 1 EACH VIAL,"$15,044.53 "
11146,CARTEOLOL 1 % SOLUTION,$38.11 
18763,CARVEDILOL 12.5 MG TAB,$9.90 
18762,CARVEDILOL 25 MG TAB,$9.90 
21978,CARVEDILOL 3.125 MG TAB,$7.18 
18761,CARVEDILOL 6.25 MG TAB,$9.79 
85705,CARVEDILOL CR 10 MG CAPSULE SR 24 HR,$46.42 
85706,CARVEDILOL CR 20 MG CAPSULE SR 24 HR,$55.08 
85707,CARVEDILOL CR 40 MG CAPSULE SR 24 HR,$51.54 
85708,CARVEDILOL CR 80 MG CAPSULE SR 24 HR,$55.55 
34365,CASPOFUNGIN LOAD 70 MG RECON SOLN 1 EACH VIAL,$75.54 
11165,CEFADROXIL 500 MG CAP,$7.56 
11168,CEFADROXIL 500 MG/5ML RECON SUSP,$28.46 
1739,CEFAZOLIN 1 G RECON SOLN,$17.19 
31724,CEFAZOLIN 1 G RECON SOLN,$23.64 
99940487,CEFAZOLIN 1 GM RECON SOLN 1 EACH VIAL,$32.01 
1740,CEFAZOLIN 10 G RECON SOLN,$11.02 
38306,CEFAZOLIN 1G SYRINGE (OR ONLY) INJECTION,$27.59 
99939496,CEFAZOLIN 2G SYR (OR ONLY) 2 G RECON SOLN,$75.79 
99940706,CEFAZOLIN 3G SYR (OR ONLY) 3 G RECON SOLN,$11.84 
1743,CEFAZOLIN 500 MG RECON SOLN 1 EACH VIAL,$31.00 
99940023,CEFAZOLIN IM,$19.10 
99940612,CEFAZOLIN PEDIATRIC INJECTION 1 EACH VIAL,$27.82 
26218,CEFDINIR 125 MG/5ML RECON SUSP,$7.78 
73778,CEFDINIR 250 MG/5ML RECON SUSP,$8.36 
26217,CEFDINIR 300 MG CAP,$12.33 
19496,CEFEPIME 1 G RECON SOLN 1 EACH VIAL,$43.68 
19498,CEFEPIME 2 G RECON SOLN 1 EACH VIAL,$21.87 
31739,CEFEPIME 2G 2 G RECON SOLN 1 EACH VIAL,$75.19 
99940326,CEFOTAXIME IM PEDIATRIC SYRINGE INJECTION 1 EACH VIAL,$37.16 
99940330,CEFOTAXIME IV PEDIATRIC SYRINGE INJECTION 1 EACH VIAL,$36.82 
11183,CEFOTAXIME SODIUM 1 G RECON SOLN 1 EACH VIAL,$18.95 
31721,CEFOTAXIME SODIUM 1 G RECON SOLN 1 EACH VIAL,$27.24 
11185,CEFOTAXIME SODIUM 2 G RECON SOLN,$9.97 
11192,CEFOXITIN 1 G RECON SOLN,$42.31 
11193,CEFOXITIN 10 G RECON SOLN,$27.11 
11194,CEFOXITIN 2 G RECON SOLN,$31.91 
99940654,CEFOXITIN PEDIATRIC RECON SOLN 1 EACH VIAL,$33.92 
11199,CEFPODOXIME 100 MG TAB,$30.43 
11200,CEFPODOXIME 200 MG TAB,$36.40 
11203,CEFPROZIL 250 MG TAB,$9.28 
117858,CEFTAROLINE 400 MG RECON SOLN 1 EACH VIAL,$16.14 
117859,CEFTAROLINE 600 MG RECON SOLN 1 EACH VIAL,$10.89 
11205,CEFTAZIDIME 1 G RECON SOLN,$37.66 
31715,CEFTAZIDIME 1 G RECON SOLN,$32.36 
99940486,CEFTAZIDIME 1 GM RECON SOLN,$36.82 
11207,CEFTAZIDIME 2 G RECON SOLN,$51.59 
31716,CEFTAZIDIME 2 G RECON SOLN,$22.80 
11208,CEFTAZIDIME 500 MG RECON SOLN,$41.47 
99939773,CEFTAZIDIME SOLUTION,$48.99 
99939774,CEFTAZIDIME SOLUTION,$66.41 
138925,CEFTAZIDIME-AVIBACTAM 2.5 (2-0.5) G RECON SOLN,"$1,134.02 "
137916,CEFTOLOZANE-TAZOBACTAM 1.5 (1-0.5) G RECON SOLN 1 EACH VIAL,$322.14 
11218,CEFTRIAXONE 1 G RECON SOLN,$17.06 
31736,CEFTRIAXONE 1 G RECON SOLN 1 EACH VIAL,$13.42 
11219,CEFTRIAXONE 2 G RECON SOLN,$21.52 
31737,CEFTRIAXONE 2 G RECON SOLN 1 EACH VIAL,$9.05 
11220,CEFTRIAXONE 250 MG RECON SOLN,$40.29 
38316,CEFTRIAXONE INJECTION,$19.52 
38319,CEFTRIAXONE INJECTION,$56.28 
99939653,CEFTRIAXONE TEST DOSING SYRINGE 100 MG RECON SOLN,$46.68 
99939657,CEFTRIAXONE TEST DOSING SYRINGE 200 MG RECON SOLN,$46.68 
31726,CEFUROXIME 1.5 G RECON SOLN 1 EACH VIAL,$38.01 
99940754,CEFUROXIME 1MG/0.1ML PF INTRACAMERAL OPHTH INJECTION 1MG/0.1ML SOLUTION,$141.02 
11227,CEFUROXIME 500 MG TAB,$16.79 
25147,CEFUROXIME AXETIL 250 MG/5ML RECON SUSP,$104.16 
28703,CELECOXIB (CELEBREX) 100 MG CAP,$15.55 
28704,CELECOXIB (CELEBREX) 200 MG CAP,$35.38 
11232,CEPHALEXIN 125 MG/5ML RECON SUSP,$2.36 
11230,CEPHALEXIN 250 MG CAP,$7.43 
11233,CEPHALEXIN 250 MG/5ML RECON SUSP,$11.08 
11231,CEPHALEXIN 500 MG CAP,$9.01 
11239,CETIRIZINE (ZYRTEC) 10 MG TAB,$12.86 
134987,CETIRIZINE HCL 5 MG/5ML SOLUTION,$1.19 
21490,CETIRIZINE HCL 5 MG/5ML SYRUP,$9.61 
82184,CETIRIZINE SYRUP 1MG/ML 1 MG/ML SYRUP,$6.52 
18322,CETIRIZINE(ZYRTEC) 5 MG TAB,$7.08 
70583,CETUXIMAB 100 MG/50ML SOLUTION,$237.75 
31668,CEVIMELINE HCL 30 MG CAP,$12.52 
18482,CHAPSTICK MEDICATED STICK 4 G,$13.83 
31499,CHARCOAL LIQUID,$68.08 
1867,CHERRY SYRUP,$6.83 
1943,CHLORDIAZEPOXIDE 10 MG CAP,$9.25 
1944,CHLORDIAZEPOXIDE 25 MG CAP,$6.04 
1945,CHLORDIAZEPOXIDE 5 MG CAP,$8.75 
2080,CHLORDIAZEPOXIDE-CLIDINIUM (LIBRAX EQ.) 5-2.5 MG CAP,$17.11 
11252,CHLORHEXIDINE 0.12 % SOLUTION,$29.91 
32685,CHLORHEXIDINE 4 % LIQUID,$23.95 
95258,CHLORHEXIDINE GLUCONATE CLOTH 2 % PADS,$11.70 
1959,CHLOROPROCAINE 2 % SOLUTION,$96.29 
144120,CHLOROPROCAINE HCL (PF) 3 % SOLUTION,$73.61 
1965,CHLOROTHIAZIDE 250 MG TAB,$10.13 
11261,CHLOROTHIAZIDE 250 MG/5ML SUSPENSION,$6.16 
11262,CHLOROTHIAZIDE 500 MG RECON SOLN 1 EACH VIAL,$176.87 
1971,CHLORPHENIRAMINE 4 MG TAB,$6.76 
11259,CHLORPROCAINE 1 % SOLUTION,$87.33 
1960,CHLORPROCAINE 3 % SOLUTION,$51.98 
1979,CHLORPROMAZINE 10 MG TAB,$18.87 
1980,CHLORPROMAZINE 100 MG TAB,$36.81 
1982,CHLORPROMAZINE 25 MG TAB,$7.30 
1975,CHLORPROMAZINE 25 MG/ML SOLUTION,$103.45 
1983,CHLORPROMAZINE 50 MG TAB,$51.64 
140510,CHLORPROMAZINE 50 MG/2ML SOLUTION,$80.53 
1987,CHLORTHALIDONE 25 MG TAB,$13.68 
1991,CHLORZOXAZONE 500 MG TAB,$8.65 
83624,CHOLECALCIFEROL 1000 UNITS TAB,$7.41 
144101,CHOLECALCIFEROL 10000 UNITS TAB,$6.57 
105064,CHOLECALCIFEROL 400 UNIT/ML LIQUID,$7.14 
18642,CHOLECALCIFEROL 5000 UNITS CAP,$7.99 
104265,CHOLECALCIFEROL 5000 UNITS TAB,$3.38 
11335,CHOLESTYRAMINE 4 G PACK,$10.63 
138553,CHROMIC CHLORIDE 40 MCG/10ML SOLUTION 10 ML VIAL,$39.80 
31869,CICLOPIROX 0.77 % GEL,$733.08 
11346,CICLOPIROX OLAMINE 0.77 % CREAM,$189.49 
20638,CIDOFOVIR 75 MG/ML SOLUTION 5 ML VIAL,"$1,862.96 "
11351,CILASTATIN-IMIPENEM 500 MG RECON SOLN 1,$76.14 
28672,CILOSTAZOL TABLETS 100 MG TAB,$7.74 
28671,CILOSTAZOL TABLETS 50 MG TAB,$12.05 
71252,CINACALCET 30 MG TAB,$38.50 
71253,CINACALCET 60 MG TAB,$54.51 
71254,CINACALCET 90 MG TAB,$120.92 
42044,CIPRODEX 0.3-0.1 % SUSPENSION 7.5 ML BOTTLE,$610.12 
27252,CIPROFLOXACIN 0.3 % OINTMENT 3.5 G TUBE,$603.20 
11359,CIPROFLOXACIN 0.3 % SOLUTION,$18.87 
119025,CIPROFLOXACIN 200 MG/100ML SOLUTION,$45.42 
29385,CIPROFLOXACIN 250 MG TAB,$13.80 
98061,CIPROFLOXACIN 400 MG/200ML SOLUTION,$26.21 
29386,CIPROFLOXACIN 500 MG TAB,$21.55 
29387,CIPROFLOXACIN 750 MG TAB,$39.34 
105086,CIPROFLOXACIN HCL 0.2 % SOLUTION,$40.84 
26971,CIPROFLOXACIN ORAL SUSPENSION 250 MG/5ML (5%) RECON SUSP,$34.14 
26972,CIPROFLOXACIN ORAL SUSPENSION 500 MG/5ML (10%) RECON SUSP,$29.66 
130730,CISATRACURIUM BESYLATE 10 MG/5ML SOLUTION,$57.90 
130731,CISATRACURIUM BOLUS INJECTION 20 MG/10ML SOLUTION,$85.13 
142209,CISATRACURIUM BOLUS INJECTION 200 MG/20ML SOLUTION,$755.62 
95332,CISPLATIN 100 MG/100ML SOLUTION 100 ML VIAL,$20.75 
95333,CISPLATIN 200 MG/200ML SOLUTION 200 ML VIAL,$143.63 
95331,CISPLATIN 50 MG/50ML SOLUTION 50 ML VIAL,$31.06 
35094,CITALOPRAM (CELEXA) 10 MG TAB,$6.21 
24754,CITALOPRAM (CELEXA) 20 MG TAB,$6.52 
32729,CITALOPRAM 10 MG/5ML SOLUTION,$10.28 
27616,CITALOPRAM 40 MG TAB,$6.41 
99939934,CITALOPRAM 5 MG TAB,$9.15 
142207,CLADRIBINE 10 MG/10ML SOLUTION 10 ML VIAL,$71.07 
11367,CLARITHROMYCIN 250 MG TAB,$9.97 
11368,CLARITHROMYCIN 500 MG TAB,$11.16 
2082,CLINDAMYCIN 150 MG CAP,$7.19 
70253,CLINDAMYCIN 15MG/ML ORAL SOLUTION RECON SOLN,$39.63 
11372,CLINDAMYCIN 300 MG CAP,$11.27 
93696,CLINDAMYCIN 300 MG/2ML SOLUTION,$40.30 
119029,CLINDAMYCIN 300 MG/2ML SOLUTION,$53.40 
93694,CLINDAMYCIN 600 MG/4ML SOLUTION,$46.88 
119030,CLINDAMYCIN 600 MG/4ML SOLUTION,$52.23 
93695,CLINDAMYCIN 900 MG/6ML SOLUTION,$48.02 
119031,CLINDAMYCIN 900 MG/6ML SOLUTION,$52.57 
34308,CLINDAMYCIN PHOS-BENZOYL PEROX 1-5 % GEL,$861.56 
37312,CLINDAMYCIN PHOSPHATE 1 % LOTION,$365.16 
2084,CLINDAMYCIN PHOSPHATE(TOPICAL) 1 % SOLUTION,$292.86 
123021,CLOBAZAM (ONFI) 10 MG TAB,$51.08 
123022,CLOBAZAM (ONFI) 20 MG TAB,$58.14 
11382,CLOBETASOL 0.05 % CREAM,$150.12 
15465,CLOBETASOL 0.05 % GEL,$499.21 
11383,CLOBETASOL 0.05 % OINTMENT,$165.59 
11384,CLOBETASOL 0.05 % SOLUTION 25 ML BOTTLE,$175.05 
11387,CLOMIPRAMINE 25 MG CAP,$41.94 
2098,CLOMIPRAMINE HCL 50 MG CAP,$41.24 
11389,CLONAZEPAM (KLONOPIN) 0.5 MG TAB,$7.03 
11390,CLONAZEPAM (KLONOPIN) 1 MG TAB,$7.01 
11391,CLONAZEPAM (KLONOPIN) 2 MG TAB,$11.05 
41074,CLONAZEPAM 0.125 MG TABLET DISPERSIBLE,$11.15 
99939820,CLONAZEPAM 0.25 MG TAB,$5.92 
41076,CLONAZEPAM 0.5 MG TABLET DISPERSIBLE,$13.58 
31964,CLONIDINE (CATAPRES TTS-1) 0.1 MG/24HR PATCH WEEKLY,$114.27 
31965,CLONIDINE (CATAPRES TTS-2) 0.2 MG/24HR PATCH WEEKLY,$201.26 
31966,CLONIDINE (CATAPRES TTS-3) 0.3 MG/24HR PATCH WEEKLY,$205.22 
2099,CLONIDINE (CATAPRES) 0.1 MG TAB,$7.01 
2100,CLONIDINE (CATAPRES) 0.2 MG TAB,$7.92 
2101,CLONIDINE (CATAPRES) 0.3 MG TAB,$8.21 
22816,CLONIDINE (DURACLON) 100 MCG/ML SOLUTION,$51.29 
99939638,CLONIDINE 1 MCG/ML ORAL SUSPENSION,$8.00 
97055,CLOPIDOGREL 300 MG TAB,$78.27 
26048,CLOPIDOGREL 75 MG TAB,$11.26 
99939821,CLOPIDOGREL TAB,$17.03 
2103,CLORAZEPATE 3.75 MG TAB,$7.62 
2104,CLORAZEPATE 7.5 MG TAB,$11.46 
2112,CLOTRIMAZOLE 1 % CREAM,$15.17 
2113,CLOTRIMAZOLE 1 % SOLUTION 30 ML BOTTLE,$187.53 
11396,CLOTRIMAZOLE 10 MG TROCHE,$10.02 
11397,CLOTRIMAZOLE 2 % CREAM 21 G TUBE,$85.15 
2114,CLOTRIMAZOLE VAG 1 % CREAM 45 G TUBE,$16.56 
34210,CLOTRIMAZOLE/BETAMETHASONE CREAM 1-0.05 % CREAM 15 G TUBE,$45.54 
11400,CLOZAPINE 100 MG TAB,$19.61 
11401,CLOZAPINE 25 MG TAB,$10.41 
118763,CO Q 10 100 MG CAP,$7.63 
2139,COCAINE 10 % SOLUTION,$164.69 
2140,COCAINE 4 % SOLUTION,$626.26 
2151,CODEINE 15 MG TAB,$10.40 
2152,CODEINE 30 MG TAB,$14.55 
28889,COENZYME Q10 100 MG CAP,$6.94 
102553,COENZYME Q-10 100 MG CAP,$8.00 
83024,COENZYME Q10 100 MG/ML LIQUID,"$1,399.00 "
79380,COENZYME Q10 200 MG CAP,$7.26 
102552,COENZYME Q-10 200 MG CAP,$10.26 
26895,COENZYME Q10 50 MG CAP,$4.96 
2175,COLCHICINE 0.6 MG TAB,$29.90 
32887,COLESEVELAM 625 MG TAB,$21.80 
16286,COLESTIPOL HCL 1 G TAB,$8.34 
14300,COLESTIPOL HCL 5 G PACK,$26.17 
11440,COLISTIMETHATE 150 MG RECON SOLN 1 EACH VIAL,$97.28 
150619,COLISTIMETHATE SODIUM (CBA) 150 MG RECON SOLN,$124.50 
11441,COLLAGENASE 250 UNIT/GM OINTMENT 30 G TUBE,$603.90 
127040,COMBIVENT RESPIMAT 20-100 MCG/ACT AERO SOLN 4 G INHALER,$912.08 
138593,CONC INSULIN  GLARGINE (TOUJEO) 300 UNIT/ML SOLUTION PEN-INJECTOR 1.5 ML PEN,$285.07 
99939888,CONIVAPTAN BOLUS 20-5MG/100ML-% SOLUTION,$163.35 
2278,COPPER CHLORIDE 0.4 MG/ML SOLUTION 10 ML VIAL,$15.76 
94330,COQ10 100 MG CAP,$7.79 
75762,COQ-10 100 MG CAP,$9.43 
105731,COQ10 200 MG CAP,$8.87 
11445,CORTICOTROPIN 80 UNIT/ML GEL,"$7,797.29 "
2318,CORTISONE AC 25 MG TAB,$16.25 
40243,CORTISPORIN 3.5-10000-1 SOLUTION 10 ML BOTTLE,$156.80 
26966,COSOPT 22.3-6.8 MG/ML SOLUTION 10 ML BOTTLE,$89.14 
11446,COSYNTROPIN 0.25 MG RECON SOLN,$274.70 
31897,CRANBERRY 250 MG CAP,$5.18 
127377,CRANBERRY-VITAMIN C-VITAMIN E 4200-20-3 MG-MG-UNIT CAP,$3.67 
105193,CREON 12 12000 UNITS CAPSULE ENTERIC COATED PARTICLES,$19.71 
105194,CREON 24 24000-76000 UNITS CAPSULE ENTERIC COATED PARTICLES,$34.85 
105192,CREON 6 6000 UNITS CAPSULE ENTERIC COATED PARTICLES,$13.02 
11451,CROMOLYN 4 % SOLUTION 10 ML BOTTLE,$29.18 
28513,CROMOLYN 5.2 MG/ACT AERO SOLN 26 ML BOTTLE,$42.05 
23361,CROMOLYN SODIUM 100 MG/5ML CONC,$47.78 
99941205,CYANOCOBALAMIN,$47.58 
2400,CYANOCOBALAMIN 100 MCG TAB,$6.58 
11459,CYANOCOBALAMIN 1000 MCG SL TAB,$6.75 
2401,CYANOCOBALAMIN 1000 MCG TAB,$7.94 
2399,CYANOCOBALAMIN 1000 MCG/ML SOLUTION,$53.10 
2402,CYANOCOBALAMIN 250 MCG TAB,$6.43 
2412,CYCLOBENZAPRINE 10 MG TAB,$8.26 
40630,CYCLOBENZAPRINE 5 MG TAB,$8.33 
11463,CYCLOMYDRIL 0.2-1 % SOLUTION 2 ML BOTTLE,$91.83 
2420,CYCLOPENTOLATE 1% 1 % SOLUTION 2 ML BOTTLE,$83.97 
11462,CYCLOPENTOLATE 2% 2 % SOLUTION,$103.39 
72053,CYCLOPHOSPHAMIDE 1 G RECON SOLN 1 EACH VIAL,$215.43 
72058,CYCLOPHOSPHAMIDE 2 G RECON SOLN,$194.29 
136003,CYCLOPHOSPHAMIDE 25 MG CAP,$28.00 
11464,CYCLOPHOSPHAMIDE 25 MG TAB,$9.21 
136004,CYCLOPHOSPHAMIDE 50 MG CAP,$25.02 
11465,CYCLOPHOSPHAMIDE 50 MG TAB,$9.71 
72054,CYCLOPHOSPHAMIDE 500 MG RECON SOLN,$202.67 
33434,CYCLOSPORINE (NEORAL) 100 MG/ML SOLUTION,$10.93 
11468,CYCLOSPORINE (SANDIMMUNE) 100 MG CAP,$34.73 
11469,CYCLOSPORINE (SANDIMMUNE) 25 MG CAP,$26.72 
11467,CYCLOSPORINE (SANDIMUNE) 50 MG/ML SOLUTION 5 ML AMPULE,$46.55 
40661,CYCLOSPORINE 0.05 % EMULSION,$49.73 
33433,CYCLOSPORINE MODIFIED (NEORAL/GENGRAF) 100 MG CAP,$24.57 
33432,CYCLOSPORINE MODIFIED (NEORAL/GENGRAF) 25 MG CAP,$11.31 
2432,CYPROHEPTADINE 2 MG/5ML SYRUP,$16.33 
2433,CYPROHEPTADINE 4 MG TAB,$8.92 
23780,CYTARABINE (PF) 100 MG/ML SOLUTION 20 ML VIAL,$9.99 
2446,CYTARABINE 100 MG RECON SOLN 1 EACH VIAL,$16.79 
103886,CYTARABINE 20 MG/ML SOLUTION,$64.89 
11471,CYTARABINE 20 MG/ML SOLUTION 25 ML VIAL,$106.19 
17429,CYTOMEGALOVIRUS IMMUNE GLOBULIN INJECTION,"$3,376.91 "
2805,D10%W 10 % SOLUTION,$58.97 
99939258,D10%W 1000ML SOLUTION,$53.49 
99939261,D10W/0.45% NACL SOLUTION,$36.19 
99939264,"D5%W + 0.225% NACL SOLUTION 1,000 ML FLEX CONT",$26.26 
99939274,D5%W + 0.45% NACL + KCL 10 MEQ SOLUTION,$55.58 
18914,D5%W + 0.45% NACL 5-0.45 % SOLUTION 500 ML FLEX CONT,$37.92 
99939435,D5%W + 0.45% NACL 500ML,$37.86 
99939271,D5%W + 0.45% NACL SOLUTION,$26.89 
99939276,D5%W + 0.9% NACL SOLUTION,$25.45 
11555,D5%W + LR 5 % SOLUTION,$46.68 
99939279,D5%W + LR SOLUTION,$42.46 
99939263,D5%W 1000ML SOLUTION,$51.27 
99939250,D5%W 100ML ADVANTAGE SOLUTION,$43.37 
99939303,D5%W 100ML SOLUTION,$53.88 
99939249,D5%W 150ML SOLUTION,$51.25 
99939332,D5%W 250ML ADD-VANTAGE 5 % SOLUTION 250 ML FLEX CONT,$47.42 
2812,D5%W 5 % SOLUTION,$42.86 
99939247,D5%W 500ML SOLUTION,$54.05 
99939251,D5%W 50ML ADD-VANTAGE SOLUTION,$42.48 
99939304,D5%W 50ML SOLUTION,$43.14 
99939248,D5%W SOLUTION,$50.50 
99939981,D5W SOLUTION,$44.45 
117246,DABIGATRAN (PRADAXA) 150 MG CAP,$38.21 
117414,DABIGATRAN (PRADAXA) 75 MG CAP,$36.77 
2493,DACARBAZINE 100 MG RECON SOLN 1 EACH VIAL,$40.06 
2494,DACARBAZINE 200 MG RECON SOLN 1 EACH VIAL,$34.41 
33521,DACTINOMYCIN 0.5 MG RECON SOLN,"$6,492.01 "
19018,DAKINS (1/2 STRENGTH) 0.2-0.25 % SOLUTION,$154.41 
82849,DAKINS 0.125 % SOLUTION,$211.23 
2514,DAKINS FULL STRENGTH 0.4-0.5 % SOLUTION,$50.89 
27254,DAKINS HALF STRENGTH 0.25 % SOLUTION,$54.31 
135878,DALBAVANCIN HCL 500 MG RECON SOLN 1 EACH VIAL,$44.96 
113823,DALFAMPRIDINE 10 MG TABLET SR 12 HR,$159.56 
11478,DANTROLENE 20 MG RECON SOLN,$208.59 
11480,DANTROLENE 25 MG CAP,$14.77 
134533,DAPAGLIFLOZIN PROPANEDIOL 10 MG TAB,$39.36 
2540,DAPSONE 100 MG TAB,$17.75 
2541,DAPSONE 25 MG TAB,$15.08 
42429,DAPTOMYCIN 500 MG RECON SOLN,$1.17 
141224,DARATUMUMAB 100 MG/5ML SOLUTION,$207.03 
141225,DARATUMUMAB 400 MG/20ML SOLUTION 20 ML VIAL,$207.86 
140522,DARBEPOETIN 200 MCG/ML SOLUTION,$12.08 
83215,DARBEPOETIN 300 MCG/ML 300 MCG/ML SOLUTION,$12.02 
140520,DARBEPOETIN 60 MCG/ML SOLUTION,$29.00 
140518,DARBEPOETIN ALFA 100 MCG/ML SOLUTION,$29.03 
140523,DARBEPOETIN ALFA 150 MCG/0.3ML SOLUTION PREFILLED SYRINGE,$24.10 
140521,DARBEPOETIN ALFA-POLYSORBATE 100 MCG/0.5ML SOLUTION PREFILLED SYRINGE,$38.17 
140524,DARBEPOETIN ALFA-POLYSORBATE 200 MCG/0.4ML SOLUTION PREFILLED SYRINGE,$16.54 
140525,DARBEPOETIN ALFA-POLYSORBATE 300 MCG/0.6ML SOLUTION PREFILLED SYRINGE,$16.40 
75318,DARIFENACIN HYDROBROMIDE 15 MG TABLET SR 24 HR,$36.76 
98821,DARUNAVIR 600 MG TAB,$97.74 
129207,DARUNAVIR ETHANOLATE 800 MG TAB,$196.82 
11483,DAUNORUBICIN 20 MG RECON SOLN,$121.87 
26611,DAUNORUBICIN HCL 5 MG/ML INJECTION,$261.94 
148498,DAUNORUBICIN-CYTARABINE LIPOSOMAL 44-100 MG RECON SUSP 1 EACH VIAL,"$2,265.60 "
1645,DEBROX 6.5 % SOLUTION 15 ML BOTTLE,$18.86 
82314,DECITABINE IV 50 MG RECON SOLN,$69.68 
11485,DEFEROXAMINE 500 MG RECON SOLN,$66.21 
103889,DEGARELIX ACETATE 120 MG RECON SOLN,$15.84 
103888,DEGARELIX ACETATE 80 MG RECON SOLN,$16.08 
16629,DEHYDRATED ALCOHOL 98 % SOLUTION,$297.65 
151818,DEHYDRATED ALCOHOL 98 % SOLUTION,$258.94 
11488,DEMECLOCYCLINE 150 MG TAB,$35.35 
117667,DENOSUMAB 120 MG/1.7ML SOLUTION,$72.48 
115647,DENOSUMAB 60 MG/ML SOLUTION,$57.32 
39817,DEPAKOTE ER 250 MG TABLET SR 24 HR,$14.06 
33385,DEPAKOTE ER 500 MG TABLET SR 24 HR,$18.66 
3036,DEPAKOTE TAB 125 MG TAB EC,$8.00 
3037,DEPAKOTE TAB 250 MG TAB EC,$9.54 
3038,DEPAKOTE TAB 500 MG TAB EC,$10.88 
106698,DEPLIN 15 MG TAB,$16.37 
81957,DEPLIN 7.5 MG TAB,$17.21 
