"The University of Texas MD Anderson Cancer Center
Professional Charge List",,,,
Pricing as of December 2018.,,,,
"DISCLAIMER: THIS SITE IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT AN OFFER OR REPRESENTATION OF ACTUAL PRICING FOR SERVICES; MD ANDERSON IS PROVIDING THIS INFORMATION ON AN AS-IS BASIS TO GIVE PATIENTS A GENERAL IDEA OF POTENTIAL CHARGES ASSOCIATED WITH MEDICAL CARE AND DOES NOT WARRANT THE ACCURACY, COMPLETENESS, OR USEFULNESS OF THE INFORMATION PROVIDED.  THIS INFORMATION IS NEITHER INTENDED TO BE NOR SHOULD IT BE CONSIDERED FINANCIAL OR MEDICAL ADVICE.  MD ANDERSON MAKES NO GUARANTEES REGARDING THE CHARGE INFORMATION PROVIDED ON THIS WEBSITE. THE CHARGE INFORMATION IS STRICTLY AN ESTIMATE OF CHARGES AND MD ANDERSON CANNOT GUARANTEE THE ESTIMATES BECAUSE SERVICES RENDERED TO EACH PATIENT AND THEIR COST MAY VARY BECAUSE OF TREATMENT DECISIONS, UNFORESEEN COMPLICATIONS, ADDITIONAL TESTS OR SERVICES ORDERED BY YOUR PHYSICIAN, AND THE INDIVIDUAL NEEDS OF EACH PATIENT. IN ADDITION, ESTIMATES MAY CHANGE BASED ON YOUR CONTRACTED INSURANCE BENEFITS, INSURANCE POLICY EXCLUSIONS, MAXIMUM BENEFITS, PENDING FINANCIAL ASSISTANCE, OR PENDING STATE/FEDERAL PROGRAM OR OTHER AID.",,,,
2588,74363,"CHG PERCUT TRANSHEPAT DILAT,BILE DUCT STRICT",$390.00,
2589,74400,CHG X-RAY IV PYELOGRAM (IVP),$147.00,
2590,74420,CHG X-RAY RETROGRADE PYELOGRAM,$220.00,
2591,74425,CHG X-RAY ANTEGRADE PYELOGRAM TUBE,$103.00,
2592,74430,"CHG X-RAY CYSTOGRAM, MIN 3 VIEW",$88.57,
2593,74450,CHG X-RAY URETHROCYSTOGRAM,$145.00,
2594,74455,CHG X-RAY URETHROCYSTOGRAM+VOIDING,$173.00,
2595,75557,CHG CARDIAC MRI MORPHOLOGY & FUNCTION W/O CONTRAST,$964.00,
2596,75561,CHG CARDIAC MRI W/W/O CONTRAST & FURTHER SEQ,"$1,065.00",
2597,75565,CHG CARDIAC MRI FOR VELOCITY FLOW MAPPING,$181.00,
2598,75571,CHG CT HEART W/O CONTRAST QUANT EVAL CORONARY CALCIUM,$283.34,
2599,75574,CHG CT ANGIO HRT CORNRY ART/BYPASS GRFTS CONTRST 3D POST,$913.04,
2600,75600,CHG ANGIO AORTOGRAM THORACIC,$577.00,
2601,75605,CHG ANGIO AORTOGRAM THOR SERIAL,$630.87,
2602,75625,CHG ANGIO AORTOGRAM ABD SERIAL,$635.75,
2603,75630,CHG ANGIO AORTOBIFEMORAL W CATH,$844.93,
2604,75635,"CHG CT ANGIO AORTOBIFEMORAL, COMBO","$1,318.00",
2605,75705,CHG ANGIO SPINAL SELECTV,$762.04,
2606,75710,CHG ANGIO EXTREMITY UNILAT,$538.00,
2607,75716,CHG ANGIO EXTERMITY BILAT,$546.62,
2608,75726,CHG ANGIO VISCERAL SELECTV/SUBSELEC,$583.54,
2609,75736,CHG ANGIO PELVIS,$555.90,
2610,75741,CHG ANGIO PULMON UNILAT SELECT,$625.00,
2611,75743,CHG ANGIO PULMON BILAT SELECT,$791.00,
2612,75746,CHG ANGIO PULMON BILAT NONSELEC,$537.47,
2613,75756,CHG ANGIO INTERN MAMMARY,$539.13,
2614,75774,CHG ANGIO EA ADDNL SELECTV VESSEL,$409.00,
2615,75807,CHG LYMPHANGIO ABD/PELV BILAT,$447.00,
2616,75820,CHG VENOGRAM EXTREM UNILAT,$411.00,
2617,75822,CHG VENOGRAM EXTREM BILAT,$366.00,
2618,75825,CHG VENOGRAM INFER VENA CAVA,$614.82,
2619,75827,CHG VENOGRAM SUPER VENA CAVA,$629.61,
2620,75860,CHG VENOGRAM SINUS/JUGULAR,"$1,063.00",
2621,75870,CHG VENOGRAM SUPER SAG SINUS,$615.00,
2622,75885,CHG PERCUT XHEPATIC PORTO+DYNAMIC,$711.00,
2623,75887,CHG PERCUT XHEPATIC PORTOGRAM,$711.00,
2624,75889,CHG VENOGRAM HEPATIC W HEMODYNAMICS,$614.00,
2625,75891,CHG VENOGRAM HEPATIC,$614.00,
2626,75893,CHG VENOUS SAMPLING BY CATHETER,$405.00,
2627,75894,CHG TRANSCATHETER RX EMBOLIZATN,$846.00,
2628,75898,CHG ANGRPH CATH F-UP STD TCAT OTHER THAN THROMBYLSIS,"$1,315.00",
2629,75901,"CHG REMOVE,OBST MATL,CVA DEV VIA SEP VEN ACC",$720.00,
2630,75902,"CHG REMOVE,OBST MATL,CVA DEVICE VIA LUMEN",$476.00,
2631,75970,CHG VASCULAR BIOPSY,$381.00,
2632,75984,CHG CHANGE PERCUT TUBE/DRAIN CATH W CONTRAST MONIT,$266.00,
2633,75989,"CHG RAD GUIDED,PERCUT DRAINAGE,W/CATH PLACE",$477.00,
2634,76000,CHG FLUOROSCOPY UP TO 1 HOUR PHYSICIAN/QHP TIME,$215.00,
2635,76001,CHG FLUOROSCOPY SPX >1 HOUR PHYS/QHP TIME,$467.00,
2636,76080,"CHG X-RAY FISTULA,ABSCESS,SINUS TRACT",$178.00,
2637,76098,"CHG X-RAY EXAM, BREAST SPECIMEN",$73.00,
2638,76140,CHG X-RAY CONSULTATION,$220.00,
2639,76376,CHG 3D RENDERING W/INTERP & POSTPROCESS SUPERVISION,$70.00,
2640,76377,CHG 3D RENDERING W/INTERP&POSTPROC DIFF WORK STATION,$275.00,
2641,76380,"CHG CT SCAN,LIMITED/LOCALIZED F/U STUDY",$279.00,
2642,76390,CHG MRI SPECTROSCOPY,$431.00,
2643,76497,CHG UNLISTED CT PROCEDURE,$234-$1102,
2644,76498,"PR UNLISTED  MAGNETIC RESONANCE PROCEDURE, MRI WHOLE BODY",$234-$3262,
2645,76499,PB UNLISTED DIAGNOSTIC RADIOGRAPHIC PROCEDURE ,$10-$1102,
2646,76506,"CHG US, HEAD, REAL TIME",$225.00,
2647,76510,"CHG US, EYE, B-SCAN & QUANT A-SCAN",$615.00,
2648,76511,"CHG US, EYE A-SCAN",$322.00,
2649,76512,"CHG US, EYE B-SCAN",$313.00,
2650,76513,"CHG US, EYE,ANTERIOR",$314.00,
2651,76514,"CHG US, EYE, FOR CORNEAL THICKNESS",$79.00,
2652,76519,"CHG US, EYE BIOMETRY W LENS CALC",$275.00,
2653,76536,"CHG US, HEAD/NECK TISSUES,REAL TIME",$206.00,
2654,76604,"CHG US, CHEST,REAL TIME",$231.00,
2655,76641,CHG US BREAST UNI REAL TIME WITH IMAGE COMPLETE,$298.00,
2656,76642,CHG US BREAST UNI REAL TIME WITH IMAGE LIMITED,$278.00,
2657,76700,"CHG US, ABDOM,B-SCAN &/OR REAL TIME,COMPLETE",$288.00,
2658,76705,"CHG US, ABDOMEN LIMITED",$209.00,
2659,76770,"CHG US,RETROPERIT, B-SCAN/REAL TIME,COMPLETE",$234.00,
2660,76775,"CHG US, RETROPERITNL ABD,  LTD",$155.00,
2661,76776,"CHG US,TRANSPLANTED KIDNEY, REAL TIME/ DOPPLER",$265.00,
2662,76801,"CHG US, OB < 14 WKS, SINGLE FETUS",$220.00,
2663,76805,"CHG US, OB >/= 14 WKS, SNGL FETUS",$228.00,
2664,76815,"CHG US,PREGNANT UTERUS,LIMITED, 1/> FETUSES",$210.00,
2665,76817,"CHG US,PREGNANT UTERUS,TRANSVAGINAL",$224.00,
2666,76830,"CHG ECHOGRAPHY,TRANSVAGINAL",$234.00,
2667,76856,"CHG ECHO,PELVIC (NONOBSTETRIC)",$205.00,
2668,76857,CHG SONO PELVIS LIMITED,$188.00,
2669,76870,"CHG ECHO,SCROTUM & CONTENTS",$176.00,
2670,76872,"CHG ECHO,TRANSRECTAL",$345.00,
2671,76873,"CHG ECHO,TRANSRECTAL,PROSTATE VOL",$635.00,
2672,76881,CHG US COMPL JOINT R-T W/IMAGE DOCUMENTATION,$226.00,
2673,76882,CHG US LMTD JOINT/OTH NONVASC XTR STRUX R-T W/IMG,$152.00,
2674,76930,CHG SONO GUIDE PERICARD TAP,$214.00,
2675,76932,CHG SONO GUIDE HEART BIOPSY,$330.00,
2676,76936,"CHG US GUID,COMP REPAIR,PSEUDO-ANEUR/AV FIST",$770.00,
2677,76937,"CHG US GUIDE, VASCULAR ACCESS",$127.00,
2678,76940,"CHG US GUIDE, TISSUE ABLATION",$674.00,
2679,76942,CHG SONO GUIDE NEEDLE BIOPSY,$316.75,
2680,76965,CHG SONO GUIDE RADIOELEMT APPLIC,$620.31,
2681,76998,"CHG ULTRASONIC GUIDANCE, INTRAOPERATIVE",$987.00,
2682,77001,"CHG FLUOROGUIDE CNTRL VEN ACCESS,PLACE,REPLACE,REMOVE",$280.00,
2683,77002,CHG FLUOROSCOPIC GUIDANCE NEEDLE PLACEMENT ADD ON,$556.00,
2684,77003,CHG FLUOR NEEDLE/CATH SPINE/PARASPINAL DX/THER ADDON,$556.00,
2685,77012,CHG CT GUIDANCE NEEDLE PLACEMENT,$442.00,
2686,77013,CHG CT GUIDANCE TISSUE ABLATION,"$1,312.00",
2687,77014,CHG CT GUIDANCE PLACEMENT RAD THERAPY FIELDS,$300.00,
2688,77021,CHG MRI GUIDANCE NEEDLE PLACEMENT,$558.00,
2689,77022,CHG MRI GUIDANCE TISSUE ABLATION,"$1,536.00",
2690,77053,"CHG MAMMARY DUCTOGRAM, SINGLE",$139.00,
2691,77058,"CHG MRI BREAST, W/WO CONTRAST, SINGLE",$944.00,
2692,77059,"CHG MRI BREAST, W/WO CONTRAST, BILATERAL","$1,241.00",
2693,77061,CHG DIGITAL BREAST TOMOSYNTHESIS UNILATERAL,$244.00,
2694,77062,CHG DIGITAL BREAST TOMOSYNTHESIS BILATERAL,$244.00,
2695,77063,CHG SCREENING DIGITAL BREAST TOMOSYNTHESIS BI,$245.00,
2696,77065,CHG DIAGNOSTIC MAMMOGRAPHY COMPUTER-AIDED DETCJ UNI,$305.00,
2697,77066,CHG DIAGNOSTIC MAMMOGRAPHY COMPUTER-AIDED DETCJ BI,$376.00,
2698,77067,CHG SCREENING MAMMOGRAPHY BI 2-VIEW BREAST INC CAD,$286.00,
2699,77072,CHG X-RAYS FOR BONE AGE,$81.00,
2700,77073,"CHG X-RAYS, BONE LENGTH STUDIES",$94.00,
2701,77074,"CHG X-RAYS, BONE SURVEY, LIMITED",$160.00,
2702,77075,"CHG X-RAYS, BONE SURVEY COMPLETE",$203.00,
2703,77076,"CHG X-RAYS, BONE SURVEY, INFANT",$170.00,
2704,77078,"CHG CT BONE DENS STUDY, 1+ SITE,AXIAL",$304.00,
2705,77080,"CHG DEXA,BONE DENSITY, 1 + SITE, AXIAL SKELETON",$131.00,
2706,77081,"CHG DEXA,BONE DENSITY, 1 + SITE, APPENDICULR SKELTN",$127.00,
2707,77085,CHG DXA BONE DENSITY STUDY AXIAL SKELETON,$123.00,
2708,77261,CHG RADIATION THERAPY PLAN SIMPLE,"$1,405.00",
2709,77262,CHG RADIATION THERAPY PLAN INTERM,"$1,839.00",
2710,77263,CHG RADIATION THERAPY PLAN COMPLEX,"$2,552.00",
2711,77280,CHG SET RADN THERAPY FIELD SIMPLE,$752.00,
2712,77285,CHG SET RADN THERAPY FIELD INTERME,"$1,196.00",
2713,77290,CHG SET RADN THERAPY FIELD COMPLEX,"$1,412.00",
2714,77293,CHG RESPIRATORY MOTION MANAGEMENT SIMULATION,$773.00,
2715,77295,CHG 3-D RADIOTHERAPY PLAN DOSE-VOLUME HISTOGRAMS,"$1,855.00",
2716,77300,"CHG RADIATION THERAPY,DOSIMETRY PLAN",$320.00,
2717,77301,CHG INTEN MOD RADIOTHER PLAN W/DOSE VOL HIST,"$3,772.00",
2718,77306,CHG TELETHX ISODOSE PLN SMPL W/DOSIMETRY CALCULATION,$571.00,
2719,77307,CHG TELETHX ISODOSE PLN CPLX W/BASIC DOSIMETRY,"$1,182.00",
2720,77316,CHG BRACHYTX ISODOSE PLN SMPL W/DOSIMETRY CAL,$571.00,
2721,77317,CHG BRACHYTX ISODOSE PLN INTERMED W/DOSIMETRY CAL,$746.00,
2722,77318,CHG BRACHYTX ISODOSE PLN CPLX W/DOSIMETRY CAL,"$1,182.00",
2723,77321,CHG TELETHER ISO-PORT PLAN,$427.00,
2724,77331,CHG SPECIAL RADIATION DOSIMETRY,$475.00,
2725,77332,CHG RADN TREATMENT AID(S) SIMPLE,$287.00,
2726,77333,CHG RADN TREATMENT AID(S) INTERM,$407.00,
2727,77334,CHG RADN TREATMENT AID(S) COMPLX,$608.00,
2728,77338,CHG MLC IMRT DESIGN & CONSTRUCTION PER IMRT PLAN,"$1,680.00",
2729,77387,CHG GUIDANCE FOR LOC OF TARGET VOL RADIAJ TX DLVR,$175.00,
2730,77427,"CHG RADIATION,MANGEMENT,5 TX'S","$1,279.00",
2731,77431,CHG RADIATION THERAPY MANAGEMENT,$436.00,
2732,77432,CHG STEREOTACTIC RADIATION TX MANAGEMENT CRANIAL LESION,"$3,404.00",
2733,77435,"CHG RADN RX DELIV,BODY, MANAGEMENT, PER COURSE","$4,524.00",
2734,77469,PR INTRAOPERATIVE RADIATION TREATMENT MANAGEMENT,"$2,171.00",
2735,77470,CHG SPECIAL RADIATION TREATMENT,"$1,140.00",
2736,77525,"CHG PROTON BEAM DEL,MULTIPLE,COMPLEX","$1,781.00",
2737,77605,CHG HYPERTHERMIA EXTERNAL GENERATED DEEP,"$1,321.00",
2738,77770,CHG HDR RDNCL NTRSTL/INTRCAV BRACHYTX 1 CHANNEL,$817.00,
2739,77771,CHG HDR RDNCL NTRSTL/INTRCAV BRACHYTX 2-12 CHANNEL,"$1,506.00",
2740,77772,CHG HDR RDNCL NTRSTL/INTRCAV BRACHYTX >12 CHANNELS,"$2,618.00",
2741,77778,CHG INTERSTI RADIOELEM APPL COMPLX,"$3,568.00",
2742,77789,CHG RADIOELEMENT APPLICATION SURFACE,$398.00,
2743,77790,CHG RADIOELEMENT HANDLING,$477.35,
2744,78012,CHG THYROID UPTAKE SINGLE/MULTIPLE QUANT MEASUREMENT,$73.00,
2745,78013,CHG THYROID IMAGING WITH VASCULAR FLOW,$142.00,
2746,78014,CHG THYROID UPTAKE W/BLOOD FLOW SNGLE/MULT QUAN MEAS,$191.00,
2747,78018,CHG THYROID MET IMAGING BODY,$697.00,
2748,78071,CHG PARATHYROID PLANAR IMAGING W/WO SUBTRACTION,$459.00,
2749,78072,CHG PARATHYROID IMAGING W/TOMOGRAPHIC SPECT & CT,$611.00,
2750,78075,CHG ADRENAL NUCLEAR IMAGING,$330.00,
2751,78104,"CHG BONE MARROW IMAGING, BODY",$484.00,
2752,78135,CHG RED CELL SURVIVAL KINETICS,$394.00,
2753,78195,CHG LYMPHATICS & LYMPH GLANDS IMAGING,$465.00,
2754,78201,CHG LIVER IMAGING,$173.00,
2755,78205,CHG LIVER IMAGING (SPECT),$269.00,
2756,78216,"CHG LIVER & SPLEEN IMAGE, FLOW",$252.00,
2757,78226,PR HEPATOBILIARY SYST IMAGING INCLUDING GALLBLADDER,$279.00,
2758,78227,PR HEPATOBIL SYST IMAG INC GB W/PHARMA INTERVENJ,$370.00,
2759,78264,CHG GASTRIC EMPTYING STUDY,$216.00,
2760,78267,"CHG BREATH TEST,ACQUIRE/ANALYZE",$30.20,
2761,78268,"CHG BREATH TEST,ANALYZE",$303.00,
2762,78278,CHG ACUTE GI BLOOD LOSS IMAGING,$238.00,
2763,78290,CHG BOWEL IMAGING,$205.00,
2764,78300,"CHG BONE IMAGING, LIMITED AREA",$247.00,
2765,78305,"CHG BONE IMAGING, MULTIPLE AREAS",$281.00,
2766,78306,"CHG BONE IMAGING, WHOLE BODY",$280.00,
2767,78315,"CHG BONE IMAGING, 3 PHASE",$306.00,
2768,78320,CHG BONE IMAGING (SPECT),$354.00,
2769,78445,"CHG VASCULAR FLOW IMAGING,NONCARDIAC",$390.00,
2770,78451,CHG MYOCARDIAL SPECT SINGLE STUDY AT REST OR STRESS,$672.00,
2771,78452,CHG MYOCARDIAL SPECT MULTIPLE STUDIES,$602.00,
2772,78457,"CHG IMAG,ACUTE VENOUS THRMBSIS,UNILAT",$353.00,
2773,78458,"CHG VEN THROMBOSIS IMAGES, BILAT",$441.00,
2774,78472,"CHG GATED HEART, PLANAR SINGLE",$439.00,
2775,78496,CHG HEART FIRST PASS ADD-ON,$454.02,
2776,78579,PR PULMONARY VENTILATION IMAGING,$185.00,
2777,78580,CHG LUNG PERFUSION IMAGING,$215.00,
2778,78582,PR PULMONARY VENTILATION & PERFUSION IMAGING,$404.00,
2779,78597,PR QUANT DIFFERENTIAL PULM PERFUSION W/WO IMAGING,$283.00,
2780,78608,CHG BRAIN IMAGING PET METABOLIC,"$1,520.00",
2781,78630,CHG CSF FLUID SCAN CISTERNOGRAPHY,$254.00,
2782,78645,CHG CSF SHUNT EVALUATION,$201.00,
2783,78700,"CHG RENAL IMAGING, STATIC",$177.00,
2784,78707,CHG RENAL FLOW/FUNCT IMAGING,$277.00,
2785,78708,"CHG RENAL FLOW/FUNCT IMAGE,PHARM RX",$353.00,
2786,78710,CHG RENAL IMAGING SPECT,$230.00,
2787,78725,CHG RENAL FUNCTION STUDY,$199.00,
2788,78800,"CHG TUMOR IMAGING, LIMITED AREA",$209.00,
2789,78802,"CHG TUMOR IMAGING, WHOLE BODY, SINGLE DAY",$332.00,
2790,78803,CHG TUMOR IMAGING SPECT,$352.00,
2791,78804,"CHG TUMOR IMAGING, WHOLE BODY, 2 OR MORE DAYS",$441.00,
2792,78806,"CHG ABSCESS IMAGING, WHOLE BODY",$319.00,
2793,78807,CHG NUCLEAR LOCALIZATION/ABSCESS,$283.00,
2794,78811,CHG PET IMAGING LIMITED AREA CHEST HEAD/NECK,$360.40,
2795,78812,CHG PET IMAGING SKULL BASE TO MID-THIGH,$553.00,
2796,78815,CHG PET IMAGING CT ATTENUATION SKULL BASE MID-THIGH,$530.00,
2797,78816,CHG PET IMAGING FOR CT ATTENUATION WHOLE BODY,$535.00,
2798,79005,"CHG NUCLEAR THERAPY, ORAL",$581.00,
2799,79101,"CHG NUCLEAR THERAPY, IV",$770.00,
2800,79403,"CHG NUCLEAR THERAPY, MONOCLONAL AB","$1,062.00",
2801,79445,"CHG NUCLEAR THERAPY, INTRA-ARTERIAL",$774.00,
2802,80500,CHG LAB PATHOLOGY CONSULT-LTD,$100.00,
2803,80502,CHG LAB PATHOLOGY CONSULT-COMPLETE,$219.00,
2804,81340,PR TRB@ REARRANGEMENT ANAL AMPLIFICATION METHOD,$10.00,
2805,82595,CHG ASSAY OF CRYOGLOBULIN,$130.00,
2806,83010,"CHG ASSAY OF HAPTOGLOBIN, QUANT",$48.35,
2807,83520,CHG IMMUNOASSAY ANALYTE QUANTITATIVE NOS,$49.75,
2808,83630,"CHG LACTOFERRIN, FECAL, QUAL",$75.41,
2809,84165,"CHG PROTEIN E-PHORESIS, SERUM",$62.00,
2810,84166,CHG PROTEIN E-PHORESIS/URINE/CSF,$70.00,
2811,84484,"CHG ASSAY OF TROPONIN, QUANT",$50.00,
2812,85060,PB BLOOD SMEAR PERIPHERAL INTERP PHYS W/WRIT REPORT ,$138-$151,
2813,85097,"CHG BONE MARROW,SMEAR INTERPRETATION",$323.00,
2814,85300,"CHG ANTITHROMBIN III TEST,ACTIV",$119-$130,
2815,85303,"CHG CLOT INHIB PROTEIN C,ACTIV",$53.13,
2816,85307,CHG ACTIVATED PROT C (APC) RESISTNCE ASSAY,$53.02,
2817,85396,"CHG CLOTTING ASSAY, WHOLE BLOOD",$108.39,
2818,85613,"CHG RUSSELL VIPER VENOM, DILUTED",$52.00,
2819,86023,CHG IMMUNOGLOBULIN ASSAY,$66.00,
2820,86039,CHG ANTINUCLEAR ANTIBODIES TITER,$48.00,
2821,86077,"CHG PHYS BLD BANK SERV,DIFF XMTCH",$226.85-$289,
2822,86078,PB BLD BANK PHYS SVCS INVSTGJ TFUJ RXN REPRT ,$156-$319,
2823,86079,"CHG PHYS BLD BANK SERV,DEV STD",$174.00,
2824,86153,CHG CELL ENUMERATION IMMUNE SELECTJ & ID PHYS INTERP,$630.00,
2825,86334,"CHG IMMUNOFIX E-PHORESIS, SERUM",$114.00,
2826,86335,CHG IMMUNFIX E-PHORSIS/URINE/CSF,$114.00,
2827,86430,CHG RHEUMATOID FACTOR TEST,$48.00,
2828,86641,CHG CRYPTOCOCCUS ANTIBODY,$65.00,
2829,86644,CHG CMV ANTIBODY,$55.30,
2830,86664,"CHG EPSTEIN-BARR ANTIBODY,NUCLEAR",$100.00,
2831,86665,"CHG EPSTEIN-BARR ANTIBODY,V CAPSID",$100.00,
2832,86694,"CHG HERPES SIMPLEX TEST, UNSPECIFIED TYPE",$55.30,
2833,86703,"CHG HIV-1/HIV-2, SINGLE ASSAY",$52.72,
2834,86780,CHG ANTIBODY TREPONEMA PALLIDUM,$23.00,
2835,86790,"CHG VIRUS, NOT SPECIFIED",$31.43,
2836,86830,CHG ANTIBODY HLA CLASS I PHENOTYPE PANEL QUALITATIVE,$231.00,
2837,86831,CHG ANTIBODY HLA CLASS II PHENOTYPE PANEL QUAL,$199.00,
2838,86832,CHG ANTIBODY HLA CLASS I HIGH DEFINITION PANEL QUAL,$175-$245,
2839,86833,CHG ANTIBODY HLA CLASS II HIGH DEFINITION PANEL QUAL,$175-$245,
2840,86860,CHG RBC ANTIBODY ELUTION,$30.00,
2841,86880,CHG ANTIHUMAN GLOBULIN DIR EA ANTISERUM,$66.00,
2842,86885,CHG ANTIHUMAN GLOBULIN INDIR QUAL EA REAGENT CELL,$21.97,
2843,86905,CHG BLOOD TYPING RBC ANTIGENS OTH/THN ABO/RH D EACH,$100.00,
2844,87040,PR CHG BLOOD CULTURE FOR BACTERIA,$65.00,
2845,87045,"CHG STOOL CULTURE,SALMONELLA & SHIGELLA",$36.25,
2846,87070,"CULTURE, ROUTINE; SPECIFIC SOURCE",$53.00,
2847,87081,CHG BACTERIA CULTURE SCREEN,$25.47,
2848,87086,"CHG URINE CULTURE, COLONY COUNT",$53.00,
2849,87101,CHG CULTURE FUNGI-SKIN HAIR NAILS,$29.62,
2850,87102,CHG FUNGUS ISOLATION CULTURE,$65.00,
2851,87118,CHG MYCOBACTERIA IDENTIFICATION,$65.00,
2852,87207,"CHG SMEAR,INCLUSION BODIES/PARASITES,INTERP",$74.00,
2853,87210,"CHG SMEAR,STAIN,WET MNT,INTERP",$16.39,
2854,87220,CHG TISSUE EXAM BY KOH,$16.39,
2855,87252,"CHG VIRUS ID,INOC TEST,OBSERV",$100.16,
2856,87253,"CHG VIRUS ID,INOC TEST,ADDNL",$65.26,
2857,87305,"CHG ASPERGILLUS AG, EIA",$65.00,
2858,87324,"CHG CLOSTRIDIUM AG, EIA",$50.00,
2859,87340,"CHG HEPATITIS B SURFACE AG, EIA",$39.68,
2860,87449,"CHG AG DETECT NOS, EIA, MULT STEP",$62.00,
2861,87624,CHG IADNA HUMAN PAPILLOMAVIRUS HIGH-RISK TYPES,$200.00,
2862,87625,CHG IADNA HUMAN PAPILLOMAVIRUS TYPES 16 & 18 ONLY,$200.00,
2863,87799,PB UNLISTED IADNA NOS QUANTIFICATION EACH ORGANISM ,$164.59,
2864,88104,"CHG CYTOPATH FLUIDS,SMEAR,INTERP",$201.00,
2865,88108,"CHG CYTOPATH FLUIDS,CONCENTRATN,INTERP",$250.00,
2866,88120,"CHG CYTOPATH, INSITU HYBRID URINE SPEC 3-5 PROBES EACH,MANUAL",$436.00,
2867,88141,CHG CYTOPATH CERV/VAG INTERPRET,$88.00,
2868,88172,"CHG EVALUATION OF FNA SMEAR TO DETERMINE ADEQUACY, FIRST EVAL",$366.00,
2869,88173,CHG INTERPRETATION OF FNA SMEAR,$412.00,
2870,88177,"CHG EVALUATION OF FNA SMEAR TO DETERMINE ADEQUACY, EA ADD EVAL",$122.00,
2871,88187,"CHG FLOWCYTOMETRY/READ, 2-8 MARKERS",$414.00,
2872,88188,"CHG FLOWCYTOMETRY/READ, 9-15 MARKERS","$1,033.00",
2873,88189,"CHG FLOWCYTOMETRY/READ, 16 & > MARKERS","$1,886.00",
2874,88291,PR CHG CYTO/MOLECULAR REPORT,$198-$217,
2875,88300,"CHG SURG PATH,GROSS,LEVEL I",$80.00,
2876,88302,"CHG SURG PATH,LEVEL II",$134.00,
2877,88304,"CHG SURG PATH,LEVEL III",$176.00,
2878,88305,"CHG SURG PATH,LEVEL IV",$303.00,
2879,88307,"CHG SURG PATH,LEVEL V",$505.00,
2880,88309,"CHG SURG PATH,LEVEL VI",$676.00,
2881,88311,CHG DECALCIFY TISSUE,$98.00,
2882,88312,"CHG SPECIAL STAINS,GROUP I",$134.00,
2883,88313,"CHG SPECIAL STAINS,GROUP II",$108.00,
2884,88314,CHG HISTOCHEMICAL STAIN,$178.00,
2885,88319,"PR CHG ENZYME HISTOCHEMISTRY, PAS STAIN",$249.00,
2886,88321,CHG MICROSLIDE CONSULT,$272.00,
2887,88323,CHG MICROSLIDE CONSULT W SLIDE PREP,$314.00,
2888,88329,CHG PATH CONSULT IN SURGERY,$214.00,
2889,88331,"CHG PATH CONSULT IN SURG,W FRZ SEC",$387.00,
2890,88332,"CHG PATH CONSULT IN SURG,W ADDN FRZ SEC",$263.00,
2891,88333,"CHG INTRAOPERATIVE CYTO PATH CONSULT, INITIAL SITE",$173.00,
2892,88334,"CHG INTRAOPERATIVE CYTO PATH CONSULT, ADD SITES",$153.00,
2893,88341,CHG IMHISTOCHEM/CYTCHM EA ADDL ANTIBODY SLIDE,$166.00,
2894,88342,CHG IMHISTOCHEM/CYTCHM 1ST SEP IDENT ANTIBODY SLIDE,$213.00,
2895,88344,CHG IMHISTOCHEM/CYTCHM EA MULTIPLEX ANTIBODY SLIDE,$199.09-$305,
2896,88346,"CHG IMMUNOFLUORESCENT STUDY,DIRECT",$154.06-$237,
2897,88360,CHG M/PHMTRC ALYS TUMOR IMHCHEM EA ANTIBODY MANUAL,$296.00,
2898,88361,CHG M/PHMTRC ALYS TUMOR IMHCHEM EA ANTBDY CMPTR ASST,$263.00,
2899,88363,CHG EXAM & SELECT ARCHIVE TISSUE MOLECULAR ANALYSIS,$134.00,
2900,88365,CHG IN SITU HYBRIDIZATION 1ST PROBE STAIN,$306.00,
2901,88368,CHG M/PHMTRC ALYS IN SITU HYBRIDIZATION EA PROBE MNL,$351.00,
2902,89051,CHG BODY FLUID CELL COUNT W DIFF,$52.00,
2903,89060,"CHG EXAM,SYNOVIAL FLUID CRYSTALS",$68.00,
2904,90785,PR PSYCHOTHERAPY COMPLEX INTERACTIVE,$48.00,
2905,90791,PR PSYCHIATRIC DIAGNOSTIC EVALUATION,$411.00,
2906,90792,PR PSYCHIATRIC DIAGNOSTIC EVAL W/MEDICAL SERVICES,$435.00,
2907,90832,PR PSYCHOTHERAPY W/PATIENT 30 MINUTES,$204.00,
2908,90833,PR PSYCHOTHERAPY W/PATIENT W/E&M SRVCS 30 MIN,$204.00,
2909,90834,PR PSYCHOTHERAPY W/PATIENT 45 MINUTES,$293.00,
2910,90836,PR PSYCHOTHERAPY W/PATIENT W/E&M SRVCS 45 MIN,$293.00,
2911,90837,PR PSYCHOTHERAPY W/PATIENT 60 MINUTES,$416.00,
2912,90838,PR PSYCHOTHERAPY W/PATIENT W/E&M SRVCS 60 MIN,$376.00,
2913,90839,PR PSYCHOTHERAPY FOR CRISIS FAMILY INITIAL 60 MINUTES,$826.00,
2914,90840,PR PSYCHOTHERAPY FOR CRISIS FAMILY EACH ADDL 30 MINUTES,$399.00,
