Service Area,Description,Revenue Code,Patient Pay Charge
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SKIN SUB GRFT T/ARM/LG CHILD PBC,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],992
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"SKIN SUB, MICOMATRIX 4X4",MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],1499
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"SKIN SUB, MIROMATRIX 2X2",MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],1085
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"SKIN SUB, MIROMATRIX 2X3",MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],1163
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"SKIN SUB, MIROMATRIX 3X3",MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],1240
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"SKIN SUBSTITUTE, GAMMAGRAFT, PER 1 SQ CM",PHARMACY - GENERAL CLASSIFICATION [0250],20
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"SKIN SUBSTITUTE, GRAFIX PRIME PER SQ CM",PHARMACY - EXTENSION OF 025X - DRUGS REQUIRING DETAILED CODING (A) [0636],230
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"SKIN SUBSTITUTE, GRAPHIX CORE, PER 1 SQ CM",PHARMACY - GENERAL CLASSIFICATION [0250],230
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"SKIN SUBSTITUTE, PRIMATRIX, PER 1 SQ CM",PHARMACY - EXTENSION OF 025X - DRUGS REQUIRING DETAILED CODING (A) [0636],12
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SKN SUB GRFT F/N/HF/G CH ADD,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],318
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SKN SUB GRFT F/N/HF/G CH ADD,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],143
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SKN SUB GRFT F/N/HF/G CH ADD PBC,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],151
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SKN SUB GRFT F/N/HF/G CHILD,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],318
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SKN SUB GRFT F/N/HF/G CHILD,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],143
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SKN SUB GRFT F/N/HF/G CHILD PBC,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],590
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SKN SUB GRFT T/A/L CHILD ADD,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],318
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SKN SUB GRFT T/A/L CHILD ADD,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],143
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SKN SUB GRFT T/A/L CHILD ADD PBC,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],121
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SKULL < 4 VIEWS,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],69
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"SKULL, COMPLETE, MIN 4 VIEWS",RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],121
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SLCTV WND DEBRIDEM > 20 CM,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],28
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SLCTV WND DEBRIDEM > 20 CM PBC,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],28
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SLCTV WND DEBRIDEM 20 CM OR <,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],96
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SM(SMITH)IGG AUTO ABS (Beaker),LABORATORY - GENERAL CLASSIFICATION [0300],44
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SMALL BOWEL CAPSULE ENDOSCOPY,GASTRO-INTESTINAL (GI) - GENERAL CLASSIFICATION [0750],533
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SMALL BOWEL RAD EXAM,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],199
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SMOKING CESSATION,RESPIRATORY SERVICES - GENERAL CLASSIFICATION [0410],56
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Smpl repair sprficial wnds of face/ears/eyelids/nose/lips and/or mucous membranes; 5.1 cm to 7.5 cm,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],92
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Smpl repr sprficial wnds of face/ears/eyelids/nose/lips and/or mucous membranes; 12.6 cm to 20.0 cm,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],92
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Smpl repr sprficial wnds of face/ears/eyelids/nose/lips and/or mucous membranes; 7.6 cm to 12.5 cm,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],92
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SNARE DURING COLONOSCOPY,GASTRO-INTESTINAL (GI) - GENERAL CLASSIFICATION [0750],787
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SNARE DURING EGD,GASTRO-INTESTINAL (GI) - GENERAL CLASSIFICATION [0750],779
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SODIUM ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],7
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"SODIUM ASSAY, URINE (Beaker)",LABORATORY - CHEMISTRY [0301],7
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SOFT TISSUES OF HEAD & NECK - IMG,OTHER IMAGING SERVICES - ULTRASOUND [0402],233
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SOMATOMEDIN C ENDO,LABORATORY - GENERAL CLASSIFICATION [0300],26
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SORBSAN 4 X 4,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],20
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SP URINARY TRACT ANTEGRADE,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],379
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SPECIAL STAIN - EM,LABORATORY PATHOLOGICAL - GENERAL CLASSIFICATION [0310],231
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SPECIAL STAIN FOR INCLUSION BODIES OR PARASITES,LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306],11
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SPECIAL STAIN GROUP 2,LABORATORY PATHOLOGICAL - CYTOLOGY [0311],81
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SPECIAL STAIN GROUP 2,LABORATORY PATHOLOGICAL - GENERAL CLASSIFICATION [0310],81
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SPECIAL STAIN GROUP 3,LABORATORY PATHOLOGICAL - GENERAL CLASSIFICATION [0310],44
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Specific Allergen,LABORATORY - IMMUNOLOGY [0302],27
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Specific Allergen,LABORATORY - IMMUNOLOGY [0302],27
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SPECIMEN HANDLING,LABORATORY - GENERAL CLASSIFICATION [0300],22
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SPEECH SOUND LANG COMPREHEN,SPEECH THERAPY - LANGUAGE PATHOLOGY - EVALUATION OR REEVALUATION [0444],99
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SPEECH SOUND LANG COMPREHEN,SPEECH THERAPY - LANGUAGE PATHOLOGY - EVALUATION OR REEVALUATION [0444],99
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SPEECH/LANG THER 15 MINS,SPEECH THERAPY - LANGUAGE PATHOLOGY - HOURLY [0442],94
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SPHINCTER/PAPILLOTOMY DUR ERCP,GASTRO-INTESTINAL (GI) - GENERAL CLASSIFICATION [0750],1415
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SPINAL CANAL ULTRASOUND,OTHER IMAGING SERVICES - ULTRASOUND [0402],112
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SPINAL PUNCTURE LUMBAR - IMG,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],398
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Spine Thor+Lum Inc CSP + SK if Performed 2-3VW,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],232
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"SPINE THOR+LUM INC CSP + SK IF PERFORMED, 1VIEW",RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],40
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"SPINE THOR+LUM INC CSP+SK IFPERFORMED,4-5 VIEWS",RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],281
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SPIROMETRY,PULMONARY FUNCTION - GENERAL CLASSIFICATION [0460],110
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SPLINT  FINGER,MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],3
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SPLINT LEG 16 IN. UNIVERSAL,MEDICAL/SURGICAL SUPPLIES AND DEVICES - PROSTHETIC/ORTHOTIC DEVICES [0274],16
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SPLINT LEG 20 IN. UNIVERSAL,MEDICAL/SURGICAL SUPPLIES AND DEVICES - PROSTHETIC/ORTHOTIC DEVICES [0274],18
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SPLINT LEG 24 IN. UNIVERSAL,MEDICAL/SURGICAL SUPPLIES AND DEVICES - PROSTHETIC/ORTHOTIC DEVICES [0274],20
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SPLINTING SUPPLIES - SMALL,MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],22
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SPONTANEOUS NEBULIZER RX,RESPIRATORY SERVICES - GENERAL CLASSIFICATION [0410],49
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"SPOTTED FEVER GRP AB, IGG AND IGM - SFGP",LABORATORY - IMMUNOLOGY [0302],22
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SPUTUM INDUCTION,LABORATORY - GENERAL CLASSIFICATION [0300],32
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,STENT PLACEMENT DUR ERCP,GASTRO-INTESTINAL (GI) - GENERAL CLASSIFICATION [0750],2582
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Stereotactic Breast Biopsy,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],1619
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,STERILE ANGIOGRAPHY TRAY,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],71
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,STERNOCLAVICULAR JT MIN 3 VIEW,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],34
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,STERNUM MIN 2 VIEWS,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],90
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Stone Analysis Qual (Beaker),LABORATORY - CHEMISTRY [0301],16
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Stone Anlysis Spect (Beaker),LABORATORY - CHEMISTRY [0301],18
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,STONE EXTRACTION DUR ERCP,GASTRO-INTESTINAL (GI) - GENERAL CLASSIFICATION [0750],1415
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,STRAPPING HAND OR FINGER,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],119
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,STRAPPING KNEE,PHYSICAL THERAPY - GENERAL CLASSIFICATION [0420],119
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,STRAPPING OF ANKLE,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],119
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,STREP CULTURE (BEAKER),LABORATORY - GENERAL CLASSIFICATION [0300],31
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,STREP PNEUMONIA AG,LABORATORY - IMMUNOLOGY [0302],27
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,STRESS TEST W/NUCLEAR AGENT,EKG/ECG (ELECTROCARDIOGRAM) - GENERAL CLASSIFICATION [0730],280
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,STS CONFIRM (Beaker),LABORATORY - IMMUNOLOGY [0302],32
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,STS SCREEN (Beaker),LABORATORY - IMMUNOLOGY [0302],14
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SUBMUCOSAL INJECTN DURING EGD,GASTRO-INTESTINAL (GI) - GENERAL CLASSIFICATION [0750],537
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SUREPRESS HIGH COMPRESSION BAND 4,MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],9
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SURGERY .5 TO 1.0 HOURS,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],1594
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SURGERY 0 TO .5 HOURS,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],1233
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SURGERY 1.0 TO 1.5 HOURS,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],3063
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SURGERY 1.5 TO 2.0 HOURS,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],4414
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SURGERY 2.0 TO 2.5 HOURS,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],5869
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SURGERY 2.5 TO 3.0 HOURS,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],7095
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SURGERY 3.0 TO 3.5 HOURS,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],8443
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SURGERY 3.5 TO 4.0 HOURS,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],9836
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SURGERY 4.0 TO 4.5 HOURS,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],11064
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SURGERY 4.5 TO 5.0 HOURS,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],12262
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SURGERY 5.0 TO 5.5 HOURS,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],13574
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SURGERY 5.5 TO 6.0 HOURS,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],14762
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SURGERY 6.5 TO 7.0 HOURS,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],17301
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SURGERY 7.5 TO 8.0 HOURS,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],19670
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SURGERY 8.0 TO 8.5 HOURS,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],19930
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SURGERY 8.5 TO 9.0 HOURS,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],20694
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SURGERY 9.0 TO 9.5 HOURS,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],23094
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SURGICEL ABSORB HEMOSTAT 2X3,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],47
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,SYNOVIAL FLUID CELL COUNT (BEAKER),LABORATORY - GENERAL CLASSIFICATION [0300],9
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"T CELLS, ABSOLUTE CD4 COUNT (Beaker)",LABORATORY - IMMUNOLOGY [0302],50
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"T CELLS, CD4/CD8 COUNT & RATIO (Beaker)",LABORATORY - IMMUNOLOGY [0302],101
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"T CELLS, TOTAL COUNT",LABORATORY - IMMUNOLOGY [0302],165
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"T3, FREE",LABORATORY - GENERAL CLASSIFICATION [0300],31
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"T3, FREE (Beaker)",LABORATORY - GENERAL CLASSIFICATION [0300],31
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"T3, REVERSAL",LABORATORY - GENERAL CLASSIFICATION [0300],24
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"T4, Free, Direct Dialysis (Beaker)",LABORATORY - CHEMISTRY [0301],25
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,TACROLIMUS (FK506) ASSAY,LABORATORY - CHEMISTRY [0301],38
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,TAP BLOCK W US GUIDANCE UNILAT,OPERATING ROOM SERVICES - MINOR SURGERY [0361],909
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,TAP BLOCK W US GUIDE BILAT,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],1438
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,TC 99M MEBROFENIN PER VIAL,NUCLEAR MEDICINE - DIAGNOSTIC RADIOPHARMACEUTICALS [0343],39
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,TC99M MEDRONATE PER DOSE,NUCLEAR MEDICINE - DIAGNOSTIC RADIOPHARMACEUTICALS [0343],31
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,TC-99M SULFUR COLLOID PER MCI,NUCLEAR MEDICINE - DIAGNOSTIC RADIOPHARMACEUTICALS [0343],255
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"TEE W/IMAGE DOC, INTERPUT &RPT",CARDIOLOGY - ECHOCARDIOLOGY [0483],272
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"TENOTOMY TOE PERCUT, SINGLE TE PBC",SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],1290
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,TEPO2/ABI-UNILAT 1-2 LEVELS,OTHER DIAGNOSTIC SERVICES - PERIPHERAL VASCULAR LAB [0921],89
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,TESTOSTERONE ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],66
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"TESTOSTERONE, TOTAL - SFTB",LABORATORY - GENERAL CLASSIFICATION [0300],66
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"THC,MS,WB/SP RFXáá-RFLX - SERUM",LABORATORY - CHEMISTRY [0301],50
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THEOPHYLLINE ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],26
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THER/DIAG CONCURRENT INF,IV THERAPY - GENERAL CLASSIFICATION [0260],73
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THER/PROPH/DIAG INJ SC/IM,IV THERAPY - GENERAL CLASSIFICATION [0260],60
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THER/PROPH/DIAG INJ SC/IM PBC,IV THERAPY - GENERAL CLASSIFICATION [0260],60
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THERAPEUTIC ACTIVITY EACH 15 MIN,PHYSICAL THERAPY - GENERAL CLASSIFICATION [0420],33
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THERAPEUTIC DRUG DEFIN QT NOS,LABORATORY - CHEMISTRY [0301],19
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THERAPEUTIC EXERCISE EACH 15 MIN,PHYSICAL THERAPY - GENERAL CLASSIFICATION [0420],39
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"THERASKIN-BIOLOGICALLY ACTIVE, PER SQUARE CENTIMETER",PHARMACY - EXTENSION OF 025X - DRUGS REQUIRING DETAILED CODING (A) [0636],127
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THICK SMEAR PREP,LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306],10
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Thiopurine Metabolites,LABORATORY - CHEMISTRY [0301],73
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THORACENTESIS,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],97
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THORACENTESIS TRAY KIT,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],52
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THORACENTESIS W/TUBE INSERTION-IMG,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],335
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"Thoracentesis, needle/catheter,aspiration of pleural space;w/imaging guidance-w/tube insertion",OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],318
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THORACENTHESIS TRAY DISP,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],52
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THORACIC SPINE AP & LAT,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],134
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THORACIC SPINE SINGLE VIEW,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],93
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THORACIC SPINE W/O INFUSION,CT SCAN - GENERAL CLASSIFICATION [0350],451
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THROAT STREP A CULTURE,LABORATORY - GENERAL CLASSIFICATION [0300],31
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THYR. UPTAKE-SINGLE DETERMIN.,NUCLEAR MEDICINE - GENERAL CLASSIFICATION [0340],234
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Thyroglobulin Antibodies (Beaker),LABORATORY - IMMUNOLOGY [0302],39
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THYROGLOBULIN ANTIBODY,LABORATORY - GENERAL CLASSIFICATION [0300],39
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THYROGLOBULIN ANTIBODY (SENDOUT) (BEAKER),LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306],39
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THYROGLOBULIN MASS SPECTROMETRY - TGMS,LABORATORY - GENERAL CLASSIFICATION [0300],117
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THYROID ANTIMICROSOMAL,LABORATORY - GENERAL CLASSIFICATION [0300],34
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THYROID BIOPSY,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],131
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THYROID SCAN,NUCLEAR MEDICINE - GENERAL CLASSIFICATION [0340],234
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THYROID STIMULATING IG,LABORATORY - GENERAL CLASSIFICATION [0300],73
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THYROID STIMULATING IG (Beaker),LABORATORY - GENERAL CLASSIFICATION [0300],73
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THYROID UPTAKE ASSAY,LABORATORY - CHEMISTRY [0301],17
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THYROID UPTAKE ASSAY - 2 (BEAKER),LABORATORY - CHEMISTRY [0301],17
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THYROID UPTAKE ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],17
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,THYROTROPIN RECEPTOR AB - THYRO,LABORATORY - CHEMISTRY [0301],35
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,TIBC,LABORATORY - CHEMISTRY [0301],16
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,TIBIA & FIBULA AP & LAT,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],100
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,TILAPIA IGE (SENDOUT),LABORATORY - IMMUNOLOGY [0302],63
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,TISSUE EXM GROSS&MICRO LEV IV,LABORATORY PATHOLOGICAL - HISTOLOGY [0312],83
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"TISSUE TRANSGLUTAMINASE, IGA (BEAKER)",LABORATORY - CHEMISTRY [0301],21
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,TM JOINTS BILATERAL,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],106
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,TOBRAMYCIN ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],22
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,TOES,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],68
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,TOPIRAMATE (TOPAMAX),LABORATORY - GENERAL CLASSIFICATION [0300],22
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,TOPRIMATE (Beaker),LABORATORY - GENERAL CLASSIFICATION [0300],22
