SERVICE CATEGORY,CHARGE DESCRIPTION,2019 PRICING
"Surgery, Interventional, and Diagnostic Services",EVAL LEADLESS PM W/O PROG IN PERS,$107.50 
"Surgery, Interventional, and Diagnostic Services",EVAL LEADLESS PM W/PROG IN-PERSON,$107.50 
"Surgery, Interventional, and Diagnostic Services",EVASC PRLNG ADMN RX VAS TERRTORY EA ADD,"$1,381.00 "
"Surgery, Interventional, and Diagnostic Services",EVASC PROLNG ADMIN RX VAS TERRTORY INIT,"$3,424.50 "
"Surgery, Interventional, and Diagnostic Services",EVASC RPR A-AO NDGFT,"$7,537.75 "
"Surgery, Interventional, and Diagnostic Services",EVASC RPR A-AO NDGFT RPT,"$3,439.00 "
"Surgery, Interventional, and Diagnostic Services",EVASC RPR A-UNILAC NDGFT,"$4,399.50 "
"Surgery, Interventional, and Diagnostic Services",EVASC RPR A-UNILAC NDGFT RPT,"$10,574.25 "
"Surgery, Interventional, and Diagnostic Services",EVASC RPR ILIO-ILIAC ENDOPROS,"$4,399.50 "
"Surgery, Interventional, and Diagnostic Services",EVASC RPR ILIO-ILIAC NDGFT,"$4,399.50 "
"Surgery, Interventional, and Diagnostic Services",EVASC RPR ILIO-ILIAC RPT,"$4,399.50 "
"Surgery, Interventional, and Diagnostic Services",EXC/DESTRCT PHARYNX LESION ANY METHOD,"$4,945.00 "
"Surgery, Interventional, and Diagnostic Services",EXCHANGE BILIARY DRAIN CATH PERC,"$4,439.00 "
"Surgery, Interventional, and Diagnostic Services",EXCHANGE DRAINAGE CATH W/ GUIDANCE,"$2,838.25 "
"Surgery, Interventional, and Diagnostic Services",EXCHANGE NEPHROSTMY CATH PERCUTANEOUS,"$1,069.50 "
"Surgery, Interventional, and Diagnostic Services",EXCIS MAL LES FACE/EAR/EYE/LIP >4 CM,"$2,210.25 "
"Surgery, Interventional, and Diagnostic Services",EXCIS MAL LES FACE/EAR/EYE/LIP 0-0.5 CM,$965.00 
"Surgery, Interventional, and Diagnostic Services",EXCIS MAL LES FACE/EAR/EYE/LIP 0.6-1 CM,$870.00 
"Surgery, Interventional, and Diagnostic Services",EXCIS MAL LES FACE/EAR/EYE/LIP 1.1-2 CM,$905.00 
"Surgery, Interventional, and Diagnostic Services",EXCIS MAL LES FACE/EAR/EYE/LIP 2.1-3 CM,$996.75 
"Surgery, Interventional, and Diagnostic Services",EXCIS MAL LES FACE/EAR/EYE/LIP 3.1-4 CM,"$1,531.75 "
"Surgery, Interventional, and Diagnostic Services",EXCIS MALIG LES HD/HND/FT/GENIT > 4 CM,"$1,873.00 "
"Surgery, Interventional, and Diagnostic Services",EXCIS MALIG LES HD/HND/FT/GENIT 0-0.5CM,$965.00 
"Surgery, Interventional, and Diagnostic Services",EXCIS MALIG LES HD/HND/FT/GENIT 0.6-1CM,"$1,000.00 "
"Surgery, Interventional, and Diagnostic Services",EXCIS MALIG LES HD/HND/FT/GENIT 1.1-2CM,"$1,030.00 "
"Surgery, Interventional, and Diagnostic Services",EXCIS MALIG LES HD/HND/FT/GENIT 2.1-3CM,"$1,248.00 "
"Surgery, Interventional, and Diagnostic Services",EXCIS MALIG LES HD/HND/FT/GENIT 3.1-4CM,"$1,447.00 "
"Surgery, Interventional, and Diagnostic Services",EXCISE CHALAZION MULTI/DIFF LIDS,"$1,157.75 "
"Surgery, Interventional, and Diagnostic Services",EXCISE CHALAZION MULTIPLE SAME LID,"$2,086.50 "
"Surgery, Interventional, and Diagnostic Services",EXCISE CHALAZION SINGLE,$906.50 
"Surgery, Interventional, and Diagnostic Services",EXCISE LES FACE/EAR/EYE/NOS/LIP >4 CM,"$1,860.50 "
"Surgery, Interventional, and Diagnostic Services",EXCISE LES FACE/EAR/EYE/NOS/LIP 0-0.5CM,$516.00 
"Surgery, Interventional, and Diagnostic Services",EXCISE LES FACE/EAR/EYE/NOS/LIP 0.6-1CM,$777.75 
"Surgery, Interventional, and Diagnostic Services",EXCISE LES FACE/EAR/EYE/NOS/LIP 1.1-2CM,$965.00 
"Surgery, Interventional, and Diagnostic Services",EXCISE LES FACE/EAR/EYE/NOS/LIP 2.1-3CM,"$1,018.75 "
"Surgery, Interventional, and Diagnostic Services",EXCISE LES FACE/EAR/EYE/NOS/LIP 3.1-4CM,"$1,308.75 "
"Surgery, Interventional, and Diagnostic Services",EXCISE LES HEAD/HAND/FOOT/GENIT >4 CM,"$2,189.75 "
"Surgery, Interventional, and Diagnostic Services",EXCISE LES HEAD/HAND/FOOT/GENIT 0-0.5CM,$965.00 
"Surgery, Interventional, and Diagnostic Services",EXCISE LES HEAD/HAND/FOOT/GENIT 0.6-1CM,"$1,013.25 "
"Surgery, Interventional, and Diagnostic Services",EXCISE LES HEAD/HAND/FOOT/GENIT 1.1-2CM,"$1,064.00 "
"Surgery, Interventional, and Diagnostic Services",EXCISE LES HEAD/HAND/FOOT/GENIT 2.1-3CM,"$1,390.75 "
"Surgery, Interventional, and Diagnostic Services",EXCISE LES HEAD/HAND/FOOT/GENIT 3.1-4CM,"$1,503.75 "
"Surgery, Interventional, and Diagnostic Services",EXCISE LESION CONJUNCTIVA UP TO 1CM,"$2,474.25 "
"Surgery, Interventional, and Diagnostic Services",EXCISE LESION CONJUNCTIVA W/ ADJ SCLERA,"$2,957.75 "
"Surgery, Interventional, and Diagnostic Services",EXCISE LESION CORNEA NOT PTERYGIUM,"$4,139.75 "
"Surgery, Interventional, and Diagnostic Services",EXCISE LESION EYELID SIMPLE,"$2,086.25 "
"Surgery, Interventional, and Diagnostic Services",EXCISE LESION TONGUE W/ CLOSURE ANT 2/3,"$3,330.00 "
"Surgery, Interventional, and Diagnostic Services",EXCISE LESION TONGUE W/O CLOSURE,"$2,842.00 "
"Surgery, Interventional, and Diagnostic Services",EXCISE LINGUAL FRENUM,"$1,328.50 "
"Surgery, Interventional, and Diagnostic Services",EXCISE MALIG LES TRUNK/ARM/LEG >4 CM,"$1,514.25 "
"Surgery, Interventional, and Diagnostic Services",EXCISE MALIG LES TRUNK/ARM/LEG 0-0.5 CM,$965.00 
"Surgery, Interventional, and Diagnostic Services",EXCISE MALIG LES TRUNK/ARM/LEG 0.6-1 CM,"$1,018.75 "
"Surgery, Interventional, and Diagnostic Services",EXCISE MALIG LES TRUNK/ARM/LEG 1.1-2 CM,"$1,308.75 "
"Surgery, Interventional, and Diagnostic Services",EXCISE MALIG LES TRUNK/ARM/LEG 2.1-3 CM,"$1,373.40 "
"Surgery, Interventional, and Diagnostic Services",EXCISE MALIG LES TRUNK/ARM/LEG 3.1-4 CM,"$1,442.25 "
"Surgery, Interventional, and Diagnostic Services",EXCISE NAIL&MATRIX PART/COMP W/AMP TUFT,"$2,027.25 "
"Surgery, Interventional, and Diagnostic Services",EXCISE NAIL&MATRIX PART/COMPL PERMNT,$691.00 
"Surgery, Interventional, and Diagnostic Services",EXCISE TUMOR FACE/SCALP SUBFASCIAL <2CM,"$1,405.25 "
"Surgery, Interventional, and Diagnostic Services",EXCISE TUMOR FACE/SCALP SUBFASCIAL>=2CM,"$1,686.25 "
"Surgery, Interventional, and Diagnostic Services",EXCISE TUMOR FACE/SCALP SUBQ <2CM,"$1,265.25 "
"Surgery, Interventional, and Diagnostic Services",EXCISE TUMOR FACE/SCALP SUBQ >=2CM,"$1,686.25 "
"Surgery, Interventional, and Diagnostic Services",EXCISE TUMOR NECK/THORAX SUBFASCIAL<5CM,"$3,205.00 "
"Surgery, Interventional, and Diagnostic Services",EXCISE TUMOR NECK/THORAX SUBQ <3CM,"$2,398.00 "
"Surgery, Interventional, and Diagnostic Services",EXCISE TUMOR NECK/THORAX SUBQ >=3CM,"$3,205.00 "
"Surgery, Interventional, and Diagnostic Services",EXCISE TUMOR NECK/THORX SUBFASCIAL>=5CM,"$3,987.25 "
"Surgery, Interventional, and Diagnostic Services",EXCISE/PLANING NOSE FOR RHINOPHYMA,"$2,029.25 "
"Surgery, Interventional, and Diagnostic Services",EXCISE/REPAIR MOUTH LESION COMPLEX,"$4,325.00 "
"Surgery, Interventional, and Diagnostic Services",EXCISION BREAST LESIONS OPEN,"$3,349.50 "
"Surgery, Interventional, and Diagnostic Services",EXCISION EXTRAPARENCHYMAL LESION TESTIS,"$2,628.00 "
"Surgery, Interventional, and Diagnostic Services",EXCISION INTRANASAL LESION,"$2,853.00 "
"Surgery, Interventional, and Diagnostic Services",EXCISION LES PALATE UVULA W/O CLOSURE,"$2,595.75 "
"Surgery, Interventional, and Diagnostic Services",EXCISION LESION OF MOUTH W/ REPAIR,"$2,982.50 "
"Surgery, Interventional, and Diagnostic Services",EXCISION LESION OF MOUTH W/O REPAIR,"$2,461.00 "
"Surgery, Interventional, and Diagnostic Services",EXCISION LESION TRUNK/ARM/LEG >4 CM,"$1,756.25 "
"Surgery, Interventional, and Diagnostic Services",EXCISION LESION TRUNK/ARM/LEG 0-0.5 CM,$495.00 
"Surgery, Interventional, and Diagnostic Services",EXCISION LESION TRUNK/ARM/LEG 0.6-1 CM,$530.00 
"Surgery, Interventional, and Diagnostic Services",EXCISION LESION TRUNK/ARM/LEG 1.1-2 CM,$589.50 
"Surgery, Interventional, and Diagnostic Services",EXCISION LESION TRUNK/ARM/LEG 2.1-3 CM,$965.00 
"Surgery, Interventional, and Diagnostic Services",EXCISION LESION TRUNK/ARM/LEG 3.1-4 CM,"$1,410.50 "
"Surgery, Interventional, and Diagnostic Services",EXCISION MUCOSA MOUTH DONOR GRAFT,$469.00 
"Surgery, Interventional, and Diagnostic Services",EXCISION OF LESION CONJUNCTIV OVER 1 CM,"$2,704.50 "
"Surgery, Interventional, and Diagnostic Services",EXCISION OF SUBLINGUAL SALIVARY CYST,"$6,700.00 "
"Surgery, Interventional, and Diagnostic Services",EXPLORATORY LAPAROTOMY,"$5,425.25 "
"Surgery, Interventional, and Diagnostic Services",EXPLORE/TREAT EYE SOCKET,"$3,965.00 "
"Surgery, Interventional, and Diagnostic Services",EXTENDED RECOVERY EA 15 MIN,$23.25 
"Surgery, Interventional, and Diagnostic Services",EXTENDED RECOVERY HOURLY CHARGE,$93.50 
"Surgery, Interventional, and Diagnostic Services",FETAL FLUID DRAINAGE INC IMAGING GUIDANCE,$329.00 
"Surgery, Interventional, and Diagnostic Services",FETAL SHUNT PLACEMENT,$577.00 
"Surgery, Interventional, and Diagnostic Services","FINE NEEDLE ASPIRATION BIOPSY, W/O IMAG GDNC; EACH ADDL LESION",261
"Surgery, Interventional, and Diagnostic Services",FINE NEEDLE ASPIRATION ORBIT,"$3,824.00 "
"Surgery, Interventional, and Diagnostic Services",FINE NEEDLE ASPIRATION W/ IMAGING,$618.25 
"Surgery, Interventional, and Diagnostic Services",FINE NEEDLE ASPIRATION W/ IMAGING,$618.25 
"Surgery, Interventional, and Diagnostic Services",FINE NEEDLE ASPIRATION W/O IMAGING,$290.00 
"Surgery, Interventional, and Diagnostic Services",FIT & INSERT PESSARY/INTRAVAGINAL DVC,$200.00 
"Surgery, Interventional, and Diagnostic Services",FLAP ISLAND PEDICLE,"$2,100.00 "
"Surgery, Interventional, and Diagnostic Services",FLECAINIDE CHALLENGE,"$1,520.00 "
"Surgery, Interventional, and Diagnostic Services",FLUORESCEIN ANGIOGRAPHY W/O ICG,$676.25 
"Surgery, Interventional, and Diagnostic Services",FLUORESCEIN ICG ANGIOGRAPHY,"$1,674.00 "
"Surgery, Interventional, and Diagnostic Services",FLUORO <1 HOUR,$687.25 
"Surgery, Interventional, and Diagnostic Services","FNA BIOPSY, INCLD  CT GDNC; 1ST LES",618.25
"Surgery, Interventional, and Diagnostic Services","FNA BIOPSY, INCLD  CT GDNC; EA ADDL LES",556.5
"Surgery, Interventional, and Diagnostic Services","FNA BIOPSY, INCLD  FLURO GDNC; 1ST LES",618.25
"Surgery, Interventional, and Diagnostic Services","FNA BIOPSY, INCLD  FLURO GDNC; EA ADDL LES",556.5
"Surgery, Interventional, and Diagnostic Services","FNA BIOPSY, INCLD  MRI GDNC; 1ST LES",618.25
"Surgery, Interventional, and Diagnostic Services","FNA BIOPSY, INCLD  MRI GDNC; EA ADDL LES",556.5
"Surgery, Interventional, and Diagnostic Services","FNA BIOPSY, INCLD US GDNC; EA ADDL LESION",556.5
"Surgery, Interventional, and Diagnostic Services","FNA BIOPSY, INCLD US GDNC; FIRST LESION",618.25
"Surgery, Interventional, and Diagnostic Services",FOREHEAD FLAP W/ VASCULAR PEDICLE,"$4,745.00 "
"Surgery, Interventional, and Diagnostic Services",FORESKIN MANIP WITH ADHESION/STRETCH,$575.50 
"Surgery, Interventional, and Diagnostic Services",FORM SKIN PEDICLE FLAP,"$1,670.50 "
"Surgery, Interventional, and Diagnostic Services",FULL GRAFT HD/HND/FT/GENIT <= 20 SQ CM,"$1,725.00 "
"Surgery, Interventional, and Diagnostic Services",FULL GRAFT HD/HND/FT/GENIT EA AD 20SQCM,$639.25 
"Surgery, Interventional, and Diagnostic Services",FULL GRAFT NOS/EAR/EYE/LIP EA AD 20SQCM,"$1,253.50 "
"Surgery, Interventional, and Diagnostic Services",FULL GRAFT NOSE/EAR/EYE/LIP <= 20 SQ CM,"$1,974.00 "
"Surgery, Interventional, and Diagnostic Services",FULL GRAFT SCLP/ARM/LEG EA ADL 20 SQ CM,$502.50 
"Surgery, Interventional, and Diagnostic Services",FULL THICK GRAFT SCLP/ARM/LEG <=20 SQCM,"$2,294.50 "
"Surgery, Interventional, and Diagnostic Services",FULL THICK GRAFT TRUNK <=20 SQ CM,"$2,350.25 "
"Surgery, Interventional, and Diagnostic Services",FULL THICK GRAFT TRUNK EA ADL 20 SQ CM,"$2,161.00 "
"Surgery, Interventional, and Diagnostic Services",GIFT/ZIFT/EMBRYO INTRAFALLOP TUBE XFR,$500.00 
"Surgery, Interventional, and Diagnostic Services",GRAFT BYPASS RETRO CRTD/CRTD NECK INCIS,"$1,308.25 "
"Surgery, Interventional, and Diagnostic Services",GRAFT COMPOSITE,"$2,190.00 "
"Surgery, Interventional, and Diagnostic Services",HPC ALLOGENEIC TRANSPLANT,"$5,741.50 "
"Surgery, Interventional, and Diagnostic Services",HPC AUTOLOGOUS TRANSPLANT,"$5,240.00 "
"Surgery, Interventional, and Diagnostic Services",HYSTERECTOMY TOTAL/PARTIAL POST C-SECT,"$3,083.00 "
"Surgery, Interventional, and Diagnostic Services",HYSTEROTOMY ABDOMINAL,"$8,614.00 "
"Surgery, Interventional, and Diagnostic Services",I&D ABSCESS COMPLEX/MULTIPLE,$485.50 
"Surgery, Interventional, and Diagnostic Services",I&D ABSCESS PERITONSILLAR,$621.25 
"Surgery, Interventional, and Diagnostic Services",I&D ABSCESS SIMPLE/SINGLE,$402.25 
"Surgery, Interventional, and Diagnostic Services",I&D ABSCESS/HEMA SOFT TISSUES NECK/THRX,"$4,325.00 "
"Surgery, Interventional, and Diagnostic Services",I&D EPIDIDYMIS TESTIS,"$3,118.00 "
"Surgery, Interventional, and Diagnostic Services",I&D HEMATOMA/SEROMA/FLUID,"$2,089.50 "
"Surgery, Interventional, and Diagnostic Services",I&D ISCHIO/PERIRECTAL ABSCESS,"$4,646.25 "
"Surgery, Interventional, and Diagnostic Services",I&D PERIANAL ABSCESS SUPERFICIAL,"$1,143.50 "
"Surgery, Interventional, and Diagnostic Services",I&D PILONIDAL CYST SIMPLE,$387.75 
"Surgery, Interventional, and Diagnostic Services",I&D VULVA/PERINEAL ABSCESS,$976.75 
"Surgery, Interventional, and Diagnostic Services",ICG ANGIOGRAPHY,$997.50 
"Surgery, Interventional, and Diagnostic Services",ICRA/CERV OCCL CAROTID EMBO/CATH,"$4,944.25 "
"Surgery, Interventional, and Diagnostic Services",IMAGE CATH FLUID  TRNS VGNL/RECTAL,"$2,307.75 "
"Surgery, Interventional, and Diagnostic Services",IMAGE CATH FLUID  TRNS VGNL/RECTAL,"$2,307.75 "
"Surgery, Interventional, and Diagnostic Services",IMAGE CATH FLUID PERI/RETRO PERC,"$3,725.25 "
"Surgery, Interventional, and Diagnostic Services",IMAGE CATH FLUID PERI/RETRO PERC,"$3,725.25 "
"Surgery, Interventional, and Diagnostic Services",IMAGE CATH FLUID VISCERAL PERCUTANEOUS,"$3,725.25 "
"Surgery, Interventional, and Diagnostic Services",IMAGE CATH FLUID VISCERAL PERCUTANEOUS,"$3,725.25 "
"Surgery, Interventional, and Diagnostic Services",IMAGE GUIDE CATH FLUID DRAINAGE PERC,$963.00 
"Surgery, Interventional, and Diagnostic Services",IMG SPEC MICROSCOPY/ENDOTHEL CELL ANALY,$386.25 
"Surgery, Interventional, and Diagnostic Services",IMPLANT PT ACTIVATED EVENT RECORDER,"$6,840.00 "
"Surgery, Interventional, and Diagnostic Services",IMPLANT SINUS DRUG ELUTING,"$9,394.50 "
"Surgery, Interventional, and Diagnostic Services",IMPLANTED STIMULATOR ANALYSIS,$250.00 
"Surgery, Interventional, and Diagnostic Services",INC SKIN INCL SIMP CLSR EA SEPARATE/ADDL LES,215.25
"Surgery, Interventional, and Diagnostic Services",INCIS THROMBOSED HEMORRHOID EXTERNAL,$515.50 
"Surgery, Interventional, and Diagnostic Services",INCISE/DRAIN TEAR SAC,"$3,057.00 "
"Surgery, Interventional, and Diagnostic Services",INCISION LINGUAL FRENUM,"$1,492.75 "
"Surgery, Interventional, and Diagnostic Services",INCISION&DRAINAGE UPPER ARM/ELBOW BURSA,"$4,117.00 "
"Surgery, Interventional, and Diagnostic Services",INDUCED ABORTION BY DILATION & EVACUATION,"$2,777.00 "
"Surgery, Interventional, and Diagnostic Services",INDUCED ABORTION BY VAGINAL SUPPOSITORIES,"$2,777.00 "
"Surgery, Interventional, and Diagnostic Services",INDUCED ABORTION DILATION/ EVACUATION,"$2,732.25 "
"Surgery, Interventional, and Diagnostic Services",INJ AGENT FACET US CER/THORACIC 1 LEVEL,"$1,533.75 "
"Surgery, Interventional, and Diagnostic Services",INJ AGENT FACET US CER/THORACIC 2 LEVEL,$544.75 
"Surgery, Interventional, and Diagnostic Services",INJ AGENT FACET US CER/THORACIC 3+LEVEL,$544.75 
"Surgery, Interventional, and Diagnostic Services",INJ AGENT FACET US LUMBAR/SAC 1 LEVEL,"$1,533.75 "
"Surgery, Interventional, and Diagnostic Services",INJ AGENT FACET US LUMBAR/SAC 2 LEVEL,$544.75 
"Surgery, Interventional, and Diagnostic Services",INJ AGENT FACET US LUMBAR/SAC 3+  LEVEL,$544.75 
"Surgery, Interventional, and Diagnostic Services",INJ AGENT FACET W/GUIDE CER/THOR 1 LVL,"$1,533.75 "
"Surgery, Interventional, and Diagnostic Services",INJ AGENT FACET W/GUIDE CER/THOR 2 LVL,$544.75 
"Surgery, Interventional, and Diagnostic Services",INJ AGENT FACET W/GUIDE CER/THOR 3+LVL,$544.75 
"Surgery, Interventional, and Diagnostic Services",INJ AGENT FACET W/GUIDE LUMBR/SAC 1 LVL,"$1,533.75 "
"Surgery, Interventional, and Diagnostic Services",INJ AGENT FACET W/GUIDE LUMBR/SAC 2 LVL,$544.75 
"Surgery, Interventional, and Diagnostic Services",INJ AGENT FACET W/GUIDE LUMBR/SAC 3+LVL,$544.75 
"Surgery, Interventional, and Diagnostic Services",INJ AIR/ CONTRAST PERITONEAL CAVITY,$487.00 
"Surgery, Interventional, and Diagnostic Services",INJ AIR/ CONTRAST PERITONEAL CAVITY,$487.00 
"Surgery, Interventional, and Diagnostic Services",INJ ANES AGENT OTHER PERIPH NRVE/BRNCH,$841.50 
"Surgery, Interventional, and Diagnostic Services",INJ ANES AGNT CELIAC PLXS W/W/O RAD MON,"$2,252.50 "
"Surgery, Interventional, and Diagnostic Services",INJ ANES EPIDUR LUMB/SAC W/GUIDE 1 LVL,"$1,601.00 "
"Surgery, Interventional, and Diagnostic Services",INJ ANES EPIDUR LUMBAR/SAC EA ADDL LVL,"$1,222.75 "
"Surgery, Interventional, and Diagnostic Services",INJ ANESTHETIC AGENT OCCIPITAL NERVE,$546.00 
"Surgery, Interventional, and Diagnostic Services",INJ ANTEGRD NEPHRO/URETEROGRM EXT ACS,"$1,069.50 "
"Surgery, Interventional, and Diagnostic Services",INJ ANTEGRD NEPHRO/URETEROGRM NEW ACS,"$1,069.50 "
"Surgery, Interventional, and Diagnostic Services",INJ ARTHROGRAM HIP W/ ANES,"$1,067.00 "
"Surgery, Interventional, and Diagnostic Services",INJ ARTHROGRAM HIP W/O ANES,$372.00 
"Surgery, Interventional, and Diagnostic Services",INJ ARTHROGRAM SHOULDER,$393.00 
"Surgery, Interventional, and Diagnostic Services",INJ ARTHROGRAM WRIST,$452.75 
"Surgery, Interventional, and Diagnostic Services",INJ CONTRAST KNEE ARTHROGRAPHY,$419.25 
"Surgery, Interventional, and Diagnostic Services",INJ CONTRST ASSESS ABSC/CYST PREV CATH,$981.25 
"Surgery, Interventional, and Diagnostic Services",INJ CONTRST EVAL PERITONEAL SHUNT,$189.25 
"Surgery, Interventional, and Diagnostic Services",INJ CORPORA CAVERNOSA W/ PHARM AGENT,$311.00 
"Surgery, Interventional, and Diagnostic Services",INJ CORPORA CAVERNOSA W/ PHARM AGENT,$311.00 
"Surgery, Interventional, and Diagnostic Services",INJ CYSTOGRAM/VOIDING URETHROCYSTOGRAM,$494.75 
"Surgery, Interventional, and Diagnostic Services",INJ DISCOGRAM EACH LEVEL LUMBAR,"$1,040.50 "
"Surgery, Interventional, and Diagnostic Services",INJ DUCOTGRAM/GALACTOGRAM,$468.00 
"Surgery, Interventional, and Diagnostic Services",INJ DX/TX SUBSTANCE CERVICAL/THORACIC,"$1,637.25 "
"Surgery, Interventional, and Diagnostic Services",INJ EPIDURAL BLOOD/CLOT PATCH,$784.25 
"Surgery, Interventional, and Diagnostic Services",INJ EXTREMITY VENOGRAPHY,"$1,009.75 "
"Surgery, Interventional, and Diagnostic Services",INJ FORAMEN EPIDURAL CERVICAL/THORACIC,"$2,400.00 "
"Surgery, Interventional, and Diagnostic Services",INJ ILEAL CONDUIT/URETEROPYELOGRAPHY,$900.75 
"Surgery, Interventional, and Diagnostic Services",INJ INTRAVITREAL PHARM AGENT,"$1,068.25 "
"Surgery, Interventional, and Diagnostic Services",INJ MYELOGRAM/CT NOT C1 C2 POST FOSSA,"$1,017.00 "
"Surgery, Interventional, and Diagnostic Services",INJ PERCUT TX EXTREMITY PSEUDOANEURYSM,$600.00 
"Surgery, Interventional, and Diagnostic Services",INJ PEYRONIE DISEASE,$313.75 
"Surgery, Interventional, and Diagnostic Services",INJ PX ELBOW ARTHROGRAPHY,$364.00 
"Surgery, Interventional, and Diagnostic Services",INJ PX FOR CORPORA CAVERNOSOGRAPHY,$472.50 
"Surgery, Interventional, and Diagnostic Services",INJ PX TMJ ARTHROGRAPHY,$453.00 
"Surgery, Interventional, and Diagnostic Services",INJ SCLEROSING SOLTN MULT VEIN SME LEG,$396.50 
"Surgery, Interventional, and Diagnostic Services",INJ SCLEROSING SOLTN SINGLE VEIN,$386.50 
"Surgery, Interventional, and Diagnostic Services",INJ SCLEROSING SOLTN SINGLE VEIN,$386.50 
"Surgery, Interventional, and Diagnostic Services",INJ SI JOINT ANEST STEROID W/ IMG GUIDE,"$2,056.00 "
"Surgery, Interventional, and Diagnostic Services",INJ SI JOINT ANEST STEROID W/ IMG GUIDE,"$1,522.00 "
"Surgery, Interventional, and Diagnostic Services",INJ SI JOINT ARTHROGRAPHY W/ IMG GUIDE,"$1,205.25 "
"Surgery, Interventional, and Diagnostic Services",INJ SIALOGRAPHY,$196.75 
"Surgery, Interventional, and Diagnostic Services",INJ SINUS TRACT DIAGNOSTIC,$767.00 
"Surgery, Interventional, and Diagnostic Services",INJ TENONS CAPSULE MEDS/OTHER,"$1,317.50 "
"Surgery, Interventional, and Diagnostic Services",INJ TRIGGER POINT SGL/MULT 1-2 MUSCLES,$546.00 
"Surgery, Interventional, and Diagnostic Services",INJ TRIGGER POINT SGL/MULT 3+ MUSCLES,$558.75 
"Surgery, Interventional, and Diagnostic Services",INJ URETEROGRAPHY/URETEROPYELOGRAPHY,"$1,230.25 "
"Surgery, Interventional, and Diagnostic Services",INJ/INFUS NEUROLYTIC SUBS EPI/LUMB/SACR,"$1,612.00 "
"Surgery, Interventional, and Diagnostic Services",INJECT EYE ANTERIOR CHAMBER MEDICATION,"$1,797.00 "
"Surgery, Interventional, and Diagnostic Services",INJECT SINGLE TENDON ORIGIN/INSERTION,$450.00 
"Surgery, Interventional, and Diagnostic Services",INJECT SINGLE TENDON ORIGIN/INSERTION,$450.00 
"Surgery, Interventional, and Diagnostic Services",INJECT SINGLE TENDON SHEATH OR LIGAMENT,$450.00 
"Surgery, Interventional, and Diagnostic Services",INJECT SINGLE TENDON SHEATH OR LIGAMENT,$450.00 
"Surgery, Interventional, and Diagnostic Services",INJECTION ENZYME PALMAR FASCIAL CORD,$530.00 
"Surgery, Interventional, and Diagnostic Services",INJECTION OF SINUS TRACK THERAPEUTIC,"$1,120.50 "
"Surgery, Interventional, and Diagnostic Services",INJECTION PROCEDURE LYMPHANGIOGRAPHY,"$1,088.75 "
"Surgery, Interventional, and Diagnostic Services",INJECTION RETROGRADE URETHROCYSTOGRAPHY,$871.50 
"Surgery, Interventional, and Diagnostic Services",INJECTION RETROGRADE URETHROCYSTOGRAPHY,$871.50 
"Surgery, Interventional, and Diagnostic Services",INJECTION SUBCONJUNCTIVAL,$228.25 
"Surgery, Interventional, and Diagnostic Services","INS SCRM,INCL PROGM",6840
"Surgery, Interventional, and Diagnostic Services",INSERT 2 LEADS TV PERM PM/ICD,"$6,840.00 "
"Surgery, Interventional, and Diagnostic Services",INSERT ABDOMEN VENOUS DRAIN,"$2,641.25 "
"Surgery, Interventional, and Diagnostic Services",INSERT BLADDER CATH NON INDWELLING,$309.25 
"Surgery, Interventional, and Diagnostic Services",INSERT BLADDER CATH TEMP COMPLEX,$460.75 
"Surgery, Interventional, and Diagnostic Services",INSERT BLADDER CATH TEMP SIMPLE,$312.25 
"Surgery, Interventional, and Diagnostic Services",INSERT CECOSTOMY OR OTHER COLONIC TUBE,"$1,775.50 "
"Surgery, Interventional, and Diagnostic Services",INSERT DUODENOSTOMY/JEJUNOSTOMY TUBE,"$1,383.75 "
"Surgery, Interventional, and Diagnostic Services",INSERT ICD GEN ONLY W/EXIST DUAL LEADS,"$25,395.00 "
"Surgery, Interventional, and Diagnostic Services",INSERT ICD GEN ONLY W/EXIST MULT LEADS,"$31,429.00 "
"Surgery, Interventional, and Diagnostic Services",INSERT ICD GEN ONLY W/EXIST SGL LEAD,"$25,395.00 "
"Surgery, Interventional, and Diagnostic Services",INSERT LV LEAD FOR CRT INIT IMPLANT,"$15,257.25 "
"Surgery, Interventional, and Diagnostic Services",INSERT NASAL SEPTAL BUTTON,$961.00 
"Surgery, Interventional, and Diagnostic Services",INSERT NEW/REPLC PPM W/ELECTRODE ATRIAL,"$12,353.25 "
"Surgery, Interventional, and Diagnostic Services",INSERT NEW/REPLC PPM W/ELECTRODE VENTRI,"$12,931.75 "
"Surgery, Interventional, and Diagnostic Services",INSERT NON-TUNNELED CICC <5 YR,"$1,371.25 "
"Surgery, Interventional, and Diagnostic Services",INSERT NON-TUNNELED CICC >= 5 YR,"$1,420.00 "
"Surgery, Interventional, and Diagnostic Services",INSERT PACER GEN ONLY W/EXIST SGL LEAD,"$8,210.50 "
"Surgery, Interventional, and Diagnostic Services",INSERT PICC W/ PORT >5 YRS,"$4,750.75 "
"Surgery, Interventional, and Diagnostic Services",INSERT PICC W/O PUMP/PORT <5 YRS,"$2,041.00 "
"Surgery, Interventional, and Diagnostic Services",INSERT PICC W/O PUMP/PORT <5 YRS INCL ALL IMAGING,2412.25
"Surgery, Interventional, and Diagnostic Services",INSERT PICC W/O PUMP/PORT >5 YRS,"$2,125.00 "
