,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,PROCEDURE CODE,PROCEDURE DESCRIPTION, CHILDREN'S HOSPITAL , BUTTERWORTH , BLODGETT , GRAND RAPIDS OFF-CAMPUS , REGIONAL ** , REFERENCE LABS ,,
,80102240,HC HERPES SIMPLEX NES ANTIBODY,, $67.89 ,,, $135.77 ,,,
,80102241,HC HERPES IGG TP1,, $62.87 ,,, $125.75 ,,,
,80102242,HC HERPES IGG TP2,, $127.81 ,,, $255.63 ,,,
,80102243,HC FETAL CHRMOML MICRODELTJ,," $1,604.66 ",,," $1,604.66 ",,,
,80102244,HC CELLULAR FUNCTION ASSAY,, $575.30 ,,," $1,150.60 ",,,
,80102245,HC H IMMUNOD MAYO,,,,,, $10.00 ,,
,80102246,HC H MYCELIAL MAYO,,,,,, $10.00 ,,
,80102247,HC H YEAST MAYO,,,,,, $10.00 ,,
,80102248,HC HIV-1 GENOTYPE QUEST,,,,,, $187.50 ,,
,80102249,HC ASSAY OF FLUID CHLORIDES MAYO,,,,,, $25.86 ,,
,80102252,HC ASSAY OF MAGNESIUM MAYO,,,,,, $35.47 ,,
,80102254,"HC GANGLIOSIDE AB PANEL, SERUM MAYO",,,,,, $19.87 ,,
,80102256,HC ASSAY OF G6PD ENZYME MAYO,,,,,, $30.14 ,,
,80102257,HC ASSAY PHOSPHOHEXOSE ENZYMES MAYO,,,,,, $32.07 ,,
,80102258,HC HIV DIAGNOSTIC,, $56.84 ,,, $113.68 ,,,
,80102259,HC HIV EXPOSURE,, $56.84 ,,, $119.42 ,,,
,80102260,HC HEMOGLOBIN ELECTROPHORESIS MAYO,,,,,, $40.01 ,,
,80102261,HC HIV QUICK TEST,, $49.42 , $49.42 ,, $108.00 ,,,
,80102262,HC HIV SCREENING,, $56.84 ,,, $113.68 ,,,
,80102263,HC IDM ANTI HIV MI BLOOD,, $7.50 ,,,,,,
,80102264,HC HEP B CORE ANTIBODY,, $49.42 ,,, $98.85 ,,,
,80102265,HC HEMOGLOBIN CHROMOTOGRAPHY MAYO,,,,,, $56.12 ,,
,80102266,HC RBC OSMOTIC FRAGILITY MAYO,,,,,, $41.52 ,,
,80102267,HC IDM ANTI HBC MI BLOOD,, $7.50 ,,,,,,
,80102268,HC HEP B CORE AB IGM,, $48.09 ,,, $96.18 ,,,
,80102269,HC PROTEIN MEASUREMENT MAYO,,,,,, $140.00 ,,
,80102270,HC HEP B SURFACE AB,, $43.79 ,,, $87.58 ,,,
,80102271,HC IMMUNOASSAY QUANT NOS NONAB MAYO,,,,,, $71.27 ,,
,80102272,HC IDM HBSAG MI BLOOD,, $7.50 ,,,,,,
,80102273,HC HEP BE ANTIBODY MAYO,,,,,, $15.95 ,,
,80102274,HC HEP A ANTIBODY,, $51.39 ,,, $102.79 ,,,
,80102275,"HC SPOTTED FEVER RICKETTSIA AB, IGG, IGM, SERUM MAYO",,,,,, $22.78 ,,
,80102276,HC ANTI HAV IGM,, $44.72 ,,, $89.45 ,,,
,80102277,"HC SPOTTED FEVER GROUP AB, IGG, IGM, SERUM MAYO",,,,,, $22.79 ,,
,80102278,"HC VASCULAR ENDOTHELIAL GROWTH FACTOR, ELISA MAYO",,,,,, $175.00 ,,
,80102279,HC INFLUENZA A AB IGG MAYO,,,,,, $16.02 ,,
,80102280,HC INFLUENZA A AB IGM MAYO,,,,,, $16.02 ,,
,80102281,HC INFLUENZA AB MAYO,,,,,, $14.35 ,,
,80102282,HC INFLUENZA B AB IGG MAYO,,,,,, $14.34 ,,
,80102284,HC ASPERGILLUS ANTIGEN CSF VIRACOR IBT,,,,,, $125.00 ,,
,80102285,HC MUMPS ANTIBODY IGM MAYO,,,,,, $24.06 ,,
,80102286,HC MUMPS IGG AB,, $61.62 ,,, $123.23 ,,,
,80102287,HC MYCOPLASMA ANTIBODY,, $62.87 ,,, $125.75 ,,,
,80102289,HC PARVO B19 IGG IGM MAYO,,,,,, $11.23 ,,
,80102290,HC ASPERGILLUS ANTIGEN BAL VIRACOR IBT,,,,,, $125.00 ,,
,80102291,HC PURKINJE CELL AB 1 CSF MAYO,,,,,, $61.11 ,,
,80102292,HC E HISTOLYTICA AB MAYO,,,,,, $35.40 ,,
,80102293,HC IDM CHAGAS MI BLOOD,, $7.50 ,,,,,,
,80102294,HC RUBELLA ANTIBODY IGG,, $59.02 ,,, $128.95 ,,,
,80102295,HC PURKINJE CELL AB TR CSF MAYO,,,,,, $61.12 ,,
,80102296,HC ASSAY OF PYRUVATE KINASE MAYO,,,,,, $29.36 ,,
,80102297,HC RUBEOLA IGG,, $67.89 ,,, $135.77 ,,,
,80102299,HC RUBEOLA IGM AB MAYO,,,,,, $21.90 ,,
,80102301,HC TETANUS AB IGG SPECIALTY,,,,,, $18.62 ,,
,80102304,HC TETANUS ANTIBODY SPECIALTY,,,,,, $18.62 ,,
,80102305,HC TOXOPLASMOSIS AB,, $67.89 ,,, $135.77 ,,,
,80102307,HC TOXOPLASMA ANTIBODY,, $67.89 ,,, $135.77 ,,,
,80102308,HC SYPHILIS IGG AB,, $54.96 ,,, $109.91 ,,,
,80102310,HC VARICELLA IGM MAYO,,,,,, $21.16 ,,
,80102311,HC VARICELLA ZOS IGG,, $61.67 ,,, $123.34 ,,,
,80102316,HC WEST NILE CSF IGM MAYO,,,,,, $30.50 ,,
,80102317,HC WEST NILE IGM MAYO,,,,,, $20.89 ,,
,80102320,HC WEST NILE CSF IGG MAYO,,,,,, $26.06 ,,
,80102321,HC WEST NILE IGG MAYO,,,,,, $17.85 ,,
,80102326,HC HTLV 1 2 ANTIBODY MAYO,,,,,, $20.03 ,,
,80102330,HC THYROGLOBULIN AB SCREEN MAYO,,,,,, $13.82 ,,
,80102331,HC HEPATITIS C AB DX,, $57.04 ,,, $114.07 ,,,
,80102332,HC HEPATITIS C AB SCR,, $57.04 ,,, $114.07 ,,,
,80102335,HC IDM ANTI HCV MI BLOOD,, $7.50 ,,,,,,
,80102337,HC HLA B27,, $83.42 ,,, $83.42 ,,,
,80102338,HC T AND B CROSS MSU,,,,,, $300.00 ,,
,80102339,HC HLA CLASS I PHENOTYPE MI BLOOD,,,,,, $350.00 ,,
,80102340,HC HLA CLASS 2 PHENOTYPE MI BLOOD,,,,,, $350.00 ,,
,80102341,HC HLA CLASS I AG MSU,,,,,, $400.00 ,,
,80102342,HC HLA CLASS II AG MSU,,,,,, $350.00 ,,
,80102343,HC ANTIBODY SCREEN,, $38.93 , $38.93 ,, $107.68 ,,,
,80102344,HC IDM ANTIBODY SCREEN MI BLOOD,, $7.50 ,,,,,,
,80102345,HC ELUTION,, $56.57 , $56.57 ,, $113.14 ,,,
,80102346,HC MI BLOOD ELUTION,, $44.00 ,,, $44.00 ,,,
,80102348,HC ANTIBODY IDENTIFICATION,, $84.31 , $84.31 ,, $184.22 ,,,
,80102350,HC MI BLOOD ANTIBODY IDENTIFICATION,, $107.00 ,,, $107.00 ,,,
,80102351,HC ANTIGLOBULIN DIRECT,, $42.82 , $42.82 ,, $64.59 ,,,
,80102354,HC MI BLOOD ANTIGLOBULIN,, $29.00 ,,, $29.00 ,,,
,80102355,HC ANTIBODY TITER,, $63.53 , $63.53 ,, $96.54 ,,,
,80102356,HC MI BLOOD ANTIBODY TITER,,,,,, $168.00 ,,
,80102357,HC ABO,, $25.16 , $25.16 ,, $41.80 ,,,
,80102360,HC IDM ABO MI BLOOD,, $7.50 ,,,,,,
,80102361,HC MI BLOOD ABO,, $16.00 ,,, $16.00 ,,,
,80102362,HC MI BLOOD ABO REPEAT,,,,,, $5.00 ,,
,80102363,HC IDM RH MI BLOOD,, $7.50 ,,,,,,
,80102364,HC MI BLOOD RH REPEAT,,,,,, $5.00 ,,
,80102365,HC MI BLOOD RH TYPING,, $16.00 , $16.00 ,, $16.00 ,,,
,80102366,HC RH TYPING 3,, $13.66 , $13.66 ,, $53.21 ,,,
,80102368,HC MI BLOOD AG DONOR LEVEL 1 EA,,,,, $62.00 ,,,
,80102369,HC MI BLOOD AG DONOR LEVEL 2 EA,,,,, $117.00 ,,,
,80102371,HC ANTIGEN TESTING ANTIGLOBULIN,, $37.77 , $37.77 ,, $42.82 ,,,
,80102372,HC MI BLOOD ANTIGEN TYPE PT,, $37.00 ,,, $37.00 ,,,
,80102373,HC MI BLOOD FULL PHENOTYPE,,,,,, $183.00 ,,
,80102374,HC MI BLOOD RH PHENOTYPE,, $57.00 ,,, $57.00 ,,,
,80102376,HC CROSSMATCH IMMEDIATE SPIN,, $27.64 , $27.64 ,, $108.64 ,,,
,80102377,HC CROSSMATCH INCUBATION,, $27.64 , $27.64 ,, $117.56 ,,,
,80102378,HC CROSSMATCH ANTIGLOBULIN,, $80.83 , $80.83 ,, $106.67 ,,,
,80102379,HC ELECTRONIC CROSSMATCH,, $33.76 , $33.76 ,, $30.64 ,,,
,80102381,HC ISOHEMAGGLUTININS,, $56.57 , $56.57 ,, $39.08 ,,,
,80102382,HC IRRADIATION,, $42.82 ,,,,,,
,80102384,HC VOLUME REDUCTION BLOOD OR PRODUCT,, $35.76 ,,,,,,
,80102385,HC BLOOD PRODUCT POOLING,, $37.77 ,,,,,,
,80102386,HC DIFFERENTIAL RBC ABSORPTION,, $88.10 , $88.10 ,, $69.60 ,,,
,80102387,HC MI BLOOD ALLO DIFF RBC ABSORPTION,, $116.00 ,,, $116.00 ,,,
,80102388,HC MI BLOOD AUTO DIFF RBC ABSORPTION,,,,,, $58.00 ,,
,80102390,HC MI BLOOD WARM,, $42.00 ,,, $42.00 ,,,
,80102391,HC VOLUME BLOOD PROD ALIQUOTING,, $67.51 ,,,,,,
,80102392,HC AFB CONCENTRATION,, $8.23 ,,, $16.46 ,,,
,80102394,HC CULTURE BLOOD,, $37.12 ,,, $77.95 ,,,
,80102401,HC CULTURE AEROBIC,, $31.78 ,,, $63.57 ,,,
,80102402,HC CULTURE CSF,, $31.78 ,,, $66.11 ,,,
,80102405,HC CULTURE TISSUE,, $31.78 ,,, $63.57 ,,,
,80102411,HC STERILITY CHECK,, $31.78 ,,, $98.75 ,,,
,80102412,HC CULTURE QUANTITATIVE,, $23.55 ,,, $47.11 ,,,
,80102414,HC CULTURE ANAEROBIC,, $34.26 ,,, $74.86 ,,,
,80102418,HC ID CULT ANAER EA ISOLATE,, $46.59 ,,, $93.17 ,,,
,80102420,HC ID CULT AEROB EA ISOLATE,, $40.34 ,,, $80.68 ,,,
,80102422,HC CIPRO RES ENTERIC SC,, $23.81 ,,, $47.63 ,,,
,80102424,HC BACTERIA CULTURE SCREEN,, $23.81 ,,, $47.63 ,,,
,80102425,HC CULTURE LEGIONELLA,, $23.81 ,,, $47.63 ,,,
,80102427,HC CULTURE THROAT,, $23.81 ,,, $66.19 ,,,
,80102428,HC STAPH AUREUS SCREEN,, $23.81 ,,, $52.02 ,,,
,80102430,HC VRE SCREEN,, $23.81 ,,, $47.63 ,,,
,80102431,HC CULTURE URINE,, $29.78 ,,, $62.32 ,,,
,80102435,HC MS CULTURE URINE,, $29.87 ,,, $59.73 ,,,
,80102438,HC CULT FUNGUS HAIR SKIN OR NAILS,, $27.58 ,,, $55.16 ,,,
,80102441,HC CULTURE FUNGUS,, $30.41 ,,, $60.82 ,,,
,80102444,HC CULT BLOOD FUNGUS,, $32.36 ,,, $64.71 ,,,
,80102445,HC ID CULT YEAST,, $37.12 ,,, $74.24 ,,,
,80102446,HC ID CULT MOLD,, $51.51 ,,, $103.03 ,,,
,80102447,HC CULT MYCOPLASMA,, $55.17 ,,, $110.35 ,,,
,80102448,HC CHLAMYDIA CULTURE,, $70.35 ,,, $140.69 ,,,
,80102449,HC ACID FAST CULTURE,, $39.01 ,,, $78.01 ,,,
,80102450,HC CULT BLOOD AFB,, $39.01 ,,, $78.01 ,,,
,80102451,HC CULT TYPING IMUN METHOD EA,, $17.22 ,,, $37.97 ,,,
,80102455,HC MACRO EXAM ARTHROPOD,, $14.60 ,,, $29.19 ,,,
,80102475,HC MACRO EXAM PARASITE,, $33.09 ,,, $66.19 ,,,
,80102476,HC PINWORM PREP,, $21.30 ,,, $46.53 ,,,
,80102477,HC TISSUE HOMOGENIZATION FOR CULTURE,, $20.93 ,,, $41.86 ,,,
,80102480,HC OVA AND PARASITES,, $32.36 ,,, $64.71 ,,,
,80102481,HC MIC E TEST EACH,, $9.37 ,,, $18.73 ,,,
,80102484,HC SUSCEPTIBILITY DISK METHOD,, $24.71 ,,, $49.42 ,,,
,80102486,HC SUSCEPTIBILITY STUDY ENZYME,, $12.11 ,,, $26.42 ,,,
,80102487,HC MIC TEST,, $31.25 ,,, $68.30 ,,,
,80102490,HC YEAST ANTIFUNGAL MIC,, $71.90 ,,, $143.81 ,,,
,80102491,HC GRAM STAIN,, $15.21 , $15.21 ,, $31.97 ,,,
,80102492,HC ACID FAST SMEAR,, $19.02 ,,, $38.03 ,,,
,80102493,HC CALCOFLO WHITE STAIN,, $19.02 ,,, $38.03 ,,,
,80102496,HC CYCLOSPORA STAIN MAYO,,,,,, $22.17 ,,
,80102499,HC PARASITEMIA LEVEL,, $64.29 ,,, $64.29 ,,,
,80102501,HC TRICHROME STAIN,, $66.31 ,,, $132.61 ,,,
,80102504,HC KOH TISSUE SLIDE,, $15.36 ,,, $30.71 ,,,
,80102506,HC VIRAL CULTURE,, $93.17 ,,, $186.35 ,,,
,80102507,HC ID VIRUS TISSUE CULTURE EA,, $72.25 ,,, $144.50 ,,,
,80102508,HC VIRAL SHELL W STAIN,, $72.15 ,,, $144.31 ,,,
,80102511,HC O AND P SCREEN CRYPTOSPORIDIUM,, $34.95 ,,, $69.90 ,,,
,80102512,HC HERPES TYPE 2 DFA,, $34.95 ,,, $69.90 ,,,
,80102513,HC HERPES TYPE 1 DFA,, $34.95 ,,, $69.90 ,,,
,80102516,HC LEGIONELLA PNEUMOPHILA DFA,, $34.95 ,,, $69.90 ,,,
,80102519,HC PNEUMOCYSTIS DIR FA EX,, $34.95 ,,, $69.90 ,,,
,80102524,HC ADENOVIRUS ANTIGEN,, $34.95 ,,, $65.32 ,,,
,80102525,HC ASPERGILLUS GALACT VIRACOR,,,,,, $125.00 ,,
,80102526,HC C DIFF TOXIN SCREEN,, $34.95 ,,, $69.90 ,,,
,80102527,HC O AND P SCR CRYPTOSPORIDIUM EIA,, $34.95 ,,, $69.90 ,,,
,80102528,HC O AND P SCR GIARDIA EIA,, $34.95 ,,, $69.90 ,,,
,80102529,HC H PYLORI AG FECAL MAYO,,,,,, $45.79 ,,
,80102532,HC HEP B SURF ANTIGEN,, $51.34 ,,, $102.68 ,,,
,80102533,HC HEP B SURFACE AG NEUTRALIZATION,, $139.54 ,,, $279.08 ,,,
,80102534,HC HEP BE ANTIGEN MAYO,,,,,, $18.06 ,,
,80102535,HC HISTOPLASMA AG S MAYO,,,,,, $119.00 ,,
,80102536,HC HISTOPLASMA AG UR MAYO,,,,,, $75.00 ,,
,80102538,HC RSV ANTIGEN EIA,, $34.95 ,,, $69.90 ,,,
,80102539,HC ROTAVIRUS,, $34.95 ,,, $69.90 ,,,
,80102541,HC BETA D GLUCAN VIRACOR,,,,,, $95.00 ,,
,80102543,HC LEGIONELLA AG UR,, $35.37 ,,, $70.74 ,,,
,80102544,HC CHLAMYDOPHILA PCR,, $95.60 ,,, $95.60 ,,,
,80102545,HC CHLMD TRACH DNA AMP PROBE,, $77.77 ,,, $155.13 ,,,
,80102546,HC CHLAMYDIA PCR RNA,, $77.77 ,,, $77.77 ,,,
,80102547,HC CHLAMYDIA PCR UR,, $77.77 ,,, $155.54 ,,,
,80102548,HC C DIFF AMPLIFIED PROBE TECH,, $95.60 ,,, $95.60 ,,,
,80102549,HC CMV QUANT,, $227.91 ,,, $227.91 ,,,
,80102551,HC ENTEROVIRUS PCR,, $95.60 ,,, $95.60 ,,,
,80102552,HC FLU RT PCR 2 TYPES,, $255.90 ,,, $255.90 ,,,
,80102554,HC FLU RT PCR EA ADDTL,, $62.53 ,,, $62.53 ,,,
,80102555,HC IDM HBV RNA MI BLOOD,, $7.50 ,,,,,,
,80102556,HC HBV QUANT PCR,, $235.96 ,,, $235.96 ,,,
,80102557,HC HEP C AMPLIFICATION,, $100.55 ,,, $100.55 ,,,
,80102558,HC IDM HCV RNA MI BLOOD,, $7.50 ,,,,,,
,80102559,HC HCV QUANT PCR,, $201.09 ,,, $201.09 ,,,
,80102560,HC HSV 1 AND 2 QUAL,, $143.40 ,,, $143.40 ,,,
,80102561,HC HSV 1 OR 2 DNA PROBE,, $95.60 ,,, $95.60 ,,,
,80102562,HC HSV TYPE 1 OR 2 QAUNT PCR VIRACOR,,,,,, $112.50 ,,
,80102563,HC HHV6 QUANT PCR VIRACOR,,,,,, $225.00 ,,
,80102564,HC HIV1 DNA QUAL PCR QUEST,,,,,, $290.00 ,,
,80102565,HC IDM HIV1 RNA MI BLOOD,, $7.50 ,,,,,,
,80102567,HC MYCOPLASMA DNA MAYO,,,,,, $150.00 ,,
,80102568,HC MYCOPLASMA DNA PCR,, $95.60 ,,, $95.60 ,,,
,80102569,HC GC PCR,, $77.77 ,,, $155.13 ,,,
,80102570,HC GC PCR UR,, $77.77 ,,, $155.54 ,,,
,80102571,HC GONOCOCCUS PCR RNA,, $77.77 ,,, $77.77 ,,,
,80102572,HC HPV HIGH RISK SCREEN,, $108.59 ,,, $108.59 ,,,
,80102573,HC HPV HIGH RISK 16 18,, $217.18 ,,, $217.18 ,,,
,80102574,HC RESP VIRUS 12 TO 25 TARGETS,, $709.69 ,,, $709.69 ,,,
,80102576,HC MRSA AMPLIFIED PROBE,, $95.60 ,,, $95.60 ,,,
,80102577,HC GRP B STREP DNA PCR,, $95.60 ,,, $95.60 ,,,
,80102578,HC TRICHOMONAS PCR,, $119.40 ,,, $119.40 ,,,
,80102579,HC B PERTUSSIS DNA PCR,, $95.60 ,,, $95.60 ,,,
,80102580,HC IDM WNV RNA MI BLOOD,, $7.50 ,,,,,,
,80102581,HC MICROSPORIDIA PCR MAYO,,,,,, $342.90 ,,
,80102582,HC PARVOVIRUS MAYO,,,,,, $127.10 ,,
,80102583,HC RSV DNA PCR,, $95.60 ,,, $95.60 ,,,
,80102584,HC TOXO DNA AMNIO MAYO,,,,,, $104.40 ,,
,80102585,HC ADENOVIRUS PCR QUANT,, $75.62 ,,, $75.62 ,,,
,80102586,HC ADENOVIRUS PCR VIRACOR,,,,,, $200.00 ,,
,80102587,HC BK VIRUS VIRACOR,,,,,, $200.00 ,,
,80102588,HC BMT HHV7 VIRACOR,, $225.00 ,,,, $225.00 ,,
,80102589,HC BMT HHV8 VIRACOR,, $225.00 ,,,, $225.00 ,,
,80102590,HC EBV DNA PCR QUANT VIRACOR,,,,,, $200.00 ,,
,80102591,HC EBV PCR,, $184.43 ,,, $184.43 ,,,
,80102592,HC ENTEROVIRUS PCR VIRACOR,,,,,, $225.00 ,,
,80102593,HC JC VIRUS PCR VIRACOR,,,,,, $225.00 ,,
,80102594,HC PARVOVIRUS PCR VIRACOR,,,,,, $225.00 ,,
,80102595,HC PNEUMOCYSTIS PCR VIRACOR,,,,,, $225.00 ,,
,80102596,HC TOXO GONDII PCR VIRACOR,,,,,, $250.00 ,,
,80102597,HC VARICELLA PCR VIRACOR,,,,,, $225.00 ,,
,80102598,HC DNA AMP PROBE MULTI ORGANISM,, $300.41 ,,, $600.82 ,,,
,80102608,HC RAPID STREP SCREEN, $35.37 , $35.37 , $35.37 ,, $70.74 ,,,
,80102611,HC HIV1 P24 AG,, $35.37 , $35.37 ,, $70.74 ,,,
,80102612,HC PNEUMO AG UR MAYO,,,,,, $36.00 ,,
,80102613,HC MALARIA AG,, $34.95 ,,, $69.90 ,,,
,80102614,HC HEP C GENOTYPE,, $568.41 ,,, $568.41 ,,,
,80102619,HC CYTO ISH URINE 3 TO 5 PROBES MAYO,,,,,, $311.82 ,,
,80102689,HC IBD SGI PANCA IGG PROMETHEUS,,,,,, $112.50 ,,
,80102690,HC ELEC MICRO SKIN MAYO,,,,,, $550.00 ,,
,80102691,HC IBD SGI DNASE IGG PROMETHEUS,,,,,, $112.50 ,,
,80102701,HC BILIMETER TRANSCUTANEOUS, $18.41 , $18.41 ,,, $29.91 ,,,
,80102702,HC TRANSCUTANEOUS CARBOXYHEMOGLOBIN,, $19.35 ,,, $19.50 ,,,
,80102703,HC CELL CT MISC BODY FLUID,, $17.13 , $17.13 ,, $37.41 ,,,
,80102705,HC CELL CT W DIFF FLUID,, $19.96 , $19.96 ,, $43.60 ,,,
,80102707,HC CRYSTALS,, $80.85 ,,, $176.63 ,,,
,80102709,HC SWEAT CHLORIDE COLLECTION,, $78.94 ,,,,,,
,80102714,HC FRAGILE X GENE ANALYSIS MAYO,,,,,, $250.00 ,,
,80102877,HC NON ROUTINE BLOOD DRAW, $23.42 , $23.42 , $23.42 , $23.42 , $21.31 ,,,
,80102928,HC ARTERIAL PUNCTURE, $65.74 , $65.74 , $65.74 ,, $273.21 ,,,
,80103001,HC LAB CREATININE SERUM,, $37.61 , $37.61 ,, $37.61 ,,,
,80105265,HC OCCULT BLOOD SCREEN IMMUNOASSAY,, $48.16 ,,, $92.88 ,,,
,80105396,HC CATHETERTIZE FOR URINE SPEC, $6.18 , $6.18 , $6.18 ,, $8.60 ,,,
,80105398,HC LAB FERN TEST,, $33.94 ,,, $74.12 ,,,
,80105529,HC LEGAL BLOOD DRAW,, $25.00 ,,, $25.00 ,,,
,80105530,HC LEGAL ETHANOL LEVEL,, $150.00 ,,, $150.00 ,,,
*,80105540,HC BMT AUTO MISC ACQ, $-   , $-   , $-   , $-   , $-   , $-   ,,
,80105584,HC REF MISC,,,,,, $-   ,,
,80105590,HC RES EXTRACTION PRO,, $20.00 ,,,,,,
,80105591,HC RES EXTRACTION RETRO,, $20.00 ,,,,,,
,80105593,HC RES HEM NGS PANEL,, $427.33 ,,, $427.33 ,,,
,80105596,HC RES KNOWN MUTATION,, $125.00 ,,,,,,
,80105606,HC RESEARCH CA HOT SPOT V2,, $975.00 ,,,,,,
,80105607,HC LAB MAYO LEPTOSPIRA AB IGM,,,,,, $107.80 ,,
,80105609,HC LAB SEMEN PRESENCE,,,,, $80.80 ,,,
,80105611,HC LAB SED RATE NONAUTOMATE,,,,, $43.07 ,,,
,80105613,HC LAB MICROSCOPIC EXAM,,,,, $22.30 ,,,
,80105614,HC LAB PREG TEST SERUM QUAL,, $25.37 ,,,,,,
,80105615,HC LAB SEMEN ANALYSIS,,,,, $134.94 ,,,
,80105616,HC NMR LIPOPROTEIN MAYO,,,,,, $34.64 ,,
,80105617,HC LAB KIT MUTATION ANALYSIS,, $526.26 ,,, $526.26 ,,,
,80105618,HC LAB CEBPA MUTATION ANALYSIS,, $576.64 ,,, $576.64 ,,,
,80105619,HC LAB NPM1 MUTATION ANALYSIS,, $431.85 ,,, $431.85 ,,,
,80105620,HC LAB HANDLING FEE,,,,, $26.99 ,,,
,80105621,HC LAB FETAL SCREEN,,,,, $77.93 ,,,
,80105622,HC LAB ACETONE SERUM,,,,, $23.70 ,,,
,80105623,HC LAB BREATH ALCOHOL,,,,, $44.98 ,,,
,80105624,HC VENIPUNCTURE, $15.00 , $15.00 , $15.00 , $15.00 , $30.00 ,,,
,80105626,HC COLLECT CAP BLD SPEC, $37.93 , $37.93 , $37.93 , $37.93 , $82.85 ,,,
,80105627,HC BLOOD DRAW IMPLANT DEVICE SPLIT BILL,, $125.54 ,,,,,,
,80105628,HC BLOOD DRAW IMPLANT DEVICE, $114.10 , $114.10 , $114.10 ,, $152.01 ,,,
,80105629,HC BLOOD DRAW EXT CVA DEVICE,, $106.67 ,,,,,,
,80105630,HC LAB SHRL CALCIUM UR RANDOM LEVEL,, $21.85 ,,, $47.75 ,,,
,80105631,HC LAB SHRL IONIZED CALCIUM,, $48.48 ,,, $96.96 ,,,
,80105632,HC LAB SHRL CALCIUM URINE 24 HR,, $21.85 ,,, $47.75 ,,,
,80105633,HC BASIC METABOLIC PANEL,, $42.24 , $42.24 ,, $86.92 ,,,
,80105635,HC SHRL FECAL LEUKOCYTE,, $21.30 ,,, $37.98 ,,,
,80105636,HC LAB SHRL CORTISOL LEVEL,, $57.98 ,,, $115.96 ,,,
,80105637,HC LAB SHRL CREATININE OTHER SOURCE,, $18.06 ,,, $39.48 ,,,
,80105638,HC LAB SHRL VITAMIN B12 LEVEL,, $54.23 ,,, $118.48 ,,,
,80105639,HC LAB SHRL ESTRADIOL LEVEL,, $99.87 ,,, $218.16 ,,,
,80105640,HC LAB SHRL FOLATE LEVEL,, $52.31 ,,, $114.27 ,,,
,80105641,HC LAB SHRL FSH SERUM,,,,, $133.11 ,,,
,80105642,HC LAB SHRL LUTENIZING HORMONE,, $66.56 ,,, $145.37 ,,,
,80105643,HC LAB SHRL LDH,, $21.87 ,,, $47.78 ,,,
,80105644,HC LAB SHRL ASSAY OF MAGNESIUM,, $23.81 ,,, $52.02 ,,,
,80105645,HC LAB SHRL PHOSPHOROUS URINE,, $18.06 ,,, $39.48 ,,,
,80105646,HC LAB SHRL POTASSIUM URINE,, $15.21 ,,, $33.25 ,,,
,80105647,HC AMIODARONE LEVEL MAYO,,,,,, $21.90 ,,
,80105648,HC FELBAMATE LEVEL MAYO,,,,,, $42.68 ,,
,80105649,HC ITRACONAZOLE LEVEL MAYO,,,,,, $43.58 ,,
,80105650,HC SULFAMETHOXAZOLE MAYO,,,,,, $50.89 ,,
,80105651,HC LAB SHRL ASSAY OF PROTEIN OTHER,, $15.25 ,,, $33.31 ,,,
,80105652,HC CARBAMAZEPINE TOTAL MAYO,,,,,, $31.61 ,,
,80105653,HC LAB PH PC02 P02 DIRECT,,,,, $222.31 ,,,
,80105655,HC WET MOUNT INFECTIOUS AGENTS, $43.27 , $43.27 ,,, $71.28 ,,,
,80105656,HC INFLUENZA A OR B EA,,,,, $65.32 ,,,
,80105657,HC ASO SCREEN,,,,, $17.79 ,,,
,80105658,HC LAB ASO TITER,,,,, $27.98 ,,,
,80105659,HC URINALYSIS DIP WITH MICROSCOPY,, $12.14 ,,, $12.14 ,,,
,80105660,HC LAB LACTIC ACID CSF,, $38.06 ,,, $76.13 ,,,
,80105662,HC KIR GENOTYPING,, $279.59 ,,, $279.59 ,,,
,80105663,HC IDH1 OR IDH2 GENE ANALYSIS,, $453.19 ,,, $453.19 ,,,
,80105664,HC MPL GENE ANALYSIS,, $524.32 ,,, $524.32 ,,,
,80105665,HC IBD SGI MOPATH PX PROMETHEUS,,,,,, $13.50 ,,
,80105666,HC ERBB2 LUNG PANEL,, $157.89 ,,, $157.89 ,,,
,80105667,HC ALDOSTERONE MAYO,,,,,, $18.00 ,,
,80105669,HC SODIUM, $17.13 , $17.13 , $17.13 ,, $37.41 ,,,
,80105670,HC LAB GLYCAT HGB BY DEVICE,,,,, $58.84 ,,,
,80105672,HC LAB PATERNITY DNA,,,,, $20.00 ,,,
,80105674,HC RC TOBRAMYCIN LEVEL,, $57.98 ,,, $126.70 ,,,
,80105675,HC BR PHENOBARBITAL LEVEL,,,,, $81.74 ,,,
,80105676,HC RC VANCOMYCIN LEVEL,, $48.48 ,,, $105.92 ,,,
,80105677,HC LAB DRUG SCREEN CLASS A,,,,, $350.59 ,,,
,80105678,HC OCCULT BLOOD SCREEN, $19.81 , $19.81 ,,, $43.29 ,,,
,80105679,HC LAB SHRL SODIUM URINE,, $17.13 ,,, $37.41 ,,,
,80105680,HC LAB SHRL TESTOSTERONE,, $92.23 ,,, $201.51 ,,,
,80105681,HC LAB SHRL TRANSFERRIN,, $45.63 ,,, $91.27 ,,,
,80105682,HC LAB SHRL UREA NITRO 24 HR UR,, $17.13 ,,, $37.41 ,,,
,80105683,HC LAB SHRL UREA NITRO RANDOM UR,,,,, $61.34 ,,,
