DESCRIPTION                     ,CHARGE,CPT CODE
LIGHT CABLE,1439,
SINUS ILLUMINATION SYSTEM,1438,
PROLENE MESH 12X12,1437,
FLOVENT INHALER 110 MCG,1437,
NEEDLE KNIFE,1436,
LABOR SERVICES,1434,
COOK STONE EXTRACTOR,1430,
COOK STONE BASKET,1430,
ASH SPLIT CATHETER,1427,
ENDO RETRACT,1425,
KYPHO CURETTE,1425,
INTESTINAL STAPLER RELOAD,1418,
FLEXIBLE SIGMOIDOSCOPY,1418,
BAKER INTESTINAL TUBE,1417,
ACUTRAK BONE SCREW &GUIDE WIRE,1412,
PYLORIC BALLON DILATOR,1412,
46-192 KATZEN INF WIRE,1406,
DARBEPOETIN ALFA 25MCG VL(1MCG,1395.93,
TRASTUZUMAB 21MG INJ PER 10 MG,1395.29,
US PUNC ASPIRATION 1ST CYST,1393,
AUGM. BETAMETH 0.05 PERC. LOT,1385.72,
MESH PARIETEX - PROGRIP,1383,
VASCULAR OCCLUDER,1376,
EDM LUMBAR DRAINAGE KIT,1373,
SINUS GUIDE CATHETER,1372,
MINISITE SCISSOR W/CAUTERY,1369,
MINIPORT,1369,
ENDO-AVITENE,1365,
URETERAL BALLOON CATHETER,1364,
SUTURE ANCHOR SWIVEL LOCK,1358,
ACETYLCYSTEINE 6 G VIAL,1357.26,
PERCUTANEOUS NEPHROSTOMY SET,1349,
ECHO LIMITED WITH CONTRAST,1349,
Methylene Blue 0.5% 50MG/10ML,1346.3,
PERM CATH SUBCLAVIAN CATHETER,1344,
VALVULOTOME,1342,
SYMBICORT 160 4.5 INHALER,1339.9,
FLUOCINOLONE 0.1 PERC SHAMPOO,1332.63,
MAHURKAR CATHETER,1329,
CHOLEDOCHOSCOPE RIGID,1328,
LEVOTHYROXINE 200 MCG INJ,1326.43,
ASNIS SCREW,1322,
COLONIC BALLOON DILATOR,1320,
LDS STAPLER,1318,
ENDO PADDLE,1315,
P.E.G. TRAY,1313,
BONE PLATE-LARGE,1313,
DUOVISC OPHTHALMIC SYSTEM,1309.32,
LASER FLEX TUBE,1308,
PERCUFLEX TAIL STENT,1305,
Fidaxomicin 200mg Tablet,1300.33,
URETERAL DIVERSION STENT SET,1299,
CATH CARDIAC OUTPUT COMPUTER,1299,
STONE EXTRACTOR,1297,
RF 75 MM PROBE,1292,
ANASTOMATIC BALLOON DILATOR,1283,
BALLOON DILATORS,1280,
TITANIUM BONE PLATE 4-HOLE,1277,
HEADED CORKSCREW,1274,
GREENFIELD JUG SHEATH,1273,
MUPIROCIN 2 PERCENT 30G,1267.82,
CIPROFLOX DEXAMETH OTIC SUSP,1261.26,
HOLMIUM LASER FIBER,1259,
EPTIFIBATIDE 20MG/10ML VL(5MG),1257.69,
GRAFT-MILLINET STRAIGHT TUBE,1251,
URETERAL DOUBLE PIGTAIL STENT,1251,
CATHETER HICKMAN (DUAL LUMEN),1250,
PERFLUTREN INJ 2ML VL (1ML),1248.2,
HELICAL STONE EXTRACTOR 5-WIRE,1248,
MSS NON CATARACT PROCEDURE,1248,
THORACENTESIS PUNCTURE PLEURAL,1245,
INDIGO CARMINE 5ML AMP,1243.87,
SUTURE ANCHOR FOR PUSHLOCK,1241,
HICKMAN REPAIR KIT,1239,
ENDO STAT II,1239,
HEMODIALYSIS TREATMENT,1236,
PERITONEAL DIALYSIS,1236,
PLATE EXTENSION - 10 HOLE,1235,
TITANIUM BONE PLATE 2-HOLE,1229,
ACUMED ACUTRAK BONE SCREW,1227,
LAG SCREW,1226,
BUDESONIDE 180 MCG INHALER,1223.75,
OSTEOMED DRILL 2.0 OR 2.4MM,1221,
Beclomethasone40 mcg120PuffINH,1217.54,
APPLY SKIN SUBSTITUTE C5271,1217,
VCT NEPHROSTOMY KIT 8-K 8 FR,1215,
SURG COMPONENT US BIOPSY,1213,
2.0 CABLE & SLEEVE,1211,
LEATHER IN-SITU VALVE CUTTER,1210,
PUSHLOCK,1206,
BONE SCREW,1193,
VALTRAC PURSTRING DEVICE,1185,
STAT TACK,1185,
Sodium Hyaluronate 10mg/ml,1181.87,
INSERT CHEST TUBE,1179,
ENDO STITCH INSTRUMENT,1174,
US SURG COMP PARACENTESIS,1173,
SYMBICORT 80 4.5 INHALER,1168.32,
US BIOPSY BREAST CORE W/IMAGES,1166,
US-CORE BIOPSY,1166,
Docetaxel 160mg/16ml MDV (10MG,1165.81,
BIO SHEAR,1160,
NAIL & PLATE-JEWETT 4 HOLE,1158,
NAIL & PLATE-JEWETT 6 HOLE,1158,
NAIL & PLATE-JEWETT 8 HOLE,1158,
LIGASURE EXTENDED ELECTRODE,1157,
"SEPRAFILM 5 X 6"" SHEET""",1155,
INDWELLING CATHETER,1154,
ENDO GIA 30-3.5 INST.,1147,
TESTICULAR PROSTHESIS,1147,
GRASPING FORCEPS,1147,
POLYP RETRIEVAL BASKET BALLOON,1147,
PURSTRING STAPLER,1140,
DHS LAG SCREW-SYNTHES,1139,
INTRADOP,1137,
LAP INSTRUMENT KIT,1136,
TIGECYCLINE 50MG INJ (1MG),1135.75,
BRONCHO-CATH,1129,
TRETINOIN 0.1 PERCENT CREAM,1127.88,
DUALMESH 8x12,1126,
BONE MATRIX 1 CC,1125,
VITRECTOR KIT,1116,
VASCULAR GRAFT (GORETEX) 6x10,1115,
CUTTING LOOP 24 FR.,1115,
CUTTING LOOP 27 FR,1115,
ALTEPLASE 2 MG INJ VIAL (1MG),1111.55,
ENDO SHEARS,1099,
ADVAIR DISKUS 100.50 INHALER,1094.13,
ADVAIR DISKUS 250.50 INHALER,1094.13,
LASER FIBERS-SAPPHIRE TIP,1091,
AEC CARTRIDGE VASCULAR 2.5,1089,
LIGASURE MAX ELECTRODE,1089,
VORICONAZOLE 200MG VL (10MG),1084.36,
ZYVOX 600MG TABLET,1078.24,
GEMCITABINE INJ 200MG VL(200MG,1077.32,
ENDOCLIPS,1075,
CELL SAVER COLLECTION PACK,1074,
SUTURE ANCHOR FOR CORKSCREW,1073,
TRIFLURIDINE 1P OPTH 7.5ML,1071.86,
SWAN GANZ PACING CATHETER,1070,
BECLOMETHASONE 40 MCG PUFF MDI,1066.94,
LONESTAR RETRACTOR,1061,
TIMOLOL 0.25P XE OPTH DROPS,1059.85,
CARPAL TUNNEL BLADE DISP,1059,
BETAXOLOL 0.25P OPTH SOL,1058.73,
BRIMONIDINE 0.1 PERC 5ML OPTH,1054.4,
FLEXI-SEAL SYSTEM,1054,
MSS NON CATARACT ADDL PROCED,1052,
ALPHA INFUSION SYSTEM,1050,
PERMACATH REPAIR KIT,1048,
CORKSCREW,1048,
PROLENE HERNIA SYSTEM,1045,
MOMETASONE INHALER 220 MCG,1042.74,
BIPOLAR UROLOGY LOOP-ELECTRODE,1041,
TIGHTROPE XP STERILE KIT,1040,
FLOVENT INHALER 44 MCG,1039.69,
DIALYSIS CATHETER,1035,
ENDO PEG SET,1035,
BALLOON-TIP PACING CATH & KIT,1022,
ROLLER BLADE ABLATION TRAY,1020,
DRILL REAMER TARGET DEVICE,1017,
LAG SCREW,1011,
DBX PUTTY 1 CC,1011,
PACEMAKER-TEMPORARY,1011,
MORELLE SOS ABDOPLAST,1010,
ELECTROCAUTERY PROBES,1002,
BUDESONIDE 90 MCG INHALER,992.28,
HYDRODEBRIDER,991,
TENCHKOFF CATH,990,
TIMOLOL 0.5P GFS OPTH DROPS,988.77,
DOCEtaxel 20MG/2ML SDV(PER 1MG,987.72,
ORIGIN 12MM BLUNT-TIP TROCAR,987,
COLD KNIFE STRAIGHT,987,
OWENS SURGICAL DRESSING,983,
FILSHIE CLIP PER PAIR,983,
METRONIDAZOLE VAGINAL GEL,982.55,
US THYROID BIOPSY SURG COMP,982,
CATHETER HICKMAN (SINGLE),976,
TISSUE TAK,973,
US THYROID CYST SURG COMP,973,
PLATE EXTENSION - 8 HOLE,972,
BILIARY DRAIN,968,
STONETOME,968,
DARBEPOETIN 25MCG ESRD I,966.77,
P.E.G. SET,966,
THORA KLEX CHEST DRAINAGE UNIT,966,
LAP INSTRUMENTS,965,
PRESBYOPIA CORRECTING IOL,954,
GRASPIT-BASKET EXTRACTOR,951,
DG LUMBAR PUNCTURE SURG COMP,951,
BONE MARROW BIOPSY SURG COMP,951,
DG BILIARY DRAIN,949,
STONE EXTRACTOR-DISP.,948,
COAPTITE IMPLANT MATERIAL,947,
NV I-PAS III DIAMOND TIP,940,
ERTAPENEM 1 G VL (PER 500MG),939.97,
DIAGNOSTIC LAPAROSCOPE KIT,939,
ULTRATOME,939,
ROUND FLUTED BUR TPS SYSTEM,938,
EYE LASER-ARGON/YAG/SLT,938,
PERGONAL 75 IU AMP,937.8,
INJ/ASP THYROID CYST SURG,937,
STERILE DRILL BIT,936,
NV I-PAS III BEVELED TIP,932,
I-PAS III DIAMOND SPRINGLESS,932,
I-PAS III BEVEL SPRINGLESS,932,
M5 STIMULATION CLIP,932,
OFLOXACIN 0.3P OTIC 5ML,931.22,
1099-0010 CEMENT PLUG INSERTER,929,
TOPAZ WAND,929,
BLOOD PATCH,929,
SPINAL PUNCTURE,929,
SPINAL PUNCTURE,929,
MOXIFLOXACIN 0.5P OPTH,925.48,
CODE BLUE-CRASH CART SUPPLIES,924,
NEEDLE DRIVER DISPOSABLE,920,
BLEPHAMIDE 0.2 PERC OPTH SOLN,917.8,
NASAL DEBRIDER: DISP.HANDPIECE,916,
CHOLANGIOCATHETER,912,
PROLENE MESH 6X6,912,
VITRECTOR 123 SYSTEM,911,
ACP KIT 1,911,
MARLEX MESH 6x6,910,
ASP 1ST BREAST CYST,910,
BILIARY STENT,910,
OPHTHALMOLOGY MSS SUPPLIES,908,
ATROVENT NASAL SPRAY 0.03 PERC,905.38,
ARTHROSCOPY BLADE/BURRS,905,
MENISCAL CINCH,901,
BLOOD PATCH,901,
INTERSTIT.FL.PRESS.MONITOR SET,897,
5MM SPRINGLOCK II ML,896,
TRIPLE LUMEN CATHETER SET,896,
COLD THERAPY UNIT,893,
CHEMODENERVATION NECK MUSCLES,888,
CHEMODENERVE TRUNK EXT MUSCLES,888,
TRANSFORAN ESI EA ADD SINGLE,882,
Azelastine 137mcg/puff NS,880.18,
HEMISPHERE RET BASKET 3F,880,
PAMIDRONATE DISODIUM 90MG(30MG,879.08,
PERIPHERAL NERVE BLOCK,879,
GEMINI HELIC BASKET 14MM,878,
Fondaparinux 10mg/0.8ml Inj,872.63,
STONE CONE,872,
BABCOCK 5MM ARTICULATING,872,
DUALMESH 7.5x10,869,
URETHROTOMY BLADES,869,
PERIVAC,859,
VALTRAC-BAR,858,
OSTEOMED SCREW 2.0 OR 2.4 MM,858,
HICKMAN REPAIR KIT-SINGL LUMEN,858,
SUTURE PASSER,852,
ASPIRATING ABLATOR,852,
GRASPING FORCEPS (DISP),852,
OXALIPLATIN 100MG INJ (0.5MG),850.48,
CEMENT & MIXER,847,
FLEXIBLE ENDO. CYSTO ELECTRODE,845,
GUIDE WIRE,845,
OPER ROOM-1ST QTR HR-OP MINOR,839,
INTERCOSTAL BLOCK SINGLE,837,
TRIGGER PT INJ 3+ MUSCLES,832,
URINARY DIVERSION SET,831,
GASTRIC LAVAGE SYSTEM,831,
Cadexomer Iodine 40G,830.31,
14-309 ULT THIN BAL CATH 4MM,830,
BONE PLATE-SMALL,824,
MORETZ VENA CAVA CLIP,823,
TRACHEOSTOMY TUBE,817,
BONE CEMENT W ANTIBIOTIC,816,
KYPHO XPEDE CEMENT,816,
APPLICATION SKIN SUBSTITUTE,816,
BALLOON STONE EXTRACTOR,815,
L&D ROOM & BOARD PVT,814,
ENDO GIA RELOAD 45-3.5R,812,
MYCRO MESH PATCH 1MM 5X10,811,
ESOPHAGEAL DILATOR,810,
UNIVERSAL CEMENT PLUGS,808,
SMOKE EVAC CIRCUIT,807,
ENDO GIA RELOAD 45-2.5R,805,
DH LEVEL I PROCEDURE,803,
INTERSTIT.FL.PRESS.CATHTER SET,800,
NICOTROL NASAL SPRAY,796.09,
SOS BAKRI TAMPONADE BALLOON,796,
NEPHROSTOMY CATHETER FLEXIMA,795,
TOBRAMYCIN 5ML,794.16,
FONDAPARINUX 7.5 MG/0.6 ML INJ,788.89,
LOOP ELECTRODE,788,
BIOPSY NEEDLE MAGNUM,784,
TRICEP GRASPING FORCEP,782,
ENDO CATCH SPEC POUCH,781,
PROBE CIRCUMFERENTIAL,781,
5.5 CALIBRATED DRILL,779,
Levothyroxine 100MCG Injection,777.7,
ENDO GIA UNIV HANDLE,775,
DH105 DISSECTING HOOK,775,
CELERO 12 BIOPSY NEEDLE,774,
CASH BRACE,772,
STENT-DOUBLE J,768,
TESTICULAR PROSTHESES,768,
REMOVE NAIL BED,767,
ACCU-STICK INTRODUCER SYSTEM,761,
TRACHEOSTOMY TRAY,758,
MESH PERFIX PLUG MED/LG,753,
GRAFT TAC,750,
FRENCH DILATOR,748,
NEPHROSTOMY SET,748,
IDRIVE ULTRA STAPLER,747,
2F BONE MARROW ASPIRATION,746,
3F BONE MARROW ASPIRATION,746,
4F BONE MARROW ASPIRATION,746,
MARLEX MESH (PRE-SHAPED),746,
DELIVERY-1ST QTR HR,746,
PROBE W FILTER,746,
COSOPT OPTH 2%/0.5% 10ML SOLN,745.58,
VARICELLA VACCINE LIVE,742.31,
METHYLNALTREXONE 12 MG  VIAL,738.44,
ASPEN COLLAR SET,737,
INAHARA-PRUITT SHUNT,731,
GAMUNEX 1G (PER 500MG),728.95,
TRETINOIN GEL 0.01p 15GM,728.35,
DISP. ELECTROCAUTERY PROBE,726,
RASP,726,
PERM CATH INSERTION TRAY,723,
CALCITONIN NASAL SPR  FORTICAL,721.78,
VTC NEPHROSTOMY SYSTEM,720,
Gatifloxacin 0.5% Ophth Soln,719.56,
DIRECTED UNIT RBC,717,
RBC-PRE STORAGE LEUKOREDUCED,716,
VINORELBINE TARTRATE 50MG (10M,715.52,
TEMNO COAXIAL BIOPSY SYS 22/15,714,
NAIL-KUNTSCHER,713,
RECOVERY ROOM 1ST 2 HRS.,707,
BLUE MAX INFLATION DEVICE,706,
LMGR 7.0 65 HK 2.0 GLID CATH,705,
ACE KYLE HIP PIN,701,
MAC-LOC DRAINAGE CATHETER SET,701,
PDB BALLOON DISSECTOR,699,
RBC LEUKOCYTE REDUCED IRRAD,699,
CORTISPORIN OPTHALMIC SUSP,698.99,
HYALURONIDASE 200U IN 1ML INJ,694.72,
MICAFUNGIN 50 MG VIAL,692.73,
P.E.J. KIT,692,
LITHOCLAST PROBE 0.89MM,691,
BLUE MAX GUIDE WIRE,690,
TA'S 30 55 90,690,
STENT,687,
VITAL VUE,683,
DISP. MICRO SISSOR-WILTEX,680,
REDDICK CHOLANGIOGRAM CATH,680,
PLATE EXTENSION - 6 HOLE,680,
NEPHROSTOMY CATHETER VTC,679,
ROOM & BOARD,678,
GUIDANCE WIRE,678,
ROOM & BOARD,678,
2FL ROOM AND BOARD,677,
3FL ROOM AND BOARD,677,
4FL ROOM AND BOARD,677,
VASCUVIEW DIAGNOSTIC KIT,676,
PREDNISOLONE 1P 10ML,674.9,
APPLY SKIN SUBST 1ST 25 SQCM,674,
APPLY SKIN SUBST ADDL 25 SQCM,674,
2F PARACENTESIS,665,
3F PARACENTESIS,665,
4F PARACENTESIS,665,
PERITONEAL PUNCTURE,664,
PF NIGHT SPLINT,664,
URETERAL STENT 7FR,660,
HEP. B IMMUNE GLOBULIN 0.5 ML,657.22,
ZYVOX 600MG/300ML PM (200MG),657.08,
PMI PROLENE MESH 3X5,655,
REPLACEMENT GASTROSTOMY TUBE,655,
KETOROLAC 0.5P OPTH 5ML,653.4,
SENTINEL NODE ID; NO IMAGES,650,
HELICAL STONE EXTRACTOR 4-WIRE,649,
FLAT WIRE EXTRACTOR,649,
URETERAL STENT 5FR,647,
URETERAL STENT 6 FR,647,
ENDO GIA RELOAD 60-3.5S,646,
GI DILATOR,645,
PRALIDOXIME CHLORIDE 1 GM INJ,644.91,
CHOLEDOCHOSCOPY,643,
EPF BLADES,643,
PERCUFLEX PLUS 4.8X26,642,
PERCUFLEX PLUS 6X26,642,
PERCUFLEX PLUS 6X28,642,
PERCUFLEX PLUS 7X26,642,
GIA (60-80) INSTRUMENT,641,
TEMNO COAXIAL BIOPSY SYS 20/15,636,
CLINDAMYCIN 1% GEL 30G,634.53,
CLOWARD SADDLE &EXTEN,634,
ENDO GIA RELOAD 45-2.5S,633,
ENDO GIA RELOAD 45-3.5S,633,
Thrombin(Recombinant)5000units,631.89,
ARTHRO-FLO TUBING W/CANNULA,630,
SYNTHES PLATE,627,
GASTROSTOMY TUBE-MIC,622,
TPT 300 TURNER PNEUMOTHORAX,622,
CENTRAL CATHETER KIT,618,
CORTISPORIN OTIC SUSP 10ML,617.12,
ENOXAPARIN100mg/ML-3MLMDV(10MG,616.73,
TRIUMEQ 600 50 30 TABLET,615.01,
DG INJ FOR SHOULDER,615,
DJ INJECTION MISCELLANEOUS,615,
LOOP RETRIEVER STONE FORCEP,613,
RADENOID BLADE-DISP,613,
2F LUMBAR PUNCTURE,609,
3F LUMBAR PUNCTURE,609,
4F LUMBAR PUNCTURE,609,
DG ARTHROCENTESIS MAJOR JOINT,609,
CT SURG COMP ARTHROCENTESIS,608,
BIOPSY FORCEPS,608,
VCT NEPHROSTOMY KIT 8FR 30 CM,607,
Imatinib 100mg Tablet,604.99,
ATRIPLA 200MG/300MG/600MG TAB,603.17,
OTHRO-SORB PIN,603,
LOMUSTINE 100MG CAPSULE,601.76,
STERILE TALC POWDER 4 GRAM,598.49,
AUTOLOGOUS RBC,597,
IPRATROPIUM BROMIDE 0.06 PERC.,593.63,
VALGANCICLOVIR 450 MG TAB,592.33,
BUTORPHANOL NS 10MG PER ML,591.58,
CODE BLUE ICU,591,
PERMANENT LEAD INTRODUCER,591,
DG INJ FOR JOINT,591,
DG INJ FOR KNEE,591,
DG INJ FOR HIP,591,
URETHROCYSTOGRAPHY RETROGRADE,588,
GEMINI HELIC BASKET 8.5M,587,
LOOP RETRIEVER,586,
RF CERVICAL EA ADDL LEVEL,586,
GRAFT TAC RELOADING UNIT,585,
MESNA 1000MG VIAL (PER 200MG),584.02,
PIN-KNOWLES,584,
NAIL-CLOVERLEAF,584,
NAIL-CLOVERLEAF,584,
NAIL-CLOVERLEAF,584,
CLOSED MANIPULATION,584,
MYCRO MESH  5cm x 10 cm,582,
PILOCARPINE 1P OPTH SOL 15ML,581.61,
TIOTROPIUM INH SYSTEM,580.97,
RISEDRONATE SODIUM 35MG TABLET,577.3,
CENTRAL CATHETER KIT,577,
STRUCTURAL BALLOON TROCAR,573,
PUSHLOCK KIT,572,
VAS DILATOR SET,571,
CHEMODENERVE FACIAL MUSCLE,571,
DRAINABLE POUCH,569,
DENVER SPLINT (SMALL),567,
JOINT INJECTION EA ADDL,565,
TRIGGER PT INJ 1-2 MUSCLES,565,
46-183 NEWISSEN INF CATH,564,
WING TRACTION SCREW,562,
PLATE EXTENSION - 4 HOLE,561,
TEMNO BIOPSY NEEDLE 22g/15cm,558,
RECOVERY ROOM UP TO 1 HOUR,556,
DISTAL LOCKING SCREW,553,
90 DEGREE ELECTRODE,549,
BULLET TIP ELECTRODE,549,
CYTOLOGY BRUSH,549,
Mometasone 220mcg/14 puff,547.22,
URETERAL-URETHERAL DILATOR SET,543,
PLATE EXTENSION - 3 HOLE,542,
SYRINGE IRRIGATION SYSTEM,542,
COLONIC SPLINTING OVERTUBE,542,
CYTOLOGY BRUSH,540,
CATH-VENOUS THROMBECTOMY 8-10F,539,
CATHETER-FOGARTY OCCLUSION,539,
MAMMARY SIZER,539,
MILRINONE 200MCG/ML 100ML PM,537.05,
SHOULDER SUSPENSION KIT,537,
GLIDEWIRE .025,536,
KINEVAC (SINCALIDE),533,
NM UREA BREATH TEST KIT,533,
TEMNO COAXIAL BIOPSY SYS 18/15,532,
MUMPS MEASLES RUBELLA VACCINE,531.29,
CARDIAC PACER ELECTRODES,530,
Dantrolene Sodium 20 MG Vial,527.48,
FLUTICASONE NASAL SPRAY,526.76,
Oxybutynin 3.9mg/24 H  TD,526.11,
IFOSFAMIDE 1GM VIAL,526.01,
TRACHEOSTOMY TUBE,525,
CRANIAL MONITOR KIT,523,
HETASTARCH 6 PERC. 500 ML BOT,523,
SIMPULSE IRRIGATIOR WITH TIP,522,
NCL UCI0507963 HC ULT GAST SET,519,
TRACKER ENT PATIENT,518,
LOCK SCREW,518,
ERYTHROMYCIN 500 MG INJ(500MG),515.23,
DUAL LUMEN CATHETER,514,
#2 WIRE,514,
PUPIL DILATOR,513,
LASSO,513,
BLADDER IRRIGATION,512,
BALL ELECTRODE,511,
ISOL.NEWBORN NURSERY R & B,510,
OXYGEN THERAPY PER 30 MINS,510,
ANES. MATERIALS-1ST QTR HR,510,
PROTRACTOR LARGE 11-17CM,508,
Levalbuterol 45 MCG/PUFF HFA,507.02,
HEPATITIS A VACCINE,504.98,
MULTIFIRE SCORPION NEEDLE,503,
EVALUATE CVAD W FLUORO,503,
DISP. IRIS RETRACTOR,502,
CATHETER INTRODUCER KIT,501,
15-102 LEVEEN INFLATOR,499,
OPER ROOM-ADD'L QTR HR,498,
CALCUTRIPT AND PROBES,495,
URETERAL BRUSH BIOPSY SET,495,
DHS BASIC INSTRU.TRAY,494,
URETEROSCOPE,491,
TEMNO COAXIAL BIOPSY SYS 16/15,491,
Tc 99m MERTIATIDE,490,
3.2 K-WIRE,488,
HYPO-HYPERTHERM BLKT (24X30),488,
ENDORETRACT MAXI,487,
MENISCUS ELECTRODE/KNIFE,486,
CEMENT MIXING SET,483,
PEGJ-12 JEJUNAL FEEDING SET,483,
GRICE LAP SUTURING NEEDLE,481,
BONE TAP,481,
CAP SCREW,480,
PERITONEAL DIALYSIS (CAPD),477,
BUSH ILLUMINATING CATHETER SET,476,
ETHICON SKIN STAPLER,475,
IRINOTECAN 100MG/5ML (20MG),474.74,
FOSFOMYCIN TROMETHAMINE 3GMPAK,473.49,
VERSAFIRE HANDLE,472,
MANOMETER,472,
TORIC LENS,471,
METHOHEXITAL 500 MG IN 50ML VI,470.76,
HELY WEBER POST-OP BRACE,469,
CATHETER/PROBE,468,
UTERINE MANIPULATOR,468,
FENTANYL 100MCG TD PATCH,467.11,
INJECTION MAJOR JOINT,467,
ERYTHROPOETIN 40000U (1000U),462.67,
SET SCREW,462,
SINUS IRRIGATION CATHETER,462,
FLUOROMETHOLONE 0.1P OPTH,461.6,
BUR,461,
DISP. BABCOCK,460,
POWER BONE MARROW BIOP NEEDLE,460,
ENDERS NAIL IMPLANT,458,
ARTHROPLASTY BLADES-(KNEE),458,
NEWBORN NURSERY R & B,457,
BIVONA NASAL CATHETER,456,
DISPOSABLE HEMOCLIP,454,
DESMOPRESSIN 40MCG VL (1MCG),453.78,
LEVEL 1 TURP TUBING,452,
MCINTYRE INFUSION SET,451,
PERCUTANEOUS SHEATH INTRO. KIT,450,
2F INJECT MAJOR JOINT,448,
3F INJECT MAJOR JOINT,448,
4F INJECT MAJOR JOINT,448,
RESOLUTION CLIPS,447,
OMNI TRACH RETRACTOR TRAY,445,
LIDOCAINE 5 PERCENT 35 G OINT,443.84,
DIAGNOSTIC LARYNGOSCOPY,443,
SAVARY GILLARD DILATORS,443,
PRENISOLONE 15MG IN 5ML ORAL,442.43,
PREDNISOLONE ORAL 3MG/1 ML(5MG,442.43,
ZANAMIVIR INHALER,442.03,
OXALIPLATIN 50 MG INJ (0.5MG),439.93,
SILDENAFIL 50MG TABLET,438.62,
ACETIC ACID 5 PERC. 500 ML,438.39,
HYPO-HPERTHERM (24X60),436,
DIAGNOSTIC LARYNGOSCOPY,436,
AGG MED BLADE 25.0 X 9.0 MM,434,
PILOCARPINE 4P OPTH SOL 15ML,433.65,
BONE CEMENT,433,
Flunisolide 0.025% NS,430.02,
SYNTHES SCREW & TAP,429,
HYALURONIDASE HUM 150 U (1 USP,427.63,
THORACENTESIS TRAY,427,
FONDAPARINUX 2.5 MG INJ (0.5MG,426.34,
SURGIPORT KII FIRST ENTRY,420,
DORZOLAMIDE 2P OPTH SOLN,418.59,
INNERDYNE STEP 12MM,416,
SPINAL TAP,416,
NERVE LOCATOR,414,
THOW TUBE,414,
ASPEN COLLAR,414,
ZEBRA WIRE .038,412,
GIA STAPLE UNIT(60-80),410,
PACKED RED BLOOD CELLS,409,
OPTIRAY 240 200 ML,409,
PODIATRY C-ARM,406,
WIRE GUIDE,405,
PHACO TIP ROUND 30-45 DEGREE,404,
ALBUTEROL 8.5 INH PROAIR,399.95,
MONOPTY BIOPSY INSTRUMENT,399,
KODEL SLING-SET OF 3-(1232-07),398,
SHOULDER ABDUCTIN PILLOW,398,
HALOPERIDOL DECAN 100MG/ML INJ,397.27,
KNOT PUSHER,397,
RECIPICATOR BLADE,396,
OR TRACKER ENT INSTRUMENT,396,
NUCLEUS ROTATOR,395,
CATHETER-ARTERIAL EMBOLECTOMY,393,
NALBUPHINE 100MG/50ML (10MG),390.33,
STAMEY CATHETER,390,
INNERDYNE STEP 10/2-3MM,390,
EPIDURAL TRAY,390,
SILASTIC SHEETING SPLINT,388,
VARISTEM,388,
SILICONE SLEEVE,388,
SUMATRIPTAN 5MG NASAL SPRAY,387.53,
IRON SUCROSE 100 MG/5 ML (1MG),386.84,
Tranexamic Acid 100mg/ml Inj,386.84,
CLOSESURE SYSTEM,386,
SAFETY PEG PUNCH 20 FR,386,
SURGIWAND,385,
SULFACETAMIDE 10P OPTH SOL,384.6,
46-300 STIFF SHAFT GLIDWARE,383,
SINGULAR POLYPECTOMY SNARE,383,
CICLOPIROX 8 PERC NAIL LACQUER,379.79,
ENDO GIA CARTRIDGE 3.0/3.5,378,
ROTH NET,377,
ALBUMIN 12.5 G/50ML PREMIX BAG,376.63,
LEVOFLOXACIN 750MG VL (250MG),376.06,
CATHETER ARTERIAL EMBOLECTOMY,376,
BREAST LOCALIZING NEEDLE,376,
BREAST LOCALIZING NEEDLE,376,
LAP DISPOSABLES,375,
20-616 BANANA PEEL SHEATH,375,
20-850 T FASTNER,375,
GRANISETRON 1MG TABLET,374.69,
URETERAL ACCESS SHEATH,374,
EMTRICITABINE AND TENOFOVIR,373.28,
PARACENTESIS TRAY,373,
SCREENING CHEST CT SCAN,373,
NAIL-HANSEN-STREET,371,
Atropine Sulfate 1% 5ML OPSOL,369.25,
TITANIUM BONE SCREW,369,
ESOPHAGEAL OVERTUBES,369,
TCC-EZ LEG CAST SUPPLIES,367,
METHACHOLINE FOR INHALATION,365,
CORTISPORIN OTIC 10ML SOLN,364.68,
2F INCISION & DRAINAGE,362,
3F INCISION & DRAINAGE,362,
4F INCISION & DRAINAGE,362,
INNERDYNE STEP 5MM,361,
TEMNO BIOPSY NEEDLE 22g/9cm,361,
ANGIO TRAY,359,
CYTOLOGY BRUSH,357,
BURN DRESSING SMALL,357,
ZIPRASIDONE 20MG INJ (PER 10MG,354.43,
PERICARDIOCENTESIS TRAY,354,
FENTANYL 75MCG TD PATCH,353.42,
BURN DRESSING SMALL,353,
PREDNISOLONE 1% 5 ML OPSUSP,351.32,
GRANISETRON 1MG TAB - ON ONLY,351.25,
CYSTO FLOW STUDY,349,
CYSTO UPP STUDY,349,
CYSTO EMG STUDY,349,
CANNULATED DRILL,349,
MULTIPURPOSE DRAINAGE CATHETER,349,
BILIARY DRAIN CATHETER,349,
THAL-QUICK,349,
GI LOADING UNIT,348,
FACIAL MONITOR KIT,348,
ATAZANAVIR 300MG CAPSULE,345.62,
FALOPE-RING TUBAL LIG. BANDS,345,
Tc 99m SESTAMIBI,345,
CUTTING LOOP,344,
SUPRAPUBIC CATHETER SET,342,
PRO SHIELD,341,
LITHOCLAST PROBE-0.8-1.0-1.6MM,341,
TRYPAN BLUE 0.06 PERC SYRINGE,339.88,
LAP SAC,339,
