"OHIOHEALTH DOCTORS HOSPITAL, DUBLIN METHODIST HOSPITAL, GRANT MEDICAL CENTER, GROVE CITY METHODIST HOSPITAL, AND RIVERSIDE METHODIST HOSPITAL CHARGE LIST",,,,,,,,,,
SERVICE CATEGORY,DESCRIPTION,CHARGE,DOSE,STATE OF OHIO REQUIREMENT,,,,,,
Skin Substitute,HC GRAFIX PRIME 3 X 4 PER SQ CM,$321.00,,,,,,,,
Skin Substitute,HC GRAFIX PRIME 5 X 5 PER SQ CM,$328.00,,,,,,,,
Skin Substitute,HC NUSHIELD 1.6 SQ CM DISC PER SQ CM,$593.00,,,,,,,,
Skin Substitute,HC NUSHIELD 2X3 PER SQ CM,$398.00,,,,,,,,
Skin Substitute,HC NUSHIELD 2X4 PER SQ CM,$356.00,,,,,,,,
Skin Substitute,HC NUSHIELD 3X4 PER SQ CM,$350.00,,,,,,,,
Skin Substitute,HC NUSHIELD 4X4 PER SQ CM,$349.00,,,,,,,,
Skin Substitute,HC NUSHIELD 4X6 PER SQ CM,$296.00,,,,,,,,
Skin Substitute,HC NUSHIELD 6X6 PER SQ CM,$296.00,,,,,,,,
Skin Substitute,HC OASIS TRILAYER PER SQ CM,$45.00,,,,,,,,
Skin Substitute,HC PURAPLY ANTIMICROBIAL 1.6CM DISC PER SQ CM,$675.00,,,,,,,,
Skin Substitute,HC PURAPLY ANTIMICROBIAL 2X2/SQ CM,$472.00,,,,,,,,
Skin Substitute,HC PURAPLY ANTIMICROBIAL 2X4/SQ CM,$357.00,,,,,,,,
Skin Substitute,HC PURAPLY ANTIMICROBIAL 5X5/SQ CM,$357.00,,,,,,,,
Skin Substitute,HC PURAPLY ANTIMICROBIAL 6X9/SQ CM,$357.00,,,,,,,,
Skin Substitute,HC THERASKIN LARGE PER SQ CM,$68.00,,,,,,,,
Skin Substitute,HC THERASKIN SMALL PER SQ CM,$116.00,,,,,,,,
Skin Substitute,HC WOUND MATRIX OASIS PER SQ CM,$27.00,,,,,,,,
Speech Therapy Services,HC EVAL SWALLOW ORAL FUNC BASIC,$246.00,,,,,,,,
Speech Therapy Services,HC EVAL SWALLOW ORAL FUNC COMPLEX,$365.00,,,,,,,,
Speech Therapy Services,HC PED EVAL SWALL/ORAL FUNC BASIC,$246.00,,,,,,,,
Speech Therapy Services,HC SPEECH GEN DEVICE SERVICES,$295.00,,,,,,,,
Speech Therapy Services,HC ST BEHVRL AND QUAL ANALYSIS OF VOICE,$148.00,,,,,,,,
Speech Therapy Services,HC ST COGNITIVE TRAINING 15 MIN,$111.00,,,,,,,,
Speech Therapy Services,HC ST COMMUNITY WORK REINTEGRATION 15 MIN,$108.00,,,,,,,,
Speech Therapy Services,"HC ST DEVELOPMENTAL TESTING, EA ADD 30 MIN",$280.00,,,,,,,,
Speech Therapy Services,"HC ST DEVELOPMENTAL TESTING, FIRST HOUR",$560.00,,,,,,,,
Speech Therapy Services,HC ST EVAL APHASIA PER HOUR,$412.00,,,,,,,,
Speech Therapy Services,HC ST EVAL SPEECH DEVICE 1ST HR,$340.00,,,,,,,,
Speech Therapy Services,HC ST EVAL SPEECH DEVICE EA ADDL 30M,$114.00,,,,,,,,
Speech Therapy Services,HC ST EVAL SWALL ENDO CINE/VIDEO,$446.00,,,,,,,,
Speech Therapy Services,HC ST EVAL SWALL VIDEO/FLUORO,$386.00,,,,,,,,
Speech Therapy Services,HC ST EVAL VOICE PROSTHETIC BASIC,$115.00,,,,,,,,
Speech Therapy Services,HC ST EVAL VOICE PROSTHETIC COMPLEX,$219.00,,,,,,,,
Speech Therapy Services,HC ST FUNCTIONAL ACTIVITY,$159.00,,,,,,,,
Speech Therapy Services,HC ST PED TREAT BASIC,$282.00,,,,,,,,
Speech Therapy Services,HC ST PED TREAT COMPLEX,$350.00,,,,,,,,
Speech Therapy Services,HC ST SENSORY INTEGRATION 15 MIN,$135.00,,,,,,,,
Speech Therapy Services,HC ST SPEECH AND COMPREHENSION EVAL,$294.00,,,,,,,,
Speech Therapy Services,HC ST SPEECH FLUENCY EVAL,$173.00,,,,,,,,
Speech Therapy Services,HC ST SPEECH SOUND EVAL,$141.00,,,,,,,,
Speech Therapy Services,HC ST STANDARD COGNITIVE PERFORMANCE,$247.00,,,,,,,,
Speech Therapy Services,HC ST TREAT BASIC,$282.00,,,,,,,,
Speech Therapy Services,HC ST TREAT COMPLEX,$350.00,,,,,,,,
Speech Therapy Services,HC TREAT SWALL ORAL FUNC COMPLEX,$327.00,,,,,,,,
Speech Therapy Services,HC TREAT SWALL ORAL FUNCTION BASIC,$254.00,,,,,,,,
Study device,HC IDE G060130 PRO 1143410 PARACHUTE ACCESSORIES,$1.00,,,,,,,,
Study device,HC IDE G060130 PRO 1143410 PARACHUTE IMPLANT,$1.00,,,,,,,,
Study device,HC IDE G120169 PRO 1136831 EVOLUTR COREVALVE,"$33,000.00",,,,,,,,
Study device,HC IDE G130005 PRO 1143399 EVAS 1 NELLIX CATHETER,"$8,250.00",,,,,,,,
Study device,HC IDE G130084 CONVERGE EPI-SENSE COAG SYSTEM VISITRAX,"$7,020.00",,,,,,,,
Study device,HC IDE G130221 PRO OHI-15-00603 CREST 2 MOMA ULTRA FILTER,"$1,495.00",,,,,,,,
Study device,HC IDE G130221 PRO OHI-15-00603 CREST 2 NAV 6 FILTER,"$1,475.00",,,,,,,,
Study device,HC IDE G130221 PRO OHI-15-00603 CREST 2 XACT,"$1,650.00",,,,,,,,
Study device,HC IDE G130222 PRO1146316 NAVIGATEX4 ACUITY,"$1,400.00",,,,,,,,
Study device,HC IDE G130223 PRO 1147114 DAWN TREVO RETRIEVER,"$6,296.00",,,,,,,,
Study device,HC IDE G130286 PROJ 1157910 WEB-IT DELIVERY SYSTEM,$1.00,,,,,,,,
Study device,HC IDE G130286 PROJ 1157910 WEB-IT DEVICE,$1.00,,,,,,,,
Study device,HC IDE G140039 PRO 1147003 DR ICD,"$13,600.00",,,,,,,,
Study device,HC IDE G140090 PRO11499986 REPRISEIII,"$25,000.00",,,,,,,,
Study device,HC IDE G140182 PROJ 1155725 BIOMIMICS STENT,$1.00,,,,,,,,
Study device,HC IDE G140253 PRO1157349 EMBOTRAP REVASC,$1.00,,,,,,,,
Study device,HC IDE G150057 AAA 13-03 GORE EXCLUDER AORTIC EXT ENDO,"$2,500.00",,,,,,,,
Study device,HC IDE G150057 AAA 13-03 GORE EXCLUDER TRUNK-IPSI LEG ENDO,"$9,500.00",,,,,,,,
Study device,HC IDE G150101 CONTROL HTN ROX COUPLER,$1.00,,,,,,,,
Study device,HC IDE G150107 AMAZE GUIDEWIRE,"$1,100.00",,,,,,,,
Study device,HC IDE G150107 AMAZE LARIAT-RS SUTURE DELIVERY DEVICE,"$7,950.00",,,,,,,,
Study device,HC IDE G150107 AMAZE LARIAT-RS SUTURE DELIVERY DEVICE,"$7,950.00",,,,,,,,
Study device,HC IDE G150107 AMAZE OCCLUSION BALLOON,$650.00,,,,,,,,
Study device,HC IDE G150107 AMAZE SOFT GUIDE CANNULA,$300.00,,,,,,,,
Study device,HC IDE G150107 AMAZE SUTURE CUTTER,$400.00,,,,,,,,
Study device,HC IDE G150107 AMAZE TENSURE SUTURE TIGHTENER,$200.00,,,,,,,,
Study device,HC IDE G150121 PRO 1161749 SURVEILSURMODICS,$1.00,,,,,,,,
Study device,HC IDE G150121 TRANSCEND SURVEIL DRUG COATED BALLOON CATHETER,$1.00,,,,,,,,
Study device,HC IDE G150147 PRO 1163524 QP EXCELS,"$2,100.00",,,,,,,,
Study device,HC IDE G150200 PINNACLE FLEX WATCHMAN CLOSURE DEVICE,$1.00,,,,,,,,
Study device,HC IDE G150210 PROJECT 20151943 REDUCE LAP-HF,$1.00,,,,,,,,
Study device,HC IDE G150251 PRO 1163936 VEVO,"$21,855.00",,,,,,,,
Study device,HC IDE G160002 FLARE ASP CATHETER,"$1,995.00",,,,,,,,
Study device,HC IDE G160002 FLARE RETRACTION ASPIRATION,$895.00,,,,,,,,
Study device,HC IDE G160002 FLARE RETRIEVER CATHETER,"$4,495.00",,,,,,,,
Study device,HC IDE G160020 APOLLO PERCUTANEOUS VALVE SYSTEM,"$45,000.00",,,,,,,,
Study device,"HC IDE G160022 PRO 1165258 EVOLUT R 23,26,29MM","$33,000.00",,,,,,,,
Study device,HC IDE G160039 PRO 1165489 TAVR 2.0,"$33,000.00",,,,,,,,
Study device,HC IDE G160055 PRO02768402 TRANSCATH MITRAL VALVE REPL,$1.00,,,,,,,,
Study device,HC IDE G160074 MADIT S-ICD EMBLEM,"$17,000.00",,,,,,,,
Study device,HC IDE G160074 MADIT S-ICD SUBQ ELECTRODE LEAD,"$4,000.00",,,,,,,,
Study device,HC IDE G160144 TOBA II BTK NITINOL TACKS,$1.00,,,,,,,,
Study device,HC IDE G160163 ABRE,$400.00,,,,,,,,
Study device,HC IDE G160171 ASAP TOO WATCHMAN DELIVERY CATH,"$1,000.00",,,,,,,,
Study device,HC IDE G160171 ASAP TOO WATCHMAN DEVICE,"$17,000.00",,,,,,,,
Study device,HC IDE G160227 OPTIMIZE SVELTE CORONARY STENT SYSTEM,$1.00,,,,,,,,
Study device,HC IDE G160259 EARLY TAVR SAPIEN 3 VALVE SYSTEM,"$30,000.00",,,,,,,,
Study device,HC IDE G170113 WAVECREST LEFT ATRIAL APPENDAGE OCCLUSION SYSTEM,$1.00,,,,,,,,
Study device,HC IDE G170251 WING-IT WINGMAN CATHETER,$1.00,,,,,,,,
Study device,HC IDE G180004 TIGER REVASCULARZATION DEVICE,$1.00,,,,,,,,
Study device,HC IDE#G120160 PRO#1148710 SALUS,"$30,000.00",,,,,,,,
Study device,HC IDEG130222 PRO 1146316 NAVIGATEX4 RELIANCE,"$3,250.00",,,,,,,,
Study device,HC IDEG140059 PRO1148561 EVOLUT R,"$33,000.00",,,,,,,,
Study device,HC PRO 1135595 IDE G120024 MITRACLIP,$1.00,,,,,,,,
Study device,HC PRO 20151540 TOBAII IDE G150029,$1.00,,,,,,,,
Study device,HC PRO OH1 11 00261 IDE G090133,$1.00,,,,,,,,
Study device,HC PRO# 1149152 IDE# G140056,"$6,500.00",,,,,,,,
Study device,HC PRO1134725 G110194,$1.00,,,,,,,,
Study device,HC PRO1140762 IDEG130007 BRK,$1.00,,,,,,,,
Study device,IDEG110127 PRO 1140726 SCAFFOLD 40MM STENT,"$2,325.00",,,,,,,,
Supply,HC 12 VOLT SLA BATTERY EACH,$302.00,,,,,,,,
Supply,HC 14 VOLT LI-LON BATTERY CLIP EACH,"$1,839.00",,,,,,,,
Supply,HC 14 VOLT LI-LON BATTERY EACH,"$2,089.00",,,,,,,,
Supply,HC ADHESION BARRIER,"$1,051.06 ",,,,,,,,
Supply,HC ADHESION BARRIER LEVEL 05,"$1,131.00",,,,,,,,
Supply,HC AFO FOOTPLATE DYNAMIC,$557.00,,,,,,,,
Supply,HC AFO PREFAB,$408.00,,,,,,,,
Supply,HC AGENT BULKING SYNTH URIN TRACT,"$1,059.46 ",,,,,,,,
Supply,HC AGENT HEMOSTATIC,$233.00,,,,,,,,
Supply,HC ANCHOR SCREW BONE OR SOFT TISSUE TO BONE,$853.17 ,,,,,,,,
Supply,HC ANGLED WIRE AQULINER,$166.00,,,,,,,,
Supply,HC AORTIC HOMOGRAFT VALVE,"$41,295.00",,,,,,,,
Supply,HC AQUAPLAST CUSTOM AFO,$663.00,,,,,,,,
Supply,HC ASPEN VISTA COLLAR,$334.00,,,,,,,,
Supply,HC ASPIRATION EMBOLECTOMY SYSTEM,"$31,726.00",,,,,,,,
Supply,HC ATRIAL EXCLUDER,"$4,760.00",,,,,,,,
Supply,HC ATRICLIP EXCLUSION SYSTEM,"$10,800.00",,,,,,,,
Supply,HC AUD OSSEOINTEGRATED DEVICE W ALL INT AND EXT COMPS,"$19,901.70 ",,,,,,,,
Supply,HC BALLOON NASAL RAPID RHINO,$217.00,,,,,,,,
Supply,HC BASKET STONE EXTRACTOR,$872.00,,,,,,,,
Supply,HC BATTERY CHARGER,"$24,061.00",,,,,,,,
Supply,HC BATTERY HOLSTER,$662.00,,,,,,,,
Supply,HC BINDER ABDOMINAL,$267.00,,,,,,,,
Supply,HC BIOHEAD,$681.00,,,,,,,,
Supply,HC BLOOD PUMP DISPOSABLE,"$44,213.00",,,,,,,,
Supply,HC BOOT ROOKE,$624.00,,,,,,,,
Supply,HC BOOT SEQUENTIAL COMPRESSION,$376.00,,,,,,,,
Supply,HC BRACE ANKLE STIRRUP GEL OR AIR,$40.00,,,,,,,,
Supply,HC BRACE ANKLE STIRRUP UNIVERSAL,$341.00,,,,,,,,
Supply,HC BRACE FRACTURE HUMERAL PF,$625.00,,,,,,,,
Supply,HC BRACE FRACTURE TIBIAL,$422.00,,,,,,,,
Supply,HC BRACE FX UPPER HUMERAL CUSTOM,$660.00,,,,,,,,
Supply,HC BRACE KNEE,$832.00,,,,,,,,
Supply,HC BRACE LEVER LOCK,"$2,061.00",,,,,,,,
Supply,HC BRACHYTHERAPY SOURCE I 125 NONSTRANDED PER SOURCE,$45.00,,,,,,,,
Supply,HC BRACHYTHERAPY SOURCE I 125 STRANDED PER SOURCE,$65.00,,,,,,,,
Supply,HC CABLE PACING TEMPORARY,$52.00,,,,,,,,
Supply,HC CABLE TRIAL MULTI LEAD,$637.00,,,,,,,,
Supply,HC CANISTER WOUND VAC THERAPY,$125.00,,,,,,,,
Supply,HC CANNULA AXILLARY AORTIC,$132.00,,,,,,,,
Supply,HC CANNULA ECMO CARMEDA,"$1,106.00",,,,,,,,
Supply,HC CANNULA QUICK-DRAW VENOUS,"$1,498.00",,,,,,,,
Supply,HC CANNULA RETROGRADE,$237.00,,,,,,,,
Supply,HC CANNULA RETROGRADE,$237.00,,,,,,,,
Supply,HC CATH EP DX NOT 3D 20 OR MORE ELECTRODES,"$2,862.12 ",,,,,,,,
Supply,HC CATH EP DX NOT 3D UP TO 19 ELECTRODES,$966.12 ,,,,,,,,
Supply,HC CATH TRANSLUMINAL ATHERECTOMY DIRECTIONAL,"$9,000.00 ",,,,,,,,
Supply,HC CATHETER BALLOON DIRECT VISION,$237.00,,,,,,,,
Supply,HC CATHETER BALLOON NON VASCULAR,$647.11 ,,,,,,,,
Supply,HC CATHETER BALLOON TISSUE DISSECTOR,"$1,345.78 ",,,,,,,,
Supply,HC CATHETER BARTHILON,$213.00,,,,,,,,
Supply,HC CATHETER DIALYSIS LONG TERM,$744.71 ,,,,,,,,
Supply,HC CATHETER DIALYSIS SHORT TERM,$528.50 ,,,,,,,,
Supply,HC CATHETER DRAINAGE,$112.98 ,,,,,,,,
Supply,HC CATHETER EP ABL NOT 3D COOLTIP,"$6,470.00 ",,,,,,,,
Supply,HC CATHETER EP DX ABLATION 3D OR VECTOR MAPPING,"$7,839.47 ",,,,,,,,
Supply,HC CATHETER EP DX ABLATION NOT 3D OR VECTOR MAPPING,"$6,098.38 ",,,,,,,,
Supply,HC CATHETER EPIDURAL,$87.00,,,,,,,,
Supply,HC CATHETER GUIDING,$522.92 ,,,,,,,,
Supply,HC CATHETER IABP,"$2,774.00",,,,,,,,
Supply,HC CATHETER INFUSION,$895.75 ,,,,,,,,
Supply,HC CATHETER INTRACARDIAC ECHO,"$4,989.28 ",,,,,,,,
Supply,HC CATHETER INTRADISCAL,"$2,514.00 ",,,,,,,,
Supply,HC CATHETER INTRAVASCULAR ULTRASOUND,"$2,411.98 ",,,,,,,,
Supply,HC CATHETER LATEX FREE SWAN,"$1,745.00",,,,,,,,
Supply,HC CATHETER LYCOX CAMINO W TL BOLT,"$1,660.00",,,,,,,,
Supply,HC CATHETER OCCLUSION,"$2,404.96 ",,,,,,,,
Supply,HC CATHETER PICC SGL DBL LUMEN,$276.00,,,,,,,,
Supply,HC CATHETER REBOA,"$5,985.00",,,,,,,,
Supply,HC CATHETER SUPRAPUBIC,$182.00,,,,,,,,
Supply,HC CATHETER SUPRAPUBIC,$205.00 ,,,,,,,,
Supply,HC CATHETER SWAN GANZ,$201.00,,,,,,,,
Supply,HC CATHETER TA DRUG-COATED NON-LASER,"$4,282.49 ",,,,,,,,
Supply,HC CATHETER THROMBECTOMY EMBOLECTOMY,"$4,825.91 ",,,,,,,,
Supply,HC CATHETER TRANSLUMINAL ANGIOPLASTY,$678.88 ,,,,,,,,
Supply,HC CATHETER TRANSLUMINAL ANGIOPLASTY LASER,"$8,918.08 ",,,,,,,,
Supply,HC CATHETER TRANSLUMINAL ATHERECTOMY ROTATIONAL,"$6,582.68 ",,,,,,,,
Supply,HC CATHETER URETERAL,$98.23 ,,,,,,,,
Supply,HC CERVICAL RIPENING BALLOON,$58.00,,,,,,,,
Supply,HC CERVICAL TRACTION OVER DOOR,$68.00,,,,,,,,
Supply,HC CLIP FILSHIE,$381.00,,,,,,,,
Supply,HC CLIP MARKER,$147.00,,,,,,,,
Supply,HC CLOSURE DEVICE VASCULAR,$921.92 ,,,,,,,,
Supply,HC CLOSURE FEMORAL STOP,$277.00,,,,,,,,
Supply,HC CO2 DETECTOR EASY CAP,$47.00,,,,,,,,
Supply,HC COCHLEAR W ALL INT AND EXT COMPONENTS,"$69,642.65 ",,,,,,,,
Supply,HC COLLAR CERVICAL,$170.00,,,,,,,,
Supply,HC COLLAR CERVICAL SEMI RIGID,$98.00,,,,,,,,
Supply,HC COLLAR CERVICAL SEMI RIGID 2 PC,$491.00,,,,,,,,
Supply,HC COLLAR MIAMI J,$316.00,,,,,,,,
Supply,HC COLLAR PHILADELPHIA,$241.00,,,,,,,,
Supply,HC COLLAR SOFT,$170.00,,,,,,,,
Supply,HC COMPRESSION STOCKINGS,$312.00,,,,,,,,
Supply,HC CONNECTIVE TISSUE HUMAN,"$5,460.37 ",,,,,,,,
Supply,HC CONNECTIVE TISSUE NON HUMAN,"$2,184.48 ",,,,,,,,
Supply,HC CUSTOM FOOT ORTHOTIC,"$1,024.00",,,,,,,,
Supply,HC DIALYSIS ACCESS SYSTEM IMPLANT,$302.80 ,,,,,,,,
Supply,HC DILAPAN,$43.00,,,,,,,,
Supply,HC DISPLAY MODULE TO POWER MODULE,"$1,002.00",,,,,,,,
Supply,HC DRAIN PLEUREVAC,$123.00,,,,,,,,
Supply,HC DRESSING WOUND VAC THERAPY,$142.00,,,,,,,,
Supply,HC ELBOW IMMOBILIZER,$330.00,,,,,,,,
Supply,HC ELECTRODE MRI CT COMPATIBLE,$550.00,,,,,,,,
Supply,HC EMBOLIZATION PROTECTION SYSTEM,"$3,121.39 ",,,,,,,,
Supply,HC ENDOCARDIAL ABL DEVICE,"$28,644.00",,,,,,,,
Supply,HC EVENT RECORDER CARDIAC,"$13,935.00 ",,,,,,,,
Supply,HC EXTENSION PACING OR NEUROSTIM LEAD,"$1,865.81 ",,,,,,,,
Supply,HC FILTER VENA CAVA,"$2,789.12 ",,,,,,,,
Supply,HC FOOT ARCH REMOVABLE MOLDED LONGITUDINAL,$397.00,,,,,,,,
Supply,HC FORCEP BIOPSY,$104.00,,,,,,,,
Supply,HC GEN NEUROSTIM HI FREQ RECHARG BATT AND CHARG SYS,"$27,230.73 ",,,,,,,,
Supply,HC GENERATOR NEUROSTIM NONRECHARGEABLE,"$39,069.77 ",,,,,,,,
Supply,HC GENERATOR NEUROSTIM W CHARGING SYSTEM,"$33,911.40 ",,,,,,,,
Supply,HC GRAFT VASCULAR,"$1,906.59 ",,,,,,,,
Supply,HC GUIDE DIRECTVISON REPO 25,$348.00,,,,,,,,
Supply,HC GUIDEWIRE,$231.97 ,,,,,,,,
Supply,HC HDE H000001 GRAFTMASTER STENT,"$8,003.00",,,,,,,,
Supply,HC HEADMASTER CERVICAL COLLAR,$616.00,,,,,,,,
Supply,HC HEART VALVE,"$1,478.00",,,,,,,,
Supply,HC HEART VALVE 10,"$7,037.00",,,,,,,,
Supply,HC HEART VALVE 11,"$8,209.00",,,,,,,,
Supply,HC HEART VALVE 12,"$9,382.00",,,,,,,,
Supply,HC HEART VALVE 13,"$10,554.00",,,,,,,,
Supply,HC HEART VALVE 14,"$11,728.00",,,,,,,,
Supply,HC HEART VALVE 15,"$12,901.00",,,,,,,,
Supply,HC HEART VALVE 16,"$14,073.00",,,,,,,,
Supply,HC HEART VALVE 17,"$15,246.00",,,,,,,,
Supply,HC HEART VALVE 18,"$16,418.00",,,,,,,,
Supply,HC HEART VALVE 19,"$17,591.00",,,,,,,,
Supply,HC HEART VALVE 2,"$1,759.00",,,,,,,,
Supply,HC HEART VALVE 20,"$18,764.00",,,,,,,,
Supply,HC HEART VALVE 21,"$19,937.00",,,,,,,,
Supply,HC HEART VALVE 22,"$21,109.00",,,,,,,,
Supply,HC HEART VALVE 23,"$22,282.00",,,,,,,,
Supply,HC HEART VALVE 24,"$23,454.00",,,,,,,,
Supply,HC HEART VALVE 25,"$24,626.00",,,,,,,,
Supply,HC HEART VALVE 26,"$25,798.00",,,,,,,,
Supply,HC HEART VALVE 27,"$26,970.00",,,,,,,,
Supply,HC HEART VALVE 28,"$28,142.00",,,,,,,,
Supply,HC HEART VALVE 29,"$29,314.00",,,,,,,,
Supply,HC HEART VALVE 3,"$2,345.00",,,,,,,,
Supply,HC HEART VALVE 30,"$30,486.00",,,,,,,,
Supply,HC HEART VALVE 31,"$31,658.00",,,,,,,,
Supply,HC HEART VALVE 32,"$32,830.00",,,,,,,,
Supply,HC HEART VALVE 33,"$34,002.00",,,,,,,,
Supply,HC HEART VALVE 34,"$35,174.00",,,,,,,,
Supply,HC HEART VALVE 4,"$2,932.00",,,,,,,,
Supply,HC HEART VALVE 5,"$3,518.00",,,,,,,,
Supply,HC HEART VALVE 6,"$4,105.00",,,,,,,,
Supply,HC HEART VALVE 7,"$4,692.00",,,,,,,,
Supply,HC HEART VALVE 8,"$5,278.00",,,,,,,,
Supply,HC HEART VALVE 9,"$5,864.00",,,,,,,,
Supply,HC HEARTMATE II SYSTEM CONTROLLER EPC,"$13,500.00",,,,,,,,
Supply,HC HELIOX THERAPY PER 12 HRS,$636.00,,,,,,,,
Supply,HC HEMOSTATIC AGENT,$199.00,,,,,,,,
Supply,HC HEMOSTATIC SURGICEL,$233.00,,,,,,,,
Supply,HC HM II LVAD IMPLANT KIT,"$180,250.00",,,,,,,,
Supply,HC HM3 LVAD CONTROLLER W EBB,"$16,995.00",,,,,,,,
Supply,HC HM3 LVAD IMPLANT KIT W CONTROLLER,"$205,846.00",,,,,,,,
Supply,HC HM3 LVAD MODULAR CABLE,"$15,296.00",,,,,,,,
Supply,HC HM3 LVAD MODULAR CABLE CAP,"$1,468.00",,,,,,,,
Supply,HC HM3 LVAD OUTFLOW GRAFT W BEND RELIEF,"$14,832.00",,,,,,,,
Supply,HC HM3 LVAD SURGICAL ACCESSORIES SPARES KIT,"$5,145.00",,,,,,,,
Supply,HC HMII MODULAR BELT,"$1,098.00",,,,,,,,
Supply,HC HMII POCKET CONTROLLER,"$18,380.00",,,,,,,,
Supply,HC HMII SEALED OUTFLOW GRAFT,"$16,041.00",,,,,,,,
Supply,HC HMII VOLT LI-LON BACKUP BATTERY,"$1,671.00",,,,,,,,
Supply,HC HOLSTER VEST SMALL,"$1,319.00",,,,,,,,
Supply,HC HW BATTERY,"$2,318.00",,,,,,,,
Supply,HC HW CONTROLLER KIT,"$22,094.00",,,,,,,,
Supply,HC HW CONVERTIBLE PATIENT PACK,"$1,313.00",,,,,,,,
Supply,HC HW SHOULDER PACK,"$1,391.00",,,,,,,,
Supply,HC HW SHOWER BAG,$927.00,,,,,,,,
Supply,HC HW WAIST PACK,"$1,313.00",,,,,,,,
Supply,HC ICD DUAL CHAMBER,"$35,623.40 ",,,,,,,,
Supply,HC ICD OTHER THAN SINGLE OR DUAL CHAMBER,"$44,983.73 ",,,,,,,,
Supply,HC ICD SINGLE CHAMBER,"$34,603.24 ",,,,,,,,
Supply,HC IMMOBILIZER KNEE,$107.00,,,,,,,,
Supply,HC IMPELLA PURGE CASSETTE,$637.00,,,,,,,,
Supply,HC IMPELLA RIGHT SIDE,"$79,568.00",,,,,,,,
Supply,HC IMPLANT,"$3,114.27 ",,,,,,,,
Supply,HC IMPLANT IMPELLA DEVICE 2.5,"$77,499.00",,,,,,,,
Supply,HC IMPLANT IMPELLA DEVICE 3.5,"$83,546.00",,,,,,,,
Supply,HC IMPLANT IMPELLA DEVICE 5.0,"$113,434.00",,,,,,,,
Supply,HC IMPLANT NOT OTHERWISE CLASSIFED,"$2,040.00 ",,,,,,,,
Supply,HC IMPLANT PORCINE PER SQ CM,$19.50 ,,,,,,,,
Supply,HC IMPLANT SEPTAL OCCLUSION,"$22,838.53 ",,,,,,,,
Supply,HC INF PUMP NONPROGRAMMABLE IMPLANTABLE,$718.71 ,,,,,,,,
Supply,HC INFUSION PUMP PROGRAMMABLE,"$30,777.78 ",,,,,,,,
Supply,HC INTRODUCER DUAL LUMEN,$349.00,,,,,,,,
Supply,HC INTRODUCER ECMO,$302.00,,,,,,,,
Supply,HC INTRODUCER SHEATH,$178.04 ,,,,,,,,
Supply,HC INTRODUCER SHEATH DRYSEAL,"$1,767.00",,,,,,,,
Supply,HC INTRODUCER SHEATH EP FIXED CURVE NOT PEEL AWAY,$344.47 ,,,,,,,,
Supply,HC INTRODUCER SHEATH EP FIXED CURVE PEEL AWAY,$143.49 ,,,,,,,,
Supply,HC INTRODUCER SHEATH EP STERRABLE NOT PEEL,"$2,580.33 ",,,,,,,,
Supply,HC INTRODUCER SHEATH NOT GUID EP LASER,"$8,985.00 ",,,,,,,,
Supply,HC IOL CONVENTIONAL,$441.62 ,,,,,,,,
Supply,HC JOINT IMPLANT,"$3,773.63 ",,,,,,,,
Supply,HC KIT ABLATION W SURESOUND,"$4,254.00",,,,,,,,
Supply,HC KIT ECMO OXYGENATOR,"$4,231.00",,,,,,,,
Supply,HC KIT HEARTPORT,"$27,651.00",,,,,,,,
Supply,HC KIT HYPERTHERM CHEMO DELIVERY SYS,"$13,001.00",,,,,,,,
Supply,HC KIT METABOLIC SCREEN,$346.00,,,,,,,,
Supply,HC KIT MIDLINE CATHETER BASIC,$173.00,,,,,,,,
Supply,HC KIT MIDLINE CATHETER FULL,$288.00,,,,,,,,
Supply,HC KIT PLEURAL DRAINANGE ASPIRA,"$4,501.00",,,,,,,,
Supply,HC KIT SHEATH INTRODUCER,$76.00,,,,,,,,
Supply,HC KIT STEM CELL,"$2,700.00",,,,,,,,
Supply,HC KNEE BRACE,$832.00,,,,,,,,
Supply,HC KNEE IMMOBILIZER CUSTOM,"$1,428.00",,,,,,,,
Supply,HC KNEE ORTHOTIC DOUBLE UPRIGHT,"$1,069.00",,,,,,,,
Supply,HC KO ADJUST KNEE JT POST OP,"$1,895.00",,,,,,,,
Supply,HC KO LIGAMENT INSTABILITY,$535.00,,,,,,,,
Supply,HC L0627 LO SAGITT RIGID PANEL PREFAB,$788.00 ,,,,,,,,
Supply,HC LARGE SNS,$66.00,,,,,,,,
Supply,HC LASER PROBE ARGON COAGULATOR,"$1,117.00",,,,,,,,
Supply,HC LEAD CORONARY VENOUS SYSTEM,"$4,528.62 ",,,,,,,,
Supply,HC LEAD ICD DUAL COIL,"$7,979.14 ",,,,,,,,
Supply,HC LEAD ICD OTHER THAN SINGLE OR DUAL COIL,"$12,000.00 ",,,,,,,,
Supply,HC LEAD ICD SINGLE COIL,"$8,597.73 ",,,,,,,,
Supply,HC LEAD MYOCARDIAL,"$3,509.00",,,,,,,,
Supply,HC LEAD NEUROSTIM INFINION,"$11,916.00",,,,,,,,
Supply,HC LEAD NEUROSTIM MULTI LEAD TRIALING CABLE,$637.00,,,,,,,,
Supply,HC LEAD NEUROSTIM OCTRODE,"$2,388.00",,,,,,,,
Supply,HC LEAD NEUROSTIM TEST KIT,"$1,909.52 ",,,,,,,,
